episode,return,success,collision,steps,path_length
0,398.3040275927633,1,0,79,10.112624168395996
1,387.24578978214413,1,0,62,7.606114864349365
2,411.2294064089656,1,0,104,14.388275146484375
3,371.01894790084043,1,0,129,5.315335750579834
4,398.2140168007463,1,0,94,11.319458961486816
5,390.3234991086647,1,0,63,8.419918060302734
6,386.5488978140056,1,0,71,8.117046356201172
7,390.5397895744536,1,0,93,8.238152503967285
8,422.5119356550276,1,0,98,13.794022560119629
9,407.7752574533224,1,0,87,12.032000541687012
10,390.84560269117355,1,0,64,6.90017032623291
11,371.0022932207212,1,0,68,7.771325588226318
12,417.9185058400035,1,0,101,13.047602653503418
13,385.15463941544294,1,0,52,6.336953163146973
14,408.66357220709324,1,0,92,9.776449203491211
15,427.1569731733762,1,0,132,18.029216766357422
16,392.1049403268844,1,0,67,8.66135025024414
17,371.0483682565391,1,0,65,5.694647789001465
18,421.97708739247173,1,0,164,18.662830352783203
19,410.44315142184496,1,0,86,12.014580726623535
20,375.192135758698,1,0,48,4.868892192840576
21,420.67467455007136,1,0,110,16.782819747924805
22,387.55559883080423,1,0,86,10.184554100036621
23,15.891296372523357,0,0,600,6.429106712341309
24,389.80197159573436,1,0,58,7.924709320068359
25,381.9780174344778,1,0,68,6.908145904541016
26,391.44416443724185,1,0,75,8.549972534179688
27,386.7132653966546,1,0,62,7.79248571395874
28,383.4142371332273,1,0,93,10.168341636657715
29,387.66239334177226,1,0,73,8.860040664672852
30,386.0102852139389,1,0,94,11.234487533569336
31,383.7632858585566,1,0,66,7.198304176330566
32,392.38949853833765,1,0,97,12.60189437866211
33,378.323329705745,1,0,124,13.201140403747559
34,387.5182266593911,1,0,94,8.299240112304688
35,391.5209729112685,1,0,83,9.767803192138672
36,390.13528510782635,1,0,149,14.620354652404785
37,389.725085247308,1,0,59,7.601089000701904
38,424.9436689466238,1,0,106,15.705840110778809
39,378.14977680519223,1,0,79,8.633054733276367
40,381.0281056333333,1,0,105,10.610774993896484
41,382.53648487105966,1,0,73,7.258753776550293
42,-18.827242392129847,0,0,600,4.011936187744141
43,-101.36353208124638,0,1,4,0.06995312869548798
44,406.4940312812105,1,0,96,12.877605438232422
45,421.5224570054561,1,0,147,17.348674774169922
46,378.63462884910405,1,0,67,7.939002513885498
47,404.33444850705564,1,0,87,11.077065467834473
48,399.27264303714037,1,0,68,9.057779312133789
49,373.00133181363344,1,0,60,7.0473551750183105
