episode,return,success,collision,steps,path_length
0,399.0339514128864,1,0,94,10.587900161743164
1,387.5565318316221,1,0,78,7.849102020263672
2,9.469208114518551,0,0,600,2.8560445308685303
3,376.0118540581898,1,0,98,6.2997541427612305
4,-12.914205616387335,0,0,600,7.996230125427246
5,390.7906203549355,1,0,97,8.903982162475586
6,-8.54637829580679,0,0,600,3.9017953872680664
7,396.39498353004456,1,0,124,9.942303657531738
8,-19.686571186684887,0,0,600,5.8317155838012695
9,-26.775972635485232,0,0,600,4.057517051696777
10,392.4060296341777,1,0,101,7.5024237632751465
11,24.241199747717474,0,0,600,9.54910659790039
12,417.92832176946104,1,0,102,12.323265075683594
13,384.95619156211615,1,0,57,6.524653434753418
14,410.37622545845807,1,0,105,10.270804405212402
15,16.488347848167905,0,0,600,4.861354827880859
16,391.660668740049,1,0,66,8.850343704223633
17,374.2529050875455,1,0,56,5.829771518707275
18,3.680071579874493,0,0,600,7.939241409301758
19,410.070088557899,1,0,94,12.046916961669922
20,373.7052767726127,1,0,97,5.7006120681762695
21,-0.4554892541418667,0,0,600,4.804377555847168
22,-31.155624639530288,0,0,600,11.685687065124512
23,378.48773220181465,1,0,74,5.737250328063965
24,389.84790920093656,1,0,59,7.884374141693115
25,382.7163118440658,1,0,78,6.650041103363037
26,388.4658983084373,1,0,126,12.418781280517578
27,387.11377134919167,1,0,89,8.017645835876465
28,379.1529666832648,1,0,178,13.197813034057617
29,-5.986846770567354,0,0,600,0.23715491592884064
30,383.5096832354611,1,0,133,10.284193992614746
31,384.0837996141054,1,0,111,7.022650241851807
32,394.28950194013305,1,0,124,13.082870483398438
33,389.03646452818066,1,0,280,11.860404968261719
34,384.59316769824363,1,0,129,8.294185638427734
35,390.7353069745004,1,0,215,9.610283851623535
36,-16.874698392130085,0,0,600,2.410172939300537
37,389.29563407599926,1,0,64,8.109020233154297
38,422.6186582893133,1,0,123,16.849336624145508
39,382.4958429026883,1,0,159,10.884200096130371
40,5.077747610612278,0,0,600,2.6676042079925537
41,28.67659675933828,0,0,600,8.26551628112793
42,21.13773986021988,0,0,600,13.6549072265625
43,10.939075507076268,0,0,600,10.160221099853516
44,-12.98669638506999,0,0,600,3.957063674926758
45,1.1008285506268294,0,0,600,2.2060470581054688
46,21.913899486215087,0,0,600,11.898462295532227
47,-152.9937328605447,0,1,287,6.667507171630859
48,398.15554828196764,1,0,70,9.13811206817627
49,379.5347372703254,1,0,54,7.189660549163818
50,-3.6531542171069304,0,0,600,15.601455688476562
51,1.5556197941914434,0,0,600,5.037261962890625
52,-4.692436059899592,0,0,600,5.525262832641602
53,397.5108233881183,1,0,310,17.48824119567871
54,16.009191653807648,0,0,600,7.746522903442383
55,-6.183038966497406,0,0,600,5.17447566986084
56,390.07472881674767,1,0,64,5.078561782836914
57,392.2025090283714,1,0,81,7.118416786193848
58,385.97407066155574,1,0,89,5.770660400390625
59,-9.328220235853223,0,0,600,7.401926040649414
60,418.93189918994904,1,0,100,14.06381893157959
61,380.5326776728034,1,0,66,6.759029388427734
62,417.7249629367143,1,0,104,14.97961139678955
63,389.77440743954503,1,0,188,11.905226707458496
64,377.8517976850271,1,0,91,5.8555684089660645
65,384.9525597952306,1,0,71,7.442633152008057
66,437.19656484463485,1,0,361,20.682096481323242
67,1.748992255160374,0,0,600,3.1400089263916016
68,404.8909327806905,1,0,141,12.231816291809082
69,396.2270655371249,1,0,83,10.313054084777832
70,403.9293138720095,1,0,68,8.818710327148438
71,395.88937759771943,1,0,71,9.70057487487793
72,1.1856371760368347,0,0,600,2.929110288619995
73,391.19621730438666,1,0,173,10.537945747375488
74,17.26248527748976,0,0,600,9.355484008789062
75,377.3918154593557,1,0,56,7.227208137512207
76,386.5365382619202,1,0,70,7.846556663513184
77,4.731462091229332,0,0,600,5.884393215179443
78,-5.071473634485301,0,0,600,0.4825073778629303
79,-9.133712395094335,0,0,600,1.5643516778945923
80,410.0616048160009,1,0,125,14.709102630615234
81,-10.31939507604693,0,0,600,3.1169540882110596
82,399.3980614617467,1,0,112,9.068646430969238
83,388.5275630913675,1,0,74,8.289591789245605
84,394.3697404983686,1,0,124,9.665605545043945
85,-8.645430488424608,0,0,600,2.827577590942383
86,394.011098033865,1,0,196,13.473287582397461
87,389.5470291823149,1,0,67,6.804013252258301
88,405.5506960308412,1,0,85,11.72276782989502
89,-6.235981695819646,0,0,600,1.2311005592346191
90,32.415744011086645,0,0,600,16.422760009765625
