episode,return,success,collision,steps,path_length
0,398.17003054264933,1,0,102,11.574572563171387
1,387.47320675384253,1,0,68,7.861629009246826
2,1.7111569542903453,0,0,600,1.962806224822998
3,374.92071514669806,1,0,65,5.523160457611084
4,-11.331546999649163,0,0,600,2.961019277572632
5,391.31371304020286,1,0,114,9.029906272888184
6,380.4057509941049,1,0,142,12.217025756835938
7,-96.38262127991766,0,1,43,2.6282520294189453
8,-9.658522092802741,0,0,600,5.276198863983154
9,-20.507230995841383,0,0,600,4.027554512023926
10,10.226736851327587,0,0,600,15.525909423828125
11,17.749161569518037,0,0,600,10.213796615600586
12,413.1345686269924,1,0,186,16.762502670288086
13,385.24787164479494,1,0,59,6.337684154510498
14,410.1861780285835,1,0,106,10.588752746582031
15,11.482320421803706,0,0,600,4.340926170349121
16,391.81540411897004,1,0,69,8.864602088928223
17,-4.8978173326468095,0,0,600,3.017110824584961
18,2.861762524211372,0,0,600,8.006545066833496
19,410.29547941684723,1,0,91,11.893232345581055
20,374.3392534889281,1,0,52,4.784317493438721
21,2.074701162848214,0,0,600,2.6761035919189453
22,-6.6482294098241255,0,0,600,12.395915985107422
23,376.20637761149555,1,0,64,5.252683162689209
24,389.35920602083206,1,0,57,7.728618144989014
25,382.65911561623216,1,0,78,6.8236470222473145
26,389.5951778629096,1,0,111,10.967474937438965
27,387.143049178645,1,0,66,7.758528709411621
28,-0.8209991417661513,0,0,600,7.2798566818237305
29,-24.72739640965301,0,0,600,6.576119422912598
30,-17.406901145353913,0,0,600,5.924798965454102
31,383.9262334369123,1,0,64,6.961509704589844
32,-22.14933962366922,0,0,600,8.021923065185547
33,386.1225690280553,1,0,544,15.17284107208252
34,384.74870174657553,1,0,117,8.413373947143555
35,391.3338649000507,1,0,83,9.062264442443848
36,389.52015674859285,1,0,182,13.967350006103516
37,389.56041498854756,1,0,73,7.682176113128662
38,426.11851144884713,1,0,124,16.4388427734375
39,4.150430349933231,0,0,600,5.3952507972717285
40,-0.7283910895494046,0,0,600,3.7667737007141113
41,383.62424115557224,1,0,68,7.566843032836914
42,16.82060462073423,0,0,600,10.64499282836914
43,7.1402478432428325,0,0,600,8.258623123168945
44,-9.480661143403267,0,0,600,5.617467880249023
45,-0.3884650501422584,0,0,600,2.412306308746338
46,25.941631778543524,0,0,600,9.10411262512207
47,14.012574209053128,0,0,600,4.087258815765381
48,398.63806230574846,1,0,69,9.38274097442627
49,380.9380352124572,1,0,54,7.2449951171875
50,367.9108243401861,1,0,301,9.22027587890625
51,-2.2397055292967707,0,0,600,1.6107488870620728
52,-4.9248794588129385,0,0,600,12.404891967773438
53,-2.0149274968152895,0,0,600,0.9758531451225281
54,-24.197534599661594,0,0,600,4.201714992523193
55,-7.404816915623087,0,0,600,5.73338508605957
56,389.7432949990034,1,0,49,4.725009918212891
57,393.1299370126799,1,0,85,7.1888933181762695
58,19.906323108822107,0,0,600,6.876726150512695
59,-8.368700978579,0,0,600,6.126262187957764
60,410.9905187532131,1,0,302,19.00353240966797
61,381.0779184838757,1,0,62,6.534512996673584
62,418.1016730479896,1,0,98,14.860496520996094
63,393.127060369472,1,0,168,10.83551025390625
64,377.680192457512,1,0,88,5.728780269622803
65,385.166930899024,1,0,77,7.280859470367432
66,13.663226574607052,0,0,600,5.559324264526367
67,-2.359786952540162,0,0,600,2.1438772678375244
68,403.5812144353986,1,0,109,11.683236122131348
69,41.564734898507595,0,0,600,12.308549880981445
70,403.5177147090435,1,0,63,8.87801456451416
71,395.01272435278224,1,0,69,9.708593368530273
72,-1.325514717369515,0,0,600,2.494271993637085
73,391.4091818658635,1,0,132,10.156305313110352
74,-4.707194241695106,0,0,600,16.740949630737305
75,378.5896976618096,1,0,55,7.338526248931885
76,386.8169058896601,1,0,78,7.660717010498047
77,1.6956700012087822,0,0,600,8.552532196044922
78,2.7007502720080083,0,0,600,6.974884986877441
79,33.54114279872738,0,0,600,9.758955001831055
