episode,return,success,collision,steps,path_length
0,36.70824946719222,0,0,600,11.005311012268066
1,387.2910395655781,1,0,65,7.838907718658447
2,415.7031838186085,1,0,186,15.723783493041992
3,375.5219222428277,1,0,61,5.827663898468018
4,397.40856303230976,1,0,122,13.707130432128906
5,391.4329671356827,1,0,117,9.695926666259766
6,387.287015741691,1,0,80,7.990279674530029
7,396.6807638052851,1,0,105,10.187687873840332
8,-8.71103476996177,0,0,600,1.3051369190216064
9,407.2017540866509,1,0,89,11.935099601745605
10,387.8050193730742,1,0,105,7.064660549163818
11,-95.3369383038953,0,1,84,6.447336673736572
12,417.26464360021055,1,0,99,12.848347663879395
13,385.13117857277393,1,0,56,6.213548183441162
14,46.50996610301081,0,0,600,11.118632316589355
15,427.03135761024896,1,0,137,19.76618194580078
16,391.0120662469417,1,0,66,8.69893741607666
17,378.6748315116856,1,0,65,5.505251884460449
18,-26.132554790819995,0,0,600,12.800740242004395
19,410.5887702405453,1,0,91,12.520756721496582
20,15.078273485702994,0,0,600,6.295386791229248
21,-8.57952357301474,0,0,600,3.2748160362243652
22,1.3523282877868041,0,0,600,3.5628321170806885
23,378.98861138895154,1,0,63,6.449136734008789
24,389.6563623845577,1,0,60,7.896774768829346
25,382.8880236502737,1,0,76,6.638704299926758
26,388.11045366487815,1,0,67,8.484309196472168
27,387.6428933478892,1,0,63,7.916457653045654
28,-102.95376906110323,0,1,138,8.326911926269531
29,388.9694378467102,1,0,110,9.519288063049316
30,383.9932077478152,1,0,90,9.742926597595215
31,383.9408874164801,1,0,62,7.227427005767822
32,396.92321142414585,1,0,102,13.233351707458496
33,391.84608761210256,1,0,176,17.998340606689453
34,386.31943717598915,1,0,114,8.404566764831543
35,388.05859803408384,1,0,190,11.487197875976562
36,391.47158352611586,1,0,230,15.646934509277344
37,387.5409345962107,1,0,59,7.663318634033203
38,426.6017740238458,1,0,121,17.141895294189453
39,375.099378825631,1,0,94,8.884969711303711
40,6.933939497510437,0,0,600,8.020812034606934
41,383.19487576559186,1,0,61,7.3166608810424805
42,374.8002297207713,1,0,171,11.717576026916504
43,0.5049716979265213,0,0,600,3.1957030296325684
44,403.3775216654758,1,0,249,14.461469650268555
45,7.874461329403857,0,0,600,6.033843994140625
46,368.7453422425315,1,0,63,7.491785526275635
47,404.4850376690738,1,0,81,11.055763244628906
48,399.3419220969081,1,0,71,9.103032112121582
49,374.4379459330812,1,0,58,7.277784824371338
50,-99.50906987534836,0,1,173,12.276342391967773
51,-3.0356062568025663,0,0,600,5.616145610809326
52,397.0044827442616,1,0,154,16.428997039794922
53,21.466359451234894,0,0,600,9.362577438354492
54,368.47344190918375,1,0,114,6.910987854003906
55,-31.753839400946163,0,0,600,11.93847942352295
56,389.7425891160965,1,0,51,4.969824314117432
57,393.3369706906378,1,0,76,8.753604888916016
58,387.75679382681847,1,0,57,5.793313503265381
59,-7.975467559648678,0,0,600,3.151984214782715
60,52.59540338581428,0,0,600,16.8021297454834
61,24.373257467377698,0,0,600,6.9780378341674805
62,417.1907962486148,1,0,102,14.958573341369629
63,390.6240365561098,1,0,115,10.862199783325195
64,371.98142186013865,1,0,103,9.225211143493652
65,385.1744586545974,1,0,76,7.1387763023376465
66,438.3313730710652,1,0,139,15.91745376586914
67,-3.0568920708828955,0,0,600,1.1809585094451904
68,402.92038528388366,1,0,130,15.16159439086914
69,382.8146074078977,1,0,83,9.996798515319824
70,402.3887036219239,1,0,71,9.273530960083008
71,396.36252529965714,1,0,71,9.894746780395508
72,-10.715202862753358,0,0,600,18.202625274658203
73,391.405241150409,1,0,81,9.550129890441895
74,389.4593174085021,1,0,75,7.256228446960449
75,369.5742256883532,1,0,66,7.42978572845459
76,386.4205283373594,1,0,59,7.539984226226807
77,382.74834912549704,1,0,73,7.929355621337891
78,407.8712311213603,1,0,255,20.20769691467285
79,-7.470796725042646,0,0,600,3.188837766647339
80,409.0472638569772,1,0,121,15.2211332321167
81,-103.65875763515942,0,1,108,5.954325199127197
82,399.8631548695266,1,0,101,9.000112533569336
83,388.99720348231494,1,0,68,8.521263122558594
84,392.5400900384411,1,0,64,8.896919250488281
85,-17.333928804146126,0,0,600,5.405121803283691
86,4.390173738442172,0,0,600,4.711531639099121
87,389.23221304267645,1,0,59,6.5208353996276855
88,408.5154047291726,1,0,87,12.67829704284668
89,402.1210729175946,1,0,134,12.281560897827148
90,-115.42684646567795,0,1,65,3.433291435241699
91,-2.8383661955595016,0,0,600,3.2518527507781982
92,399.9057219675742,1,0,84,10.345444679260254
93,376.1737916059792,1,0,62,6.332283973693848
94,410.5260326489806,1,0,87,12.77794361114502
95,397.9463687023963,1,0,117,11.120767593383789
96,380.1350420303643,1,0,107,10.195537567138672
97,55.73851550760446,0,0,600,12.781805038452148
98,377.15091984532773,1,0,49,4.735223770141602
99,421.1956567466259,1,0,113,11.744475364685059
100,-14.339966512285173,0,0,600,3.2588720321655273
101,420.5307674193755,1,0,242,18.808719635009766
102,4.234355795138981,0,0,600,6.152005672454834
103,419.6558828353882,1,0,113,14.509620666503906
104,0.7974953931479831,0,0,600,10.695657730102539
105,13.374871244537644,0,0,600,7.307279109954834
106,19.115288952190895,0,0,600,10.301976203918457
107,388.9316411539912,1,0,58,7.280466079711914
108,371.9173614680767,1,0,42,4.585424423217773
109,404.13903260603547,1,0,130,14.46910572052002
110,24.358612596348394,0,0,600,23.943904876708984
111,397.66009382205084,1,0,84,9.856032371520996
112,394.53564807152725,1,0,377,20.38087272644043
113,50.89438162847364,0,0,600,13.490510940551758
114,405.44701487664133,1,0,83,11.563915252685547
115,398.7178557077423,1,0,76,11.06236743927002
116,-1.9207007380900905,0,0,600,6.7693328857421875
117,0.3004561933630612,0,0,600,4.0580573081970215
118,401.5077081543277,1,0,479,15.74594783782959
119,417.7054753229022,1,0,103,15.07482624053955
120,409.83075691759586,1,0,73,9.653233528137207
121,409.46271827071905,1,0,161,11.898950576782227
122,390.7178566964867,1,0,322,14.719513893127441
123,376.35790335200727,1,0,54,5.745002746582031
124,392.96150175482035,1,0,89,10.142902374267578
125,6.805935076758033,0,0,600,3.3651440143585205
126,-98.61933180503547,0,1,54,6.7702507972717285
127,10.764180528334691,0,0,600,11.80057144165039
128,386.86196426980314,1,0,164,10.269441604614258
129,-8.790165107697248,0,0,600,0.4809618592262268
130,384.33986157365143,1,0,121,12.058542251586914
131,49.672123946715146,0,0,600,14.505967140197754
132,-3.9681445286769303,0,0,600,3.1334586143493652
133,-7.105914730360382,0,0,600,5.515933036804199
134,409.6942947115749,1,0,85,12.809990882873535
135,73.60542203905061,0,0,600,24.782440185546875
136,406.31411508983,1,0,128,15.996824264526367
137,-5.9621380513417535,0,0,600,3.5452699661254883
138,409.6652228757739,1,0,112,14.701663970947266
139,-25.268443724955432,0,0,600,13.026697158813477
140,393.80878194142133,1,0,84,9.752973556518555
141,-16.084175268391846,0,0,600,5.816962718963623
142,-16.900164806866087,0,0,600,5.088903427124023
143,429.7268045217497,1,0,135,18.82914924621582
144,14.593592410368728,0,0,600,3.861469268798828
145,-1.3047955325819203,0,0,600,2.888066291809082
146,-20.158516427269205,0,0,600,6.6715168952941895
147,-16.09668933611829,0,0,600,4.926033020019531
148,408.9567982777953,1,0,98,13.13702392578125
149,424.5116133764386,1,0,105,16.143310546875
150,-15.254613638942828,0,0,600,5.059271812438965
151,-110.42870909813792,0,1,44,4.115335941314697
152,384.3603211743757,1,0,67,7.316913604736328
153,386.55797375552356,1,0,73,7.544927597045898
154,383.8818501261994,1,0,61,7.106595993041992
155,403.4252794906497,1,0,92,10.613819122314453
156,1.5888993009539263,0,0,600,1.7467141151428223
157,-8.850897163152695,0,0,600,0.8720437288284302
158,33.93086934051826,0,0,600,13.247074127197266
159,-98.47644431143999,0,1,79,5.931920528411865
160,411.17349669057876,1,0,87,12.479692459106445
161,405.19202749896795,1,0,119,13.366049766540527
162,-11.946002169614076,0,0,600,3.713123321533203
163,402.08371712453663,1,0,78,11.365816116333008
