episode,return,success,collision,steps,path_length
0,36.876471815630794,0,0,600,11.060723304748535
1,387.3149332171306,1,0,65,7.844210624694824
2,416.0203387401998,1,0,186,15.732126235961914
3,375.4019259456545,1,0,61,5.8133015632629395
4,397.1780927149812,1,0,131,14.002853393554688
5,391.45565467630513,1,0,117,9.694282531738281
6,387.54630472138524,1,0,81,8.026901245117188
7,396.7110869958997,1,0,105,10.194811820983887
8,-8.910850269778166,0,0,600,1.5049797296524048
9,407.20952406711876,1,0,89,11.933587074279785
10,387.68026621825993,1,0,105,7.066664218902588
11,-95.42033355124295,0,1,84,6.450126647949219
12,417.27075031399727,1,0,99,12.84992790222168
13,385.1311144530773,1,0,56,6.210972785949707
14,46.96686289556965,0,0,600,11.114736557006836
15,427.0237324403133,1,0,137,19.76987648010254
16,391.0165296504274,1,0,66,8.695783615112305
17,378.74794575280976,1,0,65,5.502854824066162
18,-26.57190401594562,0,0,600,12.80160903930664
19,410.5480862259865,1,0,91,12.519885063171387
20,15.087391036300687,0,0,600,6.276904106140137
21,1.9010169044559007,0,0,600,6.604286193847656
22,1.4252550303644966,0,0,600,3.579594612121582
23,379.25815261155367,1,0,64,6.52386474609375
24,389.6443043090403,1,0,60,7.895659923553467
25,383.0785477440804,1,0,77,6.686290740966797
26,388.10337218479253,1,0,67,8.478898048400879
27,387.9587032943964,1,0,64,8.004173278808594
28,-101.86461268350831,0,1,140,8.393087387084961
29,389.1270353876753,1,0,110,9.52295970916748
30,383.02963973477017,1,0,90,9.735243797302246
31,383.9875568160787,1,0,62,7.227732181549072
32,397.0288766869344,1,0,102,13.24091625213623
33,391.49684307165444,1,0,178,18.04625701904297
34,386.46385656576604,1,0,115,8.410140037536621
35,387.30236939620227,1,0,191,11.44656753540039
36,391.2236298279604,1,0,227,15.608108520507812
37,387.5783659555018,1,0,59,7.664693832397461
38,425.9950290322304,1,0,121,17.141433715820312
39,375.67479036329314,1,0,93,8.833624839782715
40,7.147745129885152,0,0,600,8.109090805053711
41,383.20310938730836,1,0,61,7.316689968109131
42,375.3565475572832,1,0,170,11.661409378051758
43,-0.015225412673316896,0,0,600,3.216675043106079
44,403.06377653818345,1,0,248,14.417293548583984
45,7.876243222250196,0,0,600,6.0173211097717285
46,368.8712917128578,1,0,63,7.489565849304199
47,404.4607380903326,1,0,81,11.054046630859375
