episode,return,success,collision,steps,path_length
0,397.8482006005943,1,0,77,10.167510032653809
1,387.369624260813,1,0,64,7.79126501083374
2,414.2677401551191,1,0,125,14.334867477416992
3,374.599472226575,1,0,53,5.447344779968262
4,397.08359552000184,1,0,89,11.860785484313965
5,391.01906683295965,1,0,82,8.618642807006836
6,386.7925099693239,1,0,67,7.9204630851745605
7,393.0962945604697,1,0,98,9.024908065795898
8,419.2642133976042,1,0,101,13.238525390625
9,407.0290267788805,1,0,87,12.085400581359863
10,387.71042417548597,1,0,70,6.75365686416626
11,370.9939109943807,1,0,90,8.283601760864258
12,418.3389052338898,1,0,105,12.5077486038208
13,24.641031752340496,0,0,600,7.650660037994385
14,408.5285937488079,1,0,83,9.937541961669922
15,427.0189461748814,1,0,145,18.48038101196289
16,392.0301875350997,1,0,71,8.563689231872559
17,381.2150907898322,1,0,60,5.725409984588623
18,419.6677749645896,1,0,239,21.24554443359375
19,410.05395360291004,1,0,85,12.120118141174316
20,374.03264655265957,1,0,47,4.805296897888184
21,424.9450104365824,1,0,218,18.301551818847656
22,392.96922806464136,1,0,114,11.371235847473145
23,20.01219183090143,0,0,600,8.709991455078125
24,389.2559881284833,1,0,61,8.074922561645508
25,382.16133156686556,1,0,110,7.242822647094727
26,386.4957207366824,1,0,69,8.616185188293457
27,387.4582760129124,1,0,59,7.642602920532227
28,381.00203071767464,1,0,115,9.895186424255371
29,387.6166786206886,1,0,89,8.84549331665039
30,384.8055280360859,1,0,92,9.748664855957031
31,384.0785745633766,1,0,75,6.949254989624023
32,397.43529967591166,1,0,101,13.262314796447754
33,380.655034417985,1,0,149,14.84939193725586
34,388.0348953776993,1,0,95,9.204919815063477
35,387.13637471199036,1,0,108,9.88504409790039
36,385.17779645056,1,0,191,13.813748359680176
37,389.1726202145219,1,0,65,7.5458831787109375
38,421.58955227956176,1,0,106,15.353339195251465
39,378.3832970801741,1,0,92,9.37133502960205
40,-112.19315035454929,0,1,44,3.17425799369812
41,381.4532827709336,1,0,86,7.475355625152588
42,374.26476502162404,1,0,103,10.677338600158691
43,455.75585151463747,1,0,166,22.06913948059082
44,-32.64031629540841,0,0,600,5.176340103149414
45,0.5285583508375566,0,0,600,3.444093704223633
46,382.04427191242576,1,0,81,8.31332778930664
47,404.31231969967484,1,0,83,10.990900993347168
