episode,return,success,collision,steps,path_length
0,397.9684466775507,1,0,84,10.322290420532227
1,387.12537068128586,1,0,62,7.585840225219727
2,412.7222812268883,1,0,119,14.26416015625
3,375.49742956180125,1,0,54,5.513560771942139
4,397.7193982405588,1,0,85,11.277441024780273
5,390.93761255126446,1,0,73,8.585184097290039
6,386.84525467827916,1,0,62,7.943171977996826
7,-91.89394800784066,0,1,53,4.394774436950684
8,418.4060929529369,1,0,92,13.186270713806152
9,407.0336423085537,1,0,90,12.39293384552002
10,387.4825445478782,1,0,59,6.735165596008301
11,368.4649526239373,1,0,85,7.569950103759766
12,417.56737172510475,1,0,102,12.411844253540039
13,384.7269093208015,1,0,56,6.149989604949951
14,407.4218455068767,1,0,87,9.828963279724121
15,426.00057067582384,1,0,137,17.962120056152344
16,391.9573691850528,1,0,69,8.504027366638184
17,379.8965468269307,1,0,115,6.689158916473389
18,417.5844166650786,1,0,265,20.66974639892578
19,409.5944407135248,1,0,82,12.109150886535645
20,373.9916171506047,1,0,51,5.018813610076904
21,-10.606424222933128,0,0,600,6.080720901489258
22,392.7105881366879,1,0,112,11.058341979980469
23,376.7049802748952,1,0,81,5.264493942260742
24,389.418036416173,1,0,59,8.02858829498291
25,382.6052302643657,1,0,65,6.666169166564941
26,390.36153638735414,1,0,68,8.43623161315918
27,386.8986326344311,1,0,58,7.638880729675293
28,-116.47917074337602,0,1,39,2.990949869155884
29,386.6069326652214,1,0,80,8.643450736999512
30,385.92332815763075,1,0,88,9.952733993530273
31,384.0853959363885,1,0,67,7.084665775299072
32,395.37291265651584,1,0,101,13.569286346435547
33,-108.6806204393506,0,1,42,4.9956440925598145
34,388.42621163092554,1,0,93,9.18380069732666
35,387.98349577747285,1,0,108,9.942845344543457
36,388.58209581300616,1,0,144,12.856889724731445
37,389.9460557475686,1,0,61,7.738361358642578
38,423.032986700302,1,0,112,15.601736068725586
39,373.4965195171535,1,0,74,8.065627098083496
40,382.9671229395899,1,0,105,9.878111839294434
41,382.1715584676713,1,0,77,7.371457576751709
42,373.75401452108053,1,0,83,9.8693265914917
43,-105.3079639878124,0,1,30,0.9628527760505676
44,408.1521571823687,1,0,168,13.565437316894531
45,5.534069906876539,0,0,600,7.369622230529785
46,381.2594595850678,1,0,87,8.354588508605957
47,404.26075018011034,1,0,83,10.941733360290527
48,397.47250924259424,1,0,77,9.18661117553711
49,379.08970288932323,1,0,57,7.077149868011475
50,-10.85888564097695,0,0,600,2.220764398574829
51,398.71403438120615,1,0,201,16.27773666381836
52,393.46869687736034,1,0,83,10.210259437561035
53,397.68285934394225,1,0,235,18.212820053100586
54,370.04541831836104,1,0,58,6.272511959075928
55,419.26566969789565,1,0,215,18.059581756591797
56,389.9158380776644,1,0,48,4.785210609436035
57,-111.54842206090689,0,1,14,0.7327679395675659
58,387.64118503034115,1,0,65,5.982728481292725
59,375.31203536025714,1,0,129,8.961543083190918
60,415.6933552008122,1,0,93,14.30413818359375
61,380.8193084569648,1,0,58,6.362531661987305
62,417.19494773447514,1,0,103,15.083260536193848
63,399.9834222868085,1,0,102,11.793720245361328
64,377.5454289857298,1,0,65,5.725261211395264
65,384.79445337690413,1,0,66,7.481139183044434
66,439.92423817515373,1,0,105,14.566487312316895
67,-1.8562768651524948,0,0,600,9.453910827636719
68,40.68630292965099,0,0,600,13.81313705444336
69,398.1107209585607,1,0,102,11.449151992797852
70,403.2797199562192,1,0,67,8.94913101196289
71,396.3362671211362,1,0,73,9.408122062683105
72,421.3789762975648,1,0,190,17.000289916992188
73,392.1832803376019,1,0,109,9.530069351196289
74,386.43457325547934,1,0,76,7.433538913726807
75,384.4692352619022,1,0,59,7.435634136199951
76,384.51880272850394,1,0,69,7.689202308654785
77,377.69623620272614,1,0,84,7.946352481842041
78,411.4104247633368,1,0,218,15.894311904907227
79,391.14243829855695,1,0,100,9.482898712158203
80,407.4723789858981,1,0,116,14.962780952453613
81,365.1258205920458,1,0,62,5.432164669036865
82,401.5803240388632,1,0,74,8.603998184204102
83,389.9297191761434,1,0,66,8.329610824584961
84,394.3549996102229,1,0,70,8.956586837768555
85,419.1419684942812,1,0,104,15.631038665771484
86,-9.436510368948802,0,0,600,6.859301567077637
87,387.5729785878211,1,0,63,6.440403461456299
88,43.16747880191542,0,0,600,44.173805236816406
89,-116.2409156258218,0,1,47,2.9907219409942627
90,379.3117668470368,1,0,94,11.520454406738281
91,406.1320393907372,1,0,167,19.295196533203125
92,399.0390955284238,1,0,80,10.393794059753418
93,375.36048179026693,1,0,60,6.364835739135742
94,-112.99852205067873,0,1,29,2.1947734355926514
95,396.34725306835026,1,0,101,9.870614051818848
96,380.87581246718764,1,0,158,13.025874137878418
97,411.0470533706248,1,0,98,11.341870307922363
98,377.82218120247126,1,0,46,4.5698018074035645
99,420.7492170482874,1,0,77,10.692536354064941
100,-2.647203230386367,0,0,600,3.5012216567993164
101,420.3879351275973,1,0,167,19.343109130859375
102,396.97628649440594,1,0,138,11.50394058227539
103,419.4392659217119,1,0,97,14.75631046295166
104,4.7399022781755775,0,0,600,2.438122272491455
105,376.7272368520498,1,0,58,5.407144069671631
106,372.6619099676609,1,0,79,7.782790660858154
107,389.34377443790436,1,0,60,7.274241924285889
108,371.88943959772587,1,0,50,4.549643039703369
109,408.83756008790806,1,0,101,12.152005195617676
110,371.50022584572434,1,0,57,5.963724613189697
111,397.3729381719604,1,0,81,9.85636043548584
112,381.2351067457348,1,0,83,9.733085632324219
113,405.534997983661,1,0,104,11.97768783569336
114,405.62273418717086,1,0,83,11.456954956054688
115,403.98345249611884,1,0,90,11.936701774597168
116,3.3541100134461885,0,0,600,2.1029551029205322
117,385.39832906238735,1,0,89,8.588959693908691
118,407.0540282563088,1,0,161,13.878741264343262
119,418.0090508405119,1,0,103,15.378003120422363
120,412.0172680414471,1,0,71,9.756280899047852
121,408.04431208595634,1,0,89,12.367840766906738
122,-71.02230001799762,0,1,131,12.256195068359375
123,376.4225033838302,1,0,49,5.386329174041748
124,396.910499737598,1,0,94,10.706376075744629
125,447.1414239250589,1,0,123,19.89095687866211
126,44.01704242476262,0,0,600,17.024669647216797
127,23.029206202460045,0,0,600,5.677306175231934
128,388.8742226967588,1,0,109,10.032219886779785
129,412.2779698841041,1,0,114,13.17976188659668
130,383.05577069567516,1,0,97,11.194561004638672
131,404.64309113286436,1,0,124,13.997353553771973
132,-8.959739507641643,0,0,600,1.6084649562835693
133,397.3860191917047,1,0,148,12.028959274291992
134,409.9408075758256,1,0,93,12.181041717529297
135,436.0515017043799,1,0,145,22.97193145751953
136,49.38793587638065,0,0,600,16.857879638671875
137,-6.6909123515943065,0,0,600,3.241691827774048
138,-112.60408769920468,0,1,32,2.622809886932373
139,421.18059519521194,1,0,131,14.383797645568848
140,393.78282685019076,1,0,65,8.932341575622559
141,435.37828839290887,1,0,127,19.97549819946289
142,39.037890976062045,0,0,600,26.339860916137695
143,428.56440805085003,1,0,143,17.428852081298828
144,17.588771478272974,0,0,600,7.328667640686035
145,395.5228688335046,1,0,130,13.556401252746582
146,415.3298216282856,1,0,136,15.852518081665039
147,415.8725812503835,1,0,183,18.554553985595703
148,408.2061470616609,1,0,107,14.613153457641602
149,420.2957849688828,1,0,113,15.751008987426758
150,386.51134401373565,1,0,89,9.045116424560547
151,371.3594139609486,1,0,67,5.739186763763428
152,384.8825766444206,1,0,59,7.546191692352295
153,386.60365259088576,1,0,68,7.5936079025268555
154,383.94066318590194,1,0,63,6.967535018920898
155,403.01978807046544,1,0,79,10.949219703674316
156,378.48710526528885,1,0,142,11.76717472076416
157,-115.7966726385057,0,1,45,3.4380109310150146
158,396.8425526767969,1,0,75,7.398507595062256
159,389.2974833587068,1,0,117,12.060442924499512
160,410.0702404649928,1,0,87,12.56265926361084
161,402.8865170813515,1,0,118,13.41158676147461
162,376.8529595223372,1,0,91,9.31803035736084
163,403.3937650267326,1,0,78,11.10049057006836
164,414.2454681620002,1,0,104,12.96480655670166
165,-12.164044828037731,0,0,600,2.5195119380950928
166,14.668747894258559,0,0,600,8.737338066101074
167,386.02527650259435,1,0,67,8.828035354614258
168,388.1809364440851,1,0,92,10.41464614868164
169,-4.11684006897849,0,0,600,1.189994215965271
170,405.9441734906286,1,0,77,11.833951950073242
171,426.18845999613404,1,0,102,16.50377082824707
172,409.1440620943904,1,0,90,12.718137741088867
173,388.85182366799563,1,0,219,16.50547218322754
174,372.49724252708256,1,0,45,4.760334014892578
175,-103.79414512217045,0,1,8,0.1561252772808075
176,406.09145581163466,1,0,90,11.759020805358887
177,399.94915082864463,1,0,97,11.949991226196289
178,390.8776076895592,1,0,64,8.723352432250977
179,377.6704303957522,1,0,70,6.58216667175293
180,-113.95555298216641,0,1,54,3.2275431156158447
181,379.76051658857614,1,0,77,7.72857666015625
182,384.4493572721258,1,0,109,9.974504470825195
183,395.9608174125897,1,0,243,18.521364212036133
184,396.64879780914634,1,0,90,9.92381477355957
185,14.033781928010285,0,0,600,4.595766067504883
186,378.8035438959487,1,0,95,8.738448143005371
187,377.8537420164794,1,0,61,5.098621368408203
188,406.2360216463385,1,0,125,15.591300010681152
189,15.771327490525437,0,0,600,12.106237411499023
190,378.9701992608607,1,0,88,9.078569412231445
191,389.0920991227031,1,0,86,9.556989669799805
192,403.75210797414184,1,0,285,23.90975570678711
193,377.54985985159874,1,0,53,5.695206165313721
194,398.4176405603066,1,0,138,12.794260025024414
195,379.09808010203415,1,0,72,5.4687957763671875
196,371.54449543729424,1,0,66,6.093795299530029
197,408.2765095917275,1,0,113,13.407501220703125
198,413.977253459394,1,0,90,13.6166410446167
199,-1.728663332067299,0,0,600,3.425410032272339
