timesteps,fps,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean
10000,309,138.77346902253214,199.6342884336142,0.38,0.3,257.4,9.557008233070373
20000,217,139.23851223100232,205.41244094135678,0.38,0.34,253.4,11.018641664981843
30000,200,219.79295904723543,199.19385503043995,0.56,0.18,249.66,11.723462004363537
40000,193,248.2103373522182,195.85060930496203,0.64,0.16,220.04,10.528519287109376
50000,188,197.23002236787318,202.93601929820883,0.5,0.14,287.86,11.198155031204223
60000,186,240.70700515769758,195.06205889488584,0.62,0.16,233.68,11.358430352210998
70000,183,214.4422726491206,201.12870186886272,0.56,0.1,288.14,10.257481776475906
80000,181,212.81015089564715,201.09902951434802,0.54,0.08,312.14,10.680816044807434
90000,179,255.0165870704539,186.752465256972,0.64,0.04,294.0,11.147617158889771
100000,178,204.587178925185,206.5536716053598,0.52,0.14,289.06,10.54109126329422
110000,178,244.9252804267904,199.6557213486626,0.64,0.12,228.3,9.909069330692292
120000,177,260.1840636485882,193.84653914090916,0.68,0.1,223.18,9.342326979637146
130000,177,277.23166603331424,187.40455068989965,0.72,0.1,209.88,8.91378080368042
140000,177,279.0151598800182,193.53307665200143,0.72,0.14,191.0,10.259851593971252
150000,177,246.190088657631,206.74865090234175,0.64,0.16,212.0,9.261951169967652
160000,177,235.4138876547139,201.01203700228925,0.62,0.14,230.72,9.325000954270363
170000,177,298.8870924302716,174.6729746107322,0.76,0.08,191.68,10.44574989080429
180000,176,231.92108650432098,205.87955309114417,0.6,0.12,246.1,10.28240338265896
190000,176,267.66094471877665,185.46273986877387,0.68,0.06,226.52,8.880825555324554
200000,176,297.4704768954935,168.35603454861484,0.76,0.04,207.16,9.677462110519409
210000,176,262.726417754817,196.0113483905548,0.68,0.1,226.26,9.96839199066162
220000,176,293.4552552198946,179.6987098467627,0.76,0.12,161.44,9.829581634998322
230000,176,301.0159043304857,178.3469500553274,0.78,0.1,170.6,9.94160342991352
240000,176,287.70727961191244,188.94512981651377,0.74,0.12,183.22,10.602174137234687
250000,176,268.67044975481434,192.89342166224105,0.7,0.12,202.54,9.435526478290559
260000,176,233.4860635656067,204.52714149872168,0.62,0.2,187.94,8.605753268003463
270000,176,287.6404955696409,182.8128662747052,0.74,0.06,197.1,9.227298693656921
280000,176,282.2594416183901,185.3228183497242,0.72,0.04,216.84,9.606337387561798
290000,176,288.42245776073526,184.1614242952337,0.74,0.08,209.88,10.172891702651977
300000,176,268.81422705324326,192.02201472600336,0.7,0.1,205.6,9.20890750169754
310000,176,272.13838909880826,191.09189929418653,0.7,0.1,195.36,9.566095786094666
320000,176,261.03201347398624,195.30595395834666,0.68,0.14,196.36,9.145930730104446
330000,176,276.1850531322742,193.85235108286375,0.72,0.14,171.06,8.827035790085793
340000,176,311.64948461985085,167.3162583225581,0.8,0.08,166.12,9.906005796194076
350000,176,294.4158064092988,174.60847235503672,0.74,0.04,221.12,10.644175417423249
360000,176,300.2362993184219,172.2605430286888,0.76,0.0,229.8,9.376512036919594
370000,176,294.9245151188297,178.35787916622138,0.74,0.06,213.38,10.645314552783965
380000,176,286.15602430418886,180.51107449986986,0.74,0.08,176.8,8.29854252398014
390000,176,260.4811193600807,195.55668496520937,0.68,0.12,194.5,8.473641967773437
400000,176,287.9442991515749,181.99811294539842,0.74,0.08,178.1,9.17167977809906
410000,176,322.40133218321125,150.84147500833652,0.82,0.02,185.76,10.296786260604858
420000,176,318.6075376832018,165.71368194544635,0.82,0.08,141.88,9.20803711295128
430000,176,319.59163940745947,161.62462567849607,0.82,0.04,160.74,8.557501585483552
440000,176,276.85369454378207,187.75253336268372,0.7,0.08,210.9,9.800757415294648
450000,176,316.0068552150268,164.51745834109005,0.8,0.06,166.92,10.379534940719605
460000,176,258.8104912924892,201.57414381778037,0.7,0.24,113.42,8.035567491054534
470000,176,284.60665518722703,189.63092351625778,0.74,0.2,125.58,9.97588150024414
480000,176,332.5647056337826,145.48769467314193,0.84,0.02,169.48,10.606627719402313
490000,176,298.9475914114316,170.431224371198,0.76,0.04,195.66,10.162257821559907
500000,176,327.8719381183447,149.27738110912708,0.84,0.04,150.58,10.155458083152771
