timesteps,fps,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean
10000,1101,33.76838544127944,110.161401439012,0.08,0.06,374.1,18.617257838249206
20000,1065,52.23301486923896,101.9770470640074,0.08,0.0,383.78,15.695593254566193
30000,1045,51.53328812895705,85.10959204211116,0.06,0.0,381.12,10.274557976722717
40000,1022,80.29259724368657,127.56886954919315,0.14,0.0,361.34,13.206521291732788
50000,1032,143.4588034100398,168.8760127046435,0.3,0.02,310.64,12.816736917495728
60000,1029,88.4734052584956,139.8121171125828,0.16,0.04,345.2,14.963976097106933
70000,1034,135.61569649330445,179.30221433317521,0.32,0.1,282.54,15.829016656875611
80000,1030,99.3645304084049,155.35145539895268,0.2,0.04,333.66,16.736695289611816
90000,1042,128.54993375499666,174.72863504782694,0.3,0.08,305.76,17.345247106552122
100000,1047,130.1011864003833,186.27433418149835,0.32,0.12,286.04,19.57425507545471
110000,1041,80.94594113403384,130.94434087020764,0.14,0.02,354.72,15.299639167785644
120000,1042,116.33707237157928,155.1470003755115,0.24,0.04,318.0,14.475939922332763
130000,1043,135.90125574773745,172.1819991753012,0.3,0.04,300.6,14.172021589279176
140000,1041,122.27704271804814,154.06272004788917,0.24,0.0,328.36,13.037498092651367
150000,1043,175.58545112542302,177.76776024927992,0.38,0.0,286.44,14.821950998306274
160000,1046,185.6077205233982,176.25507501597303,0.42,0.0,273.16,13.307604551315308
170000,1049,201.38355469275245,187.75654603179143,0.48,0.06,240.82,11.825240516662598
180000,1053,227.41827000670585,181.58484561699603,0.54,0.02,231.66,11.57544376373291
190000,1054,184.12612408056833,175.06115027937156,0.42,0.0,268.6,10.220753231048583
200000,1059,213.67552833201097,179.1900012270494,0.5,0.0,247.76,10.336234664916992
210000,1063,207.54412303481732,179.24455517912773,0.48,0.0,249.32,10.928866472244263
220000,1071,277.1041194133423,173.0671560611599,0.68,0.02,182.56,11.477202491760254
230000,1079,289.6333805230585,166.82561932021926,0.72,0.04,164.56,11.955832910537719
240000,1085,295.04589331013585,159.05480420057296,0.72,0.0,171.72,11.146802558898926
250000,1092,306.2829104937626,152.89583909675227,0.76,0.0,158.06,10.17241044998169
260000,1102,344.67782833421,133.6970727990043,0.86,0.02,130.28,11.097106647491454
270000,1111,373.1639208947441,89.81739514034118,0.94,0.0,93.28,9.622084007263183
280000,1118,365.6371590349809,98.82041095282445,0.92,0.0,104.08,9.916434698104858
290000,1126,358.8032678423816,113.12127577914218,0.9,0.0,106.12,9.782824029922486
300000,1133,345.46574798668996,127.37855736198163,0.86,0.0,121.0,10.399777212142943
310000,1140,359.3867259372493,109.0038358963447,0.9,0.0,110.74,10.351497497558594
320000,1146,347.4132409841039,129.06382928305965,0.86,0.0,136.16,10.943811464309693
330000,1149,315.92246668389765,146.82372868021264,0.78,0.0,155.84,10.595035648345947
340000,1148,355.0726971378899,119.60997075136751,0.88,0.0,126.44,10.87125509262085
350000,1140,380.64655197119396,73.7547440203782,0.96,0.0,94.94,10.190810737609864
360000,1114,377.6186940776056,90.868002311397,0.94,0.0,104.52,11.014276447296142
370000,1086,382.4599636602751,67.32652975359564,0.96,0.0,93.62,10.53863971710205
380000,1066,383.8883901221689,68.21193695448967,0.96,0.0,85.28,10.280588884353637
390000,1048,353.941943572051,115.5624546971105,0.88,0.0,114.88,10.434955520629883
400000,1050,369.70965344915703,97.78234824888105,0.94,0.02,93.72,10.39731086730957
410000,1060,398.73618662799475,15.72316289561847,1.0,0.0,75.4,10.568657808303833
420000,1066,380.7849244491024,76.34339219982202,0.96,0.0,85.8,10.021315031051635
430000,1075,398.2627465485164,14.127419725583733,1.0,0.0,77.22,10.526704559326172
440000,1081,390.1215214223531,51.81321483071158,0.98,0.0,85.32,10.866116790771484
450000,1087,387.56254897224056,53.07596500460983,0.98,0.0,88.4,10.750373659133912
460000,1094,400.515821996741,14.337937163726078,1.0,0.0,76.56,11.008893613815308
470000,1102,396.55793608058974,15.390101799977,1.0,0.0,77.68,10.618658046722413
480000,1111,379.9780883439118,89.18825940662924,0.96,0.02,82.8,10.907182292938232
490000,1119,396.13274738399195,15.996777137601983,1.0,0.0,70.24,9.947091588973999
500000,1127,377.45293847582855,70.6236313308896,0.96,0.0,92.42,10.493167190551757
