timesteps,fps,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean
470000,81239,-109.7425542967394,0.0,0.0,1.0,49.0,5.926085472106934
480000,40069,-109.75198781490326,0.0,0.0,1.0,49.0,5.934072971343994
490000,27130,-102.89563049469143,0.0,0.0,1.0,49.0,6.185051918029785
500000,18984,413.4776970096864,0.0,1.0,0.0,203.0,21.10593032836914
510000,15197,417.68057250697166,0.0,1.0,0.0,119.0,16.676027297973633
520000,12706,417.16341927368194,0.0,1.0,0.0,127.0,16.373416900634766
530000,11006,416.86695480067283,0.0,1.0,0.0,111.0,15.75704574584961
540000,9829,416.86120077688247,0.0,1.0,0.0,102.0,15.433472633361816
550000,8948,416.8198943110183,0.0,1.0,0.0,98.0,15.3089017868042
560000,8219,416.6339792581275,0.0,1.0,0.0,94.0,15.229161262512207
570000,7615,416.1587143810466,0.0,1.0,0.0,91.0,15.101818084716797
580000,7058,416.19781441707164,0.0,1.0,0.0,90.0,15.049776077270508
590000,6608,416.2622265042737,0.0,1.0,0.0,90.0,15.07046890258789
