timesteps,fps,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean
520000,69121,328.33736651637713,174.34603817174454,0.78,0.06,182.04,17.10377565383911
530000,35836,352.38216979287216,168.0895290327984,0.86,0.1,131.62,16.43632879257202
540000,21700,333.0972620405737,165.4325556103789,0.78,0.04,188.38,17.573040428161622
550000,16359,321.6742979711411,172.75841474077765,0.76,0.06,187.14,17.172751836776733
560000,11923,309.1033939307378,167.31948208431447,0.7,0.02,222.7,17.830689058303832
570000,8408,327.119475135145,171.36111233801853,0.78,0.06,175.22,16.319763879776
580000,6336,282.6760179051253,183.65114446983668,0.64,0.04,237.56,17.22501982688904
590000,5074,251.8514043457739,185.05780804367038,0.56,0.04,264.18,16.741043977737426
600000,4329,287.7198995274686,176.94026694005893,0.66,0.04,224.14,16.814055013656617
610000,3744,288.88239902228554,168.2878012466237,0.64,0.0,251.7,17.584220314025877
620000,3386,311.41105826014956,185.09228948613324,0.74,0.08,175.72,16.478321352005004
630000,3129,388.3412193728052,127.0032386804629,0.94,0.06,104.0,16.15563380241394
640000,2881,350.22503882268154,146.5394838084931,0.82,0.02,167.08,16.886219511032106
650000,2701,393.87051641517627,100.30893079786757,0.94,0.02,118.34,16.509369735717772
660000,2551,402.80883475445734,88.84191855080577,0.96,0.02,109.58,16.68783885002136
670000,2418,382.85452728144975,107.5429590080506,0.9,0.0,139.82,17.149187126159667
680000,2309,381.8172817817201,122.34225524588307,0.92,0.04,110.42,15.920325002670289
690000,2206,379.83745526330347,105.7700216147011,0.9,0.0,135.82,16.525674724578856
700000,2107,378.465824052809,115.3683663232518,0.9,0.02,131.66,16.877908668518067
710000,2028,406.65728563942713,72.38852735317991,0.98,0.02,96.74,15.61348183631897
720000,1962,401.27805989739574,82.33003095880443,0.96,0.02,105.2,16.265831565856935
730000,1903,407.95619649127264,75.45209634918355,0.98,0.02,96.16,15.860972108840942
740000,1840,400.4078649565886,87.76631901904399,0.96,0.02,102.4,15.844604616165162
750000,1782,409.55907164025587,52.633801645206496,0.98,0.0,102.8,15.76352289199829
760000,1735,416.92980269771067,9.600696442036796,1.0,0.0,96.54,15.966578426361083
770000,1718,384.13541797423636,113.08434438531785,0.92,0.02,119.52,16.091111278533937
780000,1714,369.8075596731909,129.09118013249085,0.88,0.02,134.14,16.067418937683104
790000,1711,417.3013014460411,9.39971677882597,1.0,0.0,94.44,15.77538558959961
800000,1703,357.12633378102674,132.88215258919345,0.84,0.0,159.94,17.233361473083495
810000,1696,393.7295956860739,102.42123901417412,0.94,0.02,111.22,16.516118459701538
820000,1690,411.4404851376223,52.30385407519319,0.98,0.0,104.44,16.431268043518067
830000,1685,408.3716532828286,74.32454112510966,0.98,0.02,95.4,16.07770378112793
840000,1680,408.175436821552,73.67324783107696,0.98,0.02,94.54,15.816379957199096
850000,1675,417.74875095946715,8.959842324711966,1.0,0.0,93.98,15.806248207092285
860000,1671,385.1279608413577,125.90241835703453,0.94,0.06,90.44,15.071394472122192
870000,1665,420.65102137072944,9.943708461558712,1.0,0.0,97.76,16.531221714019775
880000,1660,393.97096238171684,104.16822558425774,0.96,0.04,92.06,15.174277715682983
890000,1655,400.90034817940204,84.06244546744274,0.96,0.02,105.3,16.53512403488159
