episode,return,success,collision,steps,path_length
0,393.8493508324027,1,0,72,9.946721076965332
1,420.4433434959501,1,0,109,18.894750595092773
2,394.5907658629003,1,0,91,12.441298484802246
3,417.3966158698313,1,0,116,20.21308708190918
4,448.40662613511086,1,0,108,18.804325103759766
5,417.87785854563117,1,0,92,15.55222225189209
6,451.8902650773525,1,0,122,21.608861923217773
7,415.4575086068362,1,0,101,14.824527740478516
8,50.98501584902988,0,0,500,31.34416961669922
9,421.06063346378505,1,0,107,17.96265411376953
10,409.4321571951732,1,0,95,15.390296936035156
11,449.18335682339966,1,0,134,23.91796112060547
12,446.0609053680673,1,0,134,24.048891067504883
13,430.8275217413902,1,0,112,19.5556640625
14,417.28479966474697,1,0,98,16.292715072631836
15,426.76924024522305,1,0,115,20.263944625854492
16,450.50622203201056,1,0,114,20.05970001220703
17,400.85499545000494,1,0,92,15.571088790893555
18,402.7922670254484,1,0,119,18.11910057067871
19,435.8251286111772,1,0,104,17.827495574951172
20,425.0019471682608,1,0,110,19.04043960571289
21,17.510551586989095,0,0,500,22.752071380615234
22,-110.63232495449483,0,1,44,6.063176155090332
23,412.0142934808973,1,0,93,15.061592102050781
24,421.2804002603516,1,0,109,18.714378356933594
25,432.9653586037457,1,0,105,18.220609664916992
26,406.06727321632206,1,0,91,13.884018898010254
27,398.2032390870154,1,0,98,16.739139556884766
28,405.14251863595564,1,0,95,14.542881965637207
29,401.76696336455643,1,0,106,15.313775062561035
30,449.74676106125116,1,0,126,22.467792510986328
31,443.529885917902,1,0,103,17.738428115844727
32,415.7290528898011,1,0,93,14.990503311157227
33,425.3724785428494,1,0,97,16.53757667541504
34,449.5090824253857,1,0,134,23.90766143798828
35,417.73498193360865,1,0,110,19.26126480102539
36,410.0067784264684,1,0,83,13.183725357055664
37,453.8530270308256,1,0,126,22.43671226501465
38,413.09718612674624,1,0,111,17.959030151367188
39,411.9797691460699,1,0,83,13.804739952087402
40,417.53594209067523,1,0,102,17.545427322387695
41,425.68328998982906,1,0,109,19.002859115600586
42,394.8940421571024,1,0,95,13.157147407531738
43,404.62764997943304,1,0,83,12.973652839660645
44,401.5769814653322,1,0,99,13.934165954589844
45,404.70439330348745,1,0,88,13.648148536682129
46,389.87876856315415,1,0,229,30.042980194091797
47,446.5562483072281,1,0,108,18.86931037902832
48,401.1390499007175,1,0,123,17.857255935668945
49,-107.61023052036762,0,1,44,6.070119857788086
50,436.42193012684584,1,0,107,16.077667236328125
51,448.50416591763496,1,0,127,22.656408309936523
52,-104.74674328044057,0,1,45,5.981173038482666
53,421.7080194549635,1,0,103,17.85708999633789
54,414.8904881104827,1,0,97,16.670385360717773
55,412.153295006603,1,0,104,17.710927963256836
56,445.3757462874055,1,0,123,21.65081024169922
57,-122.2270696258638,0,1,30,2.506138563156128
58,397.5677183466614,1,0,106,14.444437980651855
59,398.50581436464563,1,0,87,13.204133987426758
60,424.55504939705133,1,0,99,17.008634567260742
61,407.00767830200493,1,0,81,13.062620162963867
62,409.5794216906652,1,0,128,19.48833656311035
63,65.08742346182407,0,0,500,26.85258674621582
64,395.4935916485265,1,0,120,16.841567993164062
65,417.2435003221035,1,0,93,14.451539039611816
66,406.62192599195987,1,0,105,18.248083114624023
67,405.5888790804893,1,0,96,15.349688529968262
68,404.48471359023824,1,0,84,13.172182083129883
69,433.86853360012174,1,0,106,18.44280433654785
70,407.5107320928946,1,0,118,16.645307540893555
71,-102.60563971416559,0,1,154,21.967012405395508
72,395.53346170764416,1,0,78,11.481049537658691
73,414.3113959375769,1,0,91,15.06213665008545
74,405.7285102363676,1,0,86,14.230164527893066
75,453.0654812529683,1,0,119,21.0704288482666
76,443.50606240332127,1,0,105,18.223430633544922
77,398.0088650333928,1,0,81,12.20022201538086
78,414.91195641458035,1,0,89,14.623798370361328
79,438.9314067736268,1,0,107,18.33639907836914
80,449.2373724281788,1,0,121,21.467119216918945
81,425.93663432076573,1,0,101,17.43742561340332
82,439.10865445435047,1,0,101,17.16644287109375
83,441.309493213892,1,0,100,17.25400733947754
84,371.698669476551,1,0,197,17.878210067749023
85,433.2258063107729,1,0,111,19.41164779663086
86,389.28277484170394,1,0,97,11.383545875549316
87,405.5052312044427,1,0,96,16.455821990966797
88,419.49950835388154,1,0,103,17.720056533813477
89,399.8331370782107,1,0,98,16.841964721679688
90,436.7319267168641,1,0,97,16.52082633972168
91,420.1150994040072,1,0,105,18.250980377197266
92,-119.50955369882286,0,1,28,2.3196628093719482
93,452.58114375174046,1,0,125,22.136825561523438
94,393.32495774608105,1,0,133,19.786535263061523
95,433.74649054184556,1,0,127,22.3264217376709
96,400.69849452888593,1,0,79,12.182659149169922
97,385.26931704042363,1,0,381,41.064353942871094
98,432.0549363680184,1,0,116,20.447505950927734
99,454.6010679155588,1,0,117,20.664718627929688
100,391.2727445019409,1,0,119,17.106962203979492
101,401.6215394278988,1,0,86,13.036191940307617
102,415.9892629869282,1,0,114,18.641523361206055
103,396.3232161225751,1,0,73,10.375773429870605
104,430.2969581913203,1,0,106,17.55620002746582
105,409.35040835570544,1,0,85,14.076313972473145
106,398.4611168624833,1,0,119,17.11292266845703
107,417.0247098105028,1,0,90,15.153157234191895
108,401.87413042318076,1,0,123,17.621723175048828
109,443.79909259080887,1,0,113,19.664581298828125
110,410.80688972305506,1,0,108,17.992406845092773
111,428.86565415374935,1,0,101,17.353330612182617
112,450.1587648689747,1,0,117,20.656448364257812
113,410.396457628347,1,0,90,14.749065399169922
114,398.7512416956015,1,0,77,11.716962814331055
115,427.56334212608635,1,0,105,17.746156692504883
116,410.7619885057211,1,0,103,16.384305953979492
117,455.14635740965605,1,0,121,21.452394485473633
118,406.0516496114433,1,0,84,13.728028297424316
119,411.0842091329396,1,0,92,15.263616561889648
120,405.4917156873271,1,0,99,17.068872451782227
121,414.2910948134959,1,0,100,16.747455596923828
122,-106.69033280946314,0,1,47,6.650311470031738
123,425.4548685103655,1,0,98,15.770028114318848
124,424.9522297901276,1,0,103,17.105710983276367
125,446.8885105624795,1,0,109,19.026079177856445
126,428.54493468254805,1,0,91,14.718427658081055
127,451.5959995239973,1,0,127,22.57308578491211
128,406.58336843177676,1,0,82,12.629079818725586
129,397.68116348888725,1,0,76,11.27619457244873
130,429.96718211472034,1,0,94,15.587794303894043
131,447.22837360203266,1,0,110,19.261947631835938
132,413.0210996568203,1,0,108,17.443998336791992
133,-115.71731441281736,0,1,32,3.5174989700317383
134,407.2511213221587,1,0,95,15.756609916687012
135,414.08710324830565,1,0,95,15.523755073547363
136,411.8288561049849,1,0,118,18.092470169067383
137,426.5253673493862,1,0,100,17.03705406188965
138,387.32814881391823,1,0,70,10.00854206085205
139,398.8469193452038,1,0,123,17.106307983398438
140,413.8996648499742,1,0,97,16.386070251464844
141,438.5402678921819,1,0,107,18.50934600830078
142,423.822222673276,1,0,115,19.589826583862305
143,399.69115176354535,1,0,109,16.09343147277832
144,421.2515004500747,1,0,92,15.5919189453125
145,404.97444318793714,1,0,112,16.387039184570312
146,421.9746262989938,1,0,109,18.612071990966797
147,-105.55192398827057,0,1,128,16.45053482055664
148,406.52847888180986,1,0,90,14.49852180480957
149,440.9670982658863,1,0,120,21.19790267944336
150,435.05372028425336,1,0,108,18.862689971923828
151,452.25597351044416,1,0,121,21.343713760375977
152,426.5245236158371,1,0,111,19.374906539916992
153,403.62226568814367,1,0,105,15.981030464172363
154,426.9030905980617,1,0,120,21.247577667236328
155,420.9898519804701,1,0,98,16.813575744628906
156,434.3373090699315,1,0,94,15.770009994506836
157,407.28742550779134,1,0,98,16.162809371948242
158,407.7078035194427,1,0,109,16.971973419189453
159,414.9067069189623,1,0,90,14.501755714416504
160,37.55026993381762,0,0,500,34.09412384033203
161,415.79112191684544,1,0,86,14.402976036071777
162,409.9020377974957,1,0,117,20.60536003112793
163,445.146418787539,1,0,106,18.361391067504883
164,428.6257539950311,1,0,102,17.596113204956055
165,428.87934152781963,1,0,91,14.832788467407227
166,445.1753769516945,1,0,109,17.210285186767578
167,394.5238157659769,1,0,73,10.736865043640137
168,447.6936369687319,1,0,120,21.254878997802734
