episode,return,success,collision,steps,path_length
0,25.70234560922836,0,0,500,15.074899673461914
1,426.1452497430146,1,0,125,21.99012565612793
2,385.1717562788399,1,0,96,12.240714073181152
3,36.38778722091956,0,0,500,76.52388763427734
4,450.9964874982834,1,0,111,18.8922061920166
5,418.9216551799327,1,0,93,15.432035446166992
6,453.17732551693916,1,0,125,22.012826919555664
7,419.5019662063569,1,0,106,15.862542152404785
8,424.93553491216153,1,0,131,20.711631774902344
9,422.14006158104166,1,0,116,18.713241577148438
10,402.7745392052457,1,0,98,13.962114334106445
11,51.26600377152863,0,0,500,78.9195327758789
12,428.69687454309314,1,0,143,24.815122604370117
13,-72.51864813361317,0,1,202,31.529544830322266
14,404.1448689576937,1,0,100,15.980846405029297
15,426.41293773800135,1,0,124,21.603736877441406
16,452.66264595091343,1,0,119,20.7918643951416
17,-120.71397174801677,0,1,34,3.5366268157958984
18,-105.13891873939428,0,1,206,18.326778411865234
19,453.32188488543034,1,0,122,21.54776954650879
20,416.2695807274431,1,0,127,21.984046936035156
21,436.8156375512481,1,0,118,18.58296775817871
22,-73.7002944117412,0,1,120,19.281139373779297
23,-91.91227262094617,0,1,62,9.657175064086914
24,444.925643928349,1,0,129,22.578105926513672
25,421.0483805043623,1,0,105,18.097517013549805
26,401.1484500663355,1,0,238,24.46544075012207
27,399.1194131858647,1,0,84,12.66419792175293
28,407.5269055124372,1,0,104,15.290924072265625
29,-113.79551850468852,0,1,205,22.011018753051758
30,-119.60628489734518,0,1,308,28.751018524169922
31,420.6527065038681,1,0,104,17.975055694580078
32,390.44560093665496,1,0,65,9.02284049987793
33,-121.82355869410094,0,1,109,8.579912185668945
34,380.72864613033016,1,0,281,32.76017761230469
35,458.753041818738,1,0,118,20.3135929107666
36,399.86790817405563,1,0,128,19.168846130371094
37,448.1013872940093,1,0,145,24.025989532470703
38,443.67935264855623,1,0,123,21.60857391357422
39,452.76169213745743,1,0,115,20.192686080932617
40,440.2332716435194,1,0,100,16.562923431396484
41,448.38824857771397,1,0,128,22.482120513916016
42,-110.1231571547687,0,1,37,4.633179664611816
43,-115.6855376008898,0,1,32,3.620391368865967
44,426.7865361869335,1,0,126,21.827896118164062
45,412.3635433232412,1,0,97,16.23808479309082
46,383.5091335903853,1,0,89,9.827198028564453
47,-114.67618045583367,0,1,30,3.2417285442352295
48,-121.93020719755441,0,1,36,2.484442710876465
49,-95.20008154655807,0,1,341,35.76811981201172
50,-66.26077509508468,0,1,157,22.433185577392578
51,-1.394045478431508,0,0,500,55.9854736328125
52,409.2416801075451,1,0,83,12.824846267700195
53,423.5561317168176,1,0,117,20.25046157836914
54,453.99814219772816,1,0,121,21.2694149017334
55,406.64483360759914,1,0,77,12.0377779006958
56,413.3664021510631,1,0,101,17.213712692260742
57,442.0448903590441,1,0,130,22.728910446166992
58,449.8450411707163,1,0,108,18.45020294189453
59,438.8293331488967,1,0,106,18.132783889770508
60,419.37113952822983,1,0,104,17.53049087524414
61,-105.37257344694808,0,1,355,53.16852569580078
62,-122.73975160368718,0,1,21,1.6334176063537598
63,20.22487014485523,0,0,500,29.320960998535156
64,431.6249068081379,1,0,86,13.906477928161621
65,393.7987709110603,1,0,106,17.231849670410156
66,404.26323151635006,1,0,119,18.442089080810547
67,400.35496024240274,1,0,82,11.771265983581543
68,448.7284791767597,1,0,113,19.77765655517578
69,409.3628495596349,1,0,118,15.725554466247559
70,399.0046555926092,1,0,70,10.132970809936523
71,-114.94195327162743,0,1,15,0.6901070475578308
72,417.1817273311317,1,0,118,18.725568771362305
73,-120.85429778695107,0,1,20,1.467416524887085
74,444.52544988691807,1,0,131,22.835975646972656
75,442.3333740159869,1,0,103,17.429800033569336
76,-113.30809803772718,0,1,37,3.788511037826538
77,407.3142186664045,1,0,88,13.98022174835205
78,435.5533721074462,1,0,109,17.98062515258789
79,441.5480147227645,1,0,124,21.725149154663086
80,438.7587391808629,1,0,107,18.595111846923828
81,437.3790669888258,1,0,100,15.848040580749512
82,438.7519233301282,1,0,96,16.081676483154297
83,397.2956299534999,1,0,74,11.035451889038086
84,29.211249876912916,0,0,500,17.41252326965332
85,452.00166538357735,1,0,132,21.59405517578125
86,398.41593668516725,1,0,88,13.717111587524414
87,414.82706588786095,1,0,103,17.567533493041992
88,-115.01415290497243,0,1,38,4.50799560546875
89,454.19682301580906,1,0,124,21.91838264465332
90,397.83872473891824,1,0,92,15.266972541809082
91,-102.33690533228219,0,1,45,6.1904778480529785
92,436.44076375477016,1,0,145,24.973379135131836
93,409.13190925493836,1,0,116,16.302953720092773
94,456.94814071804285,1,0,128,22.612180709838867
95,418.88025179319084,1,0,91,14.772836685180664
96,371.54761433787644,1,0,54,6.076570510864258
97,-100.15388674288988,0,1,3,0.04242737591266632
98,-116.387380650267,0,1,182,20.529346466064453
99,393.2253406494856,1,0,88,11.985370635986328
