episode,return,success,collision,steps,path_length
0,-120.7208471596241,0,1,171,17.56601333618164
1,431.3699033415178,1,0,122,21.137929916381836
2,385.2261678692885,1,0,109,14.164294242858887
3,419.87561847075267,1,0,121,21.11499786376953
4,451.3896082043648,1,0,112,19.446653366088867
5,418.49332183785737,1,0,92,15.484386444091797
6,446.2661766111851,1,0,127,22.347171783447266
7,419.60961761698127,1,0,101,15.404396057128906
8,424.70955652557313,1,0,124,20.777048110961914
9,425.11529030650854,1,0,124,19.980571746826172
10,405.97835917549673,1,0,104,15.996569633483887
11,448.2087583690882,1,0,144,25.961238861083984
12,439.9736933000386,1,0,145,25.990478515625
13,445.3998896330595,1,0,123,21.506013870239258
14,412.4336435411824,1,0,94,15.201569557189941
15,434.97786267101765,1,0,120,21.270854949951172
16,452.87193436920643,1,0,117,20.646709442138672
17,386.02887787576765,1,0,116,19.176616668701172
18,-105.94643027201528,0,1,98,13.960206031799316
19,451.78874076902866,1,0,123,21.63044548034668
20,-44.16442988533527,0,1,130,22.96826934814453
21,436.81410344690084,1,0,122,18.82516860961914
22,389.38848563242937,1,0,141,23.792173385620117
23,429.5906230453402,1,0,127,21.24680519104004
24,446.9894152805209,1,0,130,23.270851135253906
25,417.7370156906545,1,0,103,17.5970401763916
26,417.0973466783762,1,0,135,18.954071044921875
27,-114.44837661646307,0,1,34,4.065268039703369
28,408.1862660225015,1,0,98,15.674827575683594
29,-120.8489931835793,0,1,89,10.759119987487793
30,383.46483964659274,1,0,159,25.36061668395996
31,421.93397864699364,1,0,105,18.05249786376953
32,383.52818117896095,1,0,84,8.944884300231934
33,383.12468353961594,1,0,153,24.028186798095703
34,382.2424528552219,1,0,166,19.340251922607422
35,458.88718731701374,1,0,115,20.118860244750977
36,-112.67261585046072,0,1,56,7.836058139801025
37,450.54255317896605,1,0,128,22.73215103149414
38,447.148877851665,1,0,121,21.469005584716797
39,453.13670083880424,1,0,118,20.85195541381836
40,440.64417128264904,1,0,102,17.18152618408203
41,447.61372888088226,1,0,130,23.27084732055664
42,418.0603896584362,1,0,95,15.486509323120117
43,-113.3846446517855,0,1,31,3.440451145172119
44,436.99426356703043,1,0,123,21.792346954345703
45,413.53344688471407,1,0,97,16.314573287963867
46,388.34744480089284,1,0,128,16.38341522216797
47,-115.64658412709832,0,1,31,3.3950130939483643
48,-128.4609284128528,0,1,62,4.872917175292969
