timesteps,fps,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean
2520768,377367,264.8781411853171,241.8846631070013,0.7,0.28,116.26,17.17866756916046
2530768,188338,314.5845214487839,210.18991277364498,0.8,0.2,113.16,17.400341198444366
2540768,126129,330.1609260268269,194.76923352374308,0.82,0.14,118.62,16.96973662376404
2550768,92132,271.68084761907,243.01436736657107,0.7,0.26,110.48,16.41285703420639
2560768,73377,309.50340574904953,215.70095717317167,0.78,0.22,101.68,16.163142890930175
2570768,61051,306.1556156700924,222.12823252463988,0.78,0.22,105.54,16.497907328009607
2580768,52424,298.2803866926736,227.91662871967145,0.76,0.24,104.76,16.562387537956237
2590768,45843,275.1118974570418,225.31698643718514,0.72,0.24,116.1,17.274751971960068
2600768,40823,285.290727232417,237.53021518475802,0.74,0.26,96.52,14.97944743990898
2610768,36368,360.611014770667,166.75281322067417,0.88,0.12,110.16,17.016009600162505
2620768,33099,322.2133592777653,207.11216280260064,0.82,0.18,102.72,15.784092030525208
2630768,30282,359.1071337526866,169.87138033905288,0.88,0.12,113.36,17.809585684686898
2640768,27958,333.84704485220834,199.81126411293695,0.82,0.16,109.58,17.23657417729497
2650768,26068,310.90268874562935,216.9630764595621,0.78,0.2,110.84,16.50691534757614
2660768,24419,279.57132011244414,232.1688766820566,0.72,0.26,115.2,16.601187028884887
2670768,22934,290.4830865718258,220.01965814292615,0.74,0.22,121.1,16.642051962018012
2680768,21518,298.42994148696465,211.75443406230957,0.74,0.16,149.74,17.834849672317503
2690768,20376,306.62526861008695,214.1411858740013,0.78,0.2,116.04,17.336622741818427
2700768,19286,354.02553530359097,175.31354003152825,0.86,0.12,126.36,18.52599687576294
2710768,18205,340.00168976850284,189.47052900534104,0.84,0.14,121.14,18.229198741316797
2720768,17415,298.86083038451613,218.78550732713907,0.76,0.2,115.84,16.648516645431517
2730768,16792,300.329753843523,231.66649490008805,0.76,0.24,96.16,15.613733084201813
2740768,16177,303.50747489330126,221.43610985798603,0.78,0.22,121.6,17.675288169384004
2750768,15610,390.4814727654311,128.9594714409514,0.94,0.06,113.22,18.03226359009743
2760768,15069,308.17964621615533,209.7158471240034,0.78,0.18,125.22,16.501240010261537
2770768,14590,278.60726391618374,239.24640901850293,0.72,0.26,111.4,16.603009684085848
2780768,14136,330.8056916229894,205.3094490961788,0.82,0.18,107.02,16.98761009693146
2790768,13705,257.48206458132773,236.0599886069293,0.7,0.28,114.52,16.01776729106903
2800768,13303,339.062744744551,192.65620288571088,0.84,0.16,121.54,19.28044690132141
2810768,12938,324.2707365327084,204.29755317232977,0.82,0.18,107.52,17.34275850713253
2820768,12570,298.7983203761826,221.7783132520037,0.76,0.22,122.08,17.5247588968277
2830768,12225,372.33681571315725,148.1029427527928,0.9,0.08,127.52,19.052876510620116
2840768,11907,349.70677414173076,184.1432046965083,0.86,0.14,123.4,19.749218871593474
2850768,11596,332.72112362528804,196.7781257211719,0.82,0.16,139.54,20.925250120162964
2860768,11314,323.8481893406045,203.15292470231816,0.78,0.16,142.06,20.73896319270134
2870768,11057,330.08351738793266,201.2095480649764,0.82,0.18,112.3,17.86236486554146
2880768,10797,319.91834408364224,210.18200408229674,0.78,0.18,128.08,17.718005102872848
2890768,10548,361.9698831966933,167.48380779583343,0.88,0.1,127.38,18.74113986492157
2900768,10327,319.69170327834,208.82013199434047,0.8,0.2,112.78,17.44099886417389
2910768,10117,274.75618964306983,229.76356448973948,0.72,0.24,116.42,17.30248820185661
