episode,return,success,collision,steps,path_length
0,398.68394351378083,1,0,68,10.145161628723145
1,387.23715308029205,1,0,58,7.7311530113220215
2,383.93341303244233,1,0,50,6.933871269226074
3,-122.03594461455941,0,1,22,1.646234154701233
4,-120.3459305986762,0,1,18,1.146365761756897
5,390.1438549589366,1,0,65,8.774543762207031
6,386.2290916945785,1,0,52,7.5088982582092285
7,391.9309446532279,1,0,58,8.657139778137207
8,375.0572714265436,1,0,48,5.259109020233154
9,424.5158057278022,1,0,100,15.503628730773926
10,406.0470505859703,1,0,76,12.08084487915039
11,417.037479640916,1,0,86,14.148218154907227
12,-86.32805472007021,0,1,58,8.86555290222168
13,408.3990747779608,1,0,80,11.746026992797852
14,385.5806003520265,1,0,58,7.261196613311768
15,395.78054921887815,1,0,62,9.455625534057617
16,-91.5537278726697,0,1,56,8.458873748779297
17,395.84732634946704,1,0,73,11.077637672424316
18,392.26524687185884,1,0,64,8.58782958984375
19,381.5828413851559,1,0,49,6.675428867340088
20,-94.31374114006758,0,1,53,7.352430820465088
21,-79.48837948404253,0,1,65,10.270184516906738
22,-105.09906142670661,0,1,46,5.313892364501953
23,-91.144236901775,0,1,53,7.859756946563721
24,384.0379340648651,1,0,54,7.103850364685059
25,404.63437285646796,1,0,77,12.09485149383545
26,392.7456371244043,1,0,64,9.198390007019043
27,384.634095095098,1,0,57,7.328423976898193
28,408.61453049071133,1,0,78,12.284249305725098
29,392.3156476095319,1,0,62,8.66998291015625
30,392.30281157791615,1,0,69,8.941018104553223
31,371.9878917261958,1,0,41,4.597726345062256
32,399.300116898492,1,0,66,10.102707862854004
33,414.0057798381895,1,0,83,13.32251262664795
34,377.9345619659871,1,0,55,6.000915050506592
35,-94.153166718781,0,1,50,7.245643615722656
36,396.28617635183036,1,0,62,9.655251502990723
37,-121.97854495278443,0,1,24,2.0847315788269043
38,380.843858120963,1,0,50,7.05846643447876
39,-89.24372388981283,0,1,59,9.070852279663086
40,419.67381546180695,1,0,91,14.068015098571777
41,387.1322548985481,1,0,60,7.582315444946289
42,428.0155668538064,1,0,100,16.523815155029297
43,376.2995496876538,1,0,47,5.463799476623535
44,-104.5929089859128,0,1,45,5.123629570007324
45,-112.2810657788068,0,1,36,4.470853805541992
46,-108.40466164983809,0,1,40,5.270854473114014
47,-88.74187390692532,0,1,53,7.870852947235107
48,410.7073166705668,1,0,79,12.852437973022461
49,389.77566769346595,1,0,62,8.814674377441406
50,386.2426242604852,1,0,59,7.948997974395752
51,401.86368201719597,1,0,138,14.283767700195312
52,-119.84733603149652,0,1,32,2.643195867538452
53,-118.61479747667909,0,1,31,2.912682056427002
54,401.7838777285069,1,0,74,10.582722663879395
55,-104.69728470407426,0,1,41,5.470854759216309
56,396.7611583638936,1,0,70,9.877087593078613
57,-93.47954117693007,0,1,55,8.260685920715332
58,385.9811157286167,1,0,50,6.137324333190918
59,423.2616415861994,1,0,95,15.391288757324219
60,-103.25414087623358,0,1,63,8.061809539794922
61,-111.93131955526769,0,1,32,3.6705174446105957
62,395.9202868267894,1,0,66,9.325138092041016
63,386.2156754648313,1,0,60,8.014100074768066
64,404.7577457437292,1,0,76,11.176069259643555
65,381.99942692928016,1,0,51,7.145719051361084
66,417.3949229437858,1,0,94,14.182015419006348
67,-106.9162184605375,0,1,42,4.398273468017578
68,410.1875978689641,1,0,80,12.744277000427246
69,380.8610947486013,1,0,55,6.63560152053833
70,412.93695281259716,1,0,87,13.224886894226074
71,398.9228428658098,1,0,95,12.533317565917969
72,-88.32256345637143,0,1,58,8.870851516723633
73,396.89986810367554,1,0,73,9.703146934509277
74,-104.9145765863359,0,1,40,5.2708539962768555
75,-116.61767449229956,0,1,28,2.836367130279541
76,396.37043707259,1,0,67,9.724778175354004
77,390.68249651696533,1,0,64,8.406022071838379
78,396.2734375242144,1,0,67,10.004676818847656
79,20.310065055353334,0,0,500,11.876035690307617
80,398.03189575113356,1,0,70,11.121472358703613
81,412.719012895599,1,0,84,12.837549209594727
82,373.25878522358835,1,0,44,5.088886737823486
83,388.44118399731815,1,0,58,8.0369291305542
84,-119.13838547543855,0,1,24,2.1011457443237305
85,-119.72506739926757,0,1,24,2.1173298358917236
86,-105.16506335139275,0,1,8,0.18047694861888885
87,-103.36011804826558,0,1,45,5.377020359039307
88,390.30454888008535,1,0,57,8.21609878540039
89,-103.83705782517791,0,1,46,5.794706344604492
90,380.1849218830466,1,0,59,6.327071666717529
91,-103.60971729643643,0,1,43,5.866230010986328
92,375.4021371137351,1,0,44,5.343196392059326
93,407.57460958883166,1,0,73,11.699633598327637
94,388.4350021723658,1,0,60,7.879289150238037
95,394.74929176457226,1,0,66,9.166701316833496
96,-99.61278398521245,0,1,46,6.470852851867676
97,373.3817712944001,1,0,50,4.937045097351074
98,384.5669178646058,1,0,54,7.207583904266357
99,387.36267692036927,1,0,61,7.746983528137207
100,420.53985164128244,1,0,92,14.449158668518066
101,-100.44444208592176,0,1,3,0.03443115949630737
102,411.110452786088,1,0,80,12.845673561096191
103,388.7068647965789,1,0,65,9.335541725158691
104,393.41986569575965,1,0,64,8.761419296264648
105,377.75043785199523,1,0,49,5.811703681945801
106,403.97143968194723,1,0,76,12.140965461730957
107,54.1824218063266,0,0,500,21.027252197265625
108,380.79621862620115,1,0,55,6.40745735168457
109,406.61685349047184,1,0,79,11.99920654296875
110,376.87982580810785,1,0,49,5.96319580078125
111,414.49977183900774,1,0,90,14.27619457244873
112,-90.91994156874716,0,1,53,7.870851516723633
113,385.7118206359446,1,0,53,7.6461663246154785
114,392.7391404118389,1,0,70,10.547667503356934
115,-111.67526711709797,0,1,39,5.063267230987549
