timesteps,fps,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean
470000,33057,181.41128784650232,237.63124798866997,0.55,0.35,113.79,9.746859202384949
480000,15131,231.5590871995098,225.65700576187032,0.65,0.26,112.87,9.800968924760818
490000,9205,178.23070969730364,230.0846939811708,0.52,0.3,144.55,9.423794084489346
500000,7211,201.58274835331213,233.5671368341973,0.59,0.31,112.24,8.76721350580454
510000,5588,158.82888315263605,235.15718972725688,0.48,0.34,148.63,10.03031222999096
520000,4589,180.0380849490044,235.8827953687088,0.54,0.34,121.12,9.54031159043312
530000,4013,189.76740468015828,240.66330763797325,0.57,0.35,104.23,8.959389852285385
540000,3673,224.9259803059943,226.47157918279854,0.64,0.27,118.53,9.964552806913852
550000,3537,181.0524635311018,233.52656535562002,0.54,0.32,124.79,8.874323940873147
560000,3416,238.83236524497102,225.78488321293412,0.67,0.26,100.31,9.447413024902344
570000,3171,228.01750216711937,228.6113199947983,0.65,0.29,93.55,9.191260702610016
580000,2941,220.6404485328919,229.89979710150126,0.64,0.3,92.71,8.526433948650956
590000,2693,214.9653271812298,225.07813179663304,0.61,0.26,124.37,9.30048540353775
600000,2514,232.629472101918,231.75853080347923,0.67,0.3,83.55,9.01336515814066
610000,2368,183.93595348153997,240.20415041235023,0.56,0.37,93.93,8.788565551042558
620000,2248,263.2774561111192,215.68031983770086,0.73,0.23,87.26,9.093126577734948
630000,2144,212.1295085680519,232.87044304691528,0.62,0.31,93.62,8.499371384382249
640000,2062,221.3393243776149,228.57337309886225,0.65,0.3,89.63,8.347024180293083
650000,1982,241.13721414263418,232.49290074101657,0.69,0.3,67.13,8.560095075368881
660000,1914,215.3368609670327,238.84412179412837,0.64,0.34,67.89,7.802593839466572
670000,1831,214.33629647788555,231.6163331150675,0.62,0.29,101.65,8.357808428406715
680000,1762,202.4428563309877,239.97971645261887,0.61,0.36,76.11,8.116069682836532
690000,1696,209.66620358734653,234.84320105075716,0.61,0.31,98.44,8.433302943706513
700000,1641,220.96479124311412,232.50250300977123,0.65,0.32,79.21,8.09637756705284
710000,1586,219.56763789218826,228.04332188213812,0.63,0.27,104.61,8.220392605960368
720000,1541,247.0832863635225,218.66443037253381,0.69,0.24,96.49,8.52373408317566
730000,1496,200.48506257015487,235.40774293895808,0.6,0.33,93.61,7.868366011083126
740000,1454,199.77717816098868,237.8590760215247,0.6,0.34,89.12,8.117408087998628
750000,1419,246.642355765568,226.66008579091093,0.7,0.28,73.02,8.273879628777504
760000,1386,232.08673338205756,223.9475790033038,0.66,0.26,96.28,7.902513519525528
770000,1356,235.7211177227796,226.39567075361455,0.67,0.28,87.57,8.483521380722523
780000,1323,212.50852021353555,225.86017809155277,0.61,0.27,117.05,8.216898749247193
790000,1293,201.07994322898188,233.923266864109,0.59,0.31,109.52,8.2774035602808
800000,1267,245.6833352170254,221.28706580587567,0.68,0.24,102.08,8.873212183117866
810000,1244,227.4897269557019,229.4345536610228,0.66,0.29,83.35,7.766411889791488
820000,1220,222.2150250285918,232.77410532067563,0.64,0.3,90.6,8.498095390200614
830000,1195,224.35479423127757,225.35986928158522,0.63,0.25,116.54,8.373036041632295
