episode,return,success,collision,steps,path_length
0,398.7489101924002,1,0,72,10.173158645629883
1,23.17578599357512,0,0,500,11.743836402893066
2,384.16266948357224,1,0,51,7.035751819610596
3,-122.11110098659992,0,1,22,1.7847676277160645
4,-120.38649418205023,0,1,18,1.043371558189392
5,390.6215753182769,1,0,65,8.488482475280762
6,386.0855137910694,1,0,58,7.442043781280518
7,391.6839484591037,1,0,62,8.65017318725586
8,374.6282398160547,1,0,47,5.593896389007568
9,61.42483112396803,0,0,500,20.27939224243164
10,405.4471297021955,1,0,76,12.15884780883789
11,415.3221083609387,1,0,87,14.122597694396973
12,394.5720194391906,1,0,141,16.092212677001953
13,408.2893455438316,1,0,82,11.795305252075195
14,385.60973903536797,1,0,57,7.341660022735596
15,396.2553816344589,1,0,61,9.375846862792969
16,29.227928750624415,0,0,500,14.152426719665527
17,37.34903897548793,0,0,500,11.740737915039062
18,392.3052546614781,1,0,64,8.669269561767578
19,380.9499536193907,1,0,57,6.7857584953308105
20,-99.40164848417044,0,1,53,7.673863410949707
21,50.768199074838776,0,0,500,16.400766372680664
22,-104.97418412566185,0,1,46,5.61826753616333
23,-90.6365433651954,0,1,53,7.867191791534424
24,383.7124747931957,1,0,60,7.18363094329834
25,403.6282919384539,1,0,82,12.128090858459473
26,392.1623018886894,1,0,62,9.254035949707031
27,384.615506850183,1,0,57,7.406839847564697
28,408.5616957806051,1,0,80,12.472951889038086
29,391.82236595544964,1,0,64,8.699798583984375
30,392.51236660126597,1,0,67,8.86237907409668
31,372.08424497395754,1,0,51,4.677392482757568
32,399.4872554857284,1,0,73,10.078978538513184
33,414.18543679080904,1,0,83,13.620626449584961
34,376.90944924764335,1,0,48,5.942557334899902
35,394.797057710588,1,0,73,11.089701652526855
36,395.15308014908805,1,0,77,10.129926681518555
37,-119.81062764159287,0,1,25,2.1505026817321777
38,23.850864807274775,0,0,500,13.064200401306152
39,-88.45543104223907,0,1,60,9.270352363586426
40,419.6866166414693,1,0,92,14.161493301391602
41,386.92343226633966,1,0,58,7.5834431648254395
42,428.35089779645205,1,0,99,16.230937957763672
43,376.2357403822243,1,0,47,5.483602046966553
44,391.46276170015335,1,0,120,11.741353034973145
45,-112.41160340793431,0,1,36,4.470853328704834
46,-110.7537493351847,0,1,39,5.006021022796631
47,-89.67282042093575,0,1,54,8.054021835327148
48,410.28752786293626,1,0,81,12.572206497192383
49,388.64138033241034,1,0,95,10.606616973876953
50,386.5808464512229,1,0,59,7.893992900848389
51,404.08457277715206,1,0,84,12.067239761352539
52,-119.00277275405824,0,1,32,2.9443905353546143
53,-116.73264592513442,0,1,31,3.1224477291107178
54,401.3144950773567,1,0,75,10.584197044372559
55,-106.92776275239885,0,1,41,5.4656901359558105
56,397.3209793474525,1,0,71,9.859542846679688
57,379.83162258495577,1,0,134,13.040796279907227
58,386.0456431210041,1,0,54,6.114085674285889
59,423.23790701664984,1,0,95,15.36335563659668
60,372.1292612552643,1,0,61,7.094258785247803
61,-111.41085215471685,0,1,32,3.663118839263916
62,395.8398321531713,1,0,66,9.66805648803711
63,386.78898467309773,1,0,57,7.485766887664795
64,404.2666334314272,1,0,76,10.969497680664062
65,381.1417709875386,1,0,94,8.314409255981445
66,417.74350166134536,1,0,96,14.01487922668457
67,368.71907941345125,1,0,110,11.06004810333252
68,410.40355342440307,1,0,83,12.928504943847656
69,380.19638981483877,1,0,61,7.6836256980896
70,413.23647641111165,1,0,85,12.87751579284668
71,400.3299369458109,1,0,74,10.865406036376953
72,-88.33080701716244,0,1,58,8.870851516723633
73,397.5191162172705,1,0,71,9.914689064025879
74,-105.23778825625777,0,1,40,5.270853042602539
75,-118.92811205238104,0,1,29,3.004755973815918
76,396.48104281909764,1,0,66,10.214879035949707
77,391.1082761473954,1,0,64,8.584100723266602
78,386.589019427076,1,0,115,13.131174087524414
79,382.1734368763864,1,0,52,6.906318187713623
80,43.61099700559862,0,0,500,16.017805099487305
81,408.52293552132323,1,0,82,13.434075355529785
82,373.5916476752609,1,0,55,4.930193901062012
83,388.63110992126167,1,0,60,7.983610153198242
84,-118.1409347660956,0,1,25,2.1687357425689697
85,-119.88754936290206,0,1,24,2.0508792400360107
86,-104.63488160073757,0,1,8,0.25309860706329346
87,-109.2243769178167,0,1,44,4.911622524261475
88,387.5711072375998,1,0,98,11.20477294921875
89,-104.55803788639605,0,1,48,6.120035171508789
90,377.7994488738477,1,0,98,9.034199714660645
91,-106.5584243927151,0,1,42,5.6144328117370605
92,375.24183431081474,1,0,51,5.598827838897705
93,407.8783431760967,1,0,75,11.79592227935791
94,388.43787866830826,1,0,61,8.149184226989746
95,394.4945926340297,1,0,68,9.223098754882812
96,-98.68852551467717,0,1,46,6.467215061187744
97,373.4649207536131,1,0,55,5.721873760223389
98,382.70060997386463,1,0,101,9.563981056213379
99,387.64942146651447,1,0,65,7.956995487213135
100,421.02550367452204,1,0,93,14.241987228393555
101,-100.36513555794954,0,1,3,0.033304788172245026
102,410.88452403247356,1,0,84,12.925312995910645
103,388.6805682275444,1,0,69,9.645212173461914
104,393.348763060756,1,0,67,9.120670318603516
105,15.037667925935239,0,0,500,9.274815559387207
106,403.882106423378,1,0,83,13.285324096679688
107,421.39122574590147,1,0,87,14.59764575958252
108,380.6908353464678,1,0,57,7.100534915924072
109,406.4410883784294,1,0,75,12.178210258483887
110,377.1535000279546,1,0,46,5.901376247406006
111,417.40811618231237,1,0,93,13.824594497680664
112,-94.01839771308005,0,1,54,8.070853233337402
113,385.70682660117745,1,0,66,7.571244239807129
114,392.16955779120326,1,0,82,11.330184936523438
115,-110.39643602259457,0,1,39,4.998084545135498
116,373.0084801381454,1,0,51,5.03658390045166
117,-108.88399541936815,0,1,36,4.469852447509766
118,377.89590876735747,1,0,61,6.420952320098877
119,407.2645074557513,1,0,76,12.43387222290039
120,399.46203930675983,1,0,70,10.41085433959961
121,14.802666090690764,0,0,500,7.982403755187988
122,402.3697776310146,1,0,76,11.98882007598877
123,404.6550862751901,1,0,76,12.025984764099121
124,400.11995708197355,1,0,67,10.549973487854004
125,-115.00904997065663,0,1,33,2.9603991508483887
126,-109.36878242343664,0,1,45,5.112601280212402
127,384.67519208043814,1,0,53,7.253410816192627
128,414.98766098730266,1,0,85,13.027522087097168
129,414.9462834075093,1,0,83,13.435522079467773
130,-109.22358751296997,0,1,42,5.2310261726379395
131,-88.57293536700308,0,1,134,17.033061981201172
132,-118.60558428801596,0,1,29,2.98193359375
133,400.25616546720266,1,0,65,10.072968482971191
134,389.99074208177626,1,0,60,8.168377876281738
135,382.18040266260505,1,0,61,7.144468307495117
136,417.8438088744879,1,0,89,14.269815444946289
137,-118.9248366728425,0,1,23,1.9398728609085083
138,377.0799848586321,1,0,54,5.6685991287231445
139,414.8335276953876,1,0,89,13.689956665039062
140,393.3263673540205,1,0,61,8.83871078491211
141,404.08531544171274,1,0,81,12.105242729187012
142,402.47325949929655,1,0,70,10.765398025512695
143,401.125954112038,1,0,74,10.708763122558594
144,-87.59402285888791,0,1,59,9.07085132598877
145,376.7353175356984,1,0,74,5.586122512817383
146,385.84954982185445,1,0,110,9.774925231933594
147,391.0642050206661,1,0,68,9.299233436584473
148,414.445217769593,1,0,86,13.817177772521973
149,-106.78196365013719,0,1,45,6.166604518890381
150,381.7569856327027,1,0,53,6.751201152801514
151,387.03596840659156,1,0,112,10.798816680908203
152,391.9745635446161,1,0,60,8.910308837890625
153,-97.35098584741354,0,1,51,7.470853805541992
154,-111.74063538946211,0,1,34,4.0656890869140625
155,427.5981152616441,1,0,100,16.12272071838379
156,396.40514448843896,1,0,70,9.746996879577637
157,406.6667443718761,1,0,84,12.732852935791016
158,-13.296715227235836,0,0,500,12.64738655090332
159,376.3479696139693,1,0,44,4.549148082733154
160,406.191894906573,1,0,91,12.586311340332031
161,378.95777281084156,1,0,190,12.527688980102539
162,376.50352975539863,1,0,53,5.896629810333252
163,414.98200652748346,1,0,85,13.428145408630371
164,400.1962032420561,1,0,117,13.985367774963379
165,402.6287302207202,1,0,73,10.599681854248047
166,372.3752244412899,1,0,43,4.752516746520996
167,-91.02935694344342,0,1,57,8.66980266571045
168,395.40571980178356,1,0,70,10.786863327026367
169,17.253449126992564,0,0,500,8.648565292358398
170,397.96261727437377,1,0,92,11.317920684814453
171,379.1634172257036,1,0,63,6.980922222137451
172,387.2719926144928,1,0,112,12.916404724121094
173,402.5650961147621,1,0,93,13.697123527526855
174,393.3288423810154,1,0,63,8.85063648223877
175,397.52844202239066,1,0,81,11.834565162658691
176,411.63523730635643,1,0,86,13.603171348571777
177,392.6367811970413,1,0,61,9.077910423278809
178,371.9442406129092,1,0,49,4.9159979820251465
179,-90.90671519748867,0,1,55,8.270852088928223
180,-107.19285842683166,0,1,48,5.735107898712158
181,392.0545258242637,1,0,65,8.596973419189453
182,393.882494661957,1,0,66,9.041505813598633
183,372.3111707121134,1,0,48,4.9008636474609375
184,379.19359749834985,1,0,54,6.260082244873047
185,393.1958672958426,1,0,107,13.144665718078613
186,426.6550163384527,1,0,96,15.882475852966309
187,409.1760787181556,1,0,81,12.298895835876465
188,29.438110720439,0,0,500,14.238962173461914
189,424.6387975178659,1,0,92,15.381610870361328
190,402.6378523185849,1,0,70,10.732734680175781
191,-113.44419808126986,0,1,41,4.596436500549316
192,393.1463908031583,1,0,67,8.973806381225586
193,392.9307757150382,1,0,62,8.85125732421875
194,379.8246463658288,1,0,56,6.148662090301514
195,-115.44499797560275,0,1,33,3.656162977218628
196,34.272487067151815,0,0,500,13.03523063659668
197,383.51976878382266,1,0,68,7.658786296844482
198,392.0341222472489,1,0,64,8.640741348266602
199,392.27562180068344,1,0,63,8.64296817779541
