timesteps,fps,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean
1351760,217645,172.6458874983841,241.47787292576265,0.54,0.4,92.24,8.821670937538148
1361760,104928,235.42624999596515,222.20798780724212,0.66,0.24,109.54,8.854525212347507
1371760,70724,300.66352632690456,192.50142908846408,0.8,0.16,89.32,9.808234131336212
1381760,52671,240.50259155955536,212.35566702321103,0.66,0.2,124.12,8.687017492055894
1391760,42041,226.44509720240893,225.7367128866971,0.64,0.26,111.34,9.01395335316658
1401760,35059,224.71646536811352,217.02032532982213,0.62,0.22,135.92,9.083505142107606
1411760,30581,206.98222359206295,241.3142554222734,0.62,0.36,76.8,8.575645810365677
1421760,26919,276.16188284297476,205.3611698464773,0.74,0.18,108.02,9.83989857673645
1431760,24188,190.1545630637424,234.64660715848746,0.58,0.34,97.06,7.87504409968853
1441760,21989,277.78474163659587,208.93703061015802,0.76,0.22,80.86,9.255477952957154
1451760,20089,234.12759025453568,221.02069408323555,0.66,0.24,111.76,8.76817885696888
1461760,18523,279.35180228557175,197.6588466835774,0.76,0.16,103.44,8.53446221113205
1471760,17202,214.7213984120806,234.23999397144854,0.62,0.3,101.18,8.711598930358887
1481760,16082,231.74298517871242,230.14869085720989,0.66,0.28,94.84,8.813930327892303
1491760,15107,213.11060152518314,231.72461727484867,0.62,0.3,102.04,8.418976742327214
1501760,14222,228.34768048519464,224.52139793395492,0.64,0.24,118.2,8.329580278396607
1511760,13497,204.05684584731674,237.7628122250363,0.6,0.34,87.64,8.52748500585556
1521760,12862,208.62821670005331,235.043904748155,0.6,0.3,106.14,8.680908168554305
1531760,12263,172.66081101486577,240.7435693997392,0.54,0.38,98.18,7.979545921683312
1541760,11667,250.92215927811066,211.5236668356,0.68,0.18,134.5,9.72389713600278
1551760,11161,245.12708604606044,222.99206552696833,0.68,0.24,100.72,9.02914321243763
1561760,10718,271.0854994997014,208.05775638381502,0.74,0.2,100.24,9.501508692502975
1571760,10310,282.2183730920129,201.3658857762001,0.76,0.18,95.56,9.202558240890504
1581760,9963,224.8823092765454,230.23180379205786,0.66,0.3,80.86,7.936150122284889
