episode,return,success,collision,steps,path_length
0,396.5490582026541,1,0,83,11.030960083007812
1,384.9813109487295,1,0,61,7.8532328605651855
2,-107.95471790060401,0,1,41,5.462457656860352
3,12.098408144316636,0,0,600,11.374290466308594
4,-119.76158290356398,0,1,27,2.5765225887298584
5,390.57894877158105,1,0,66,8.731171607971191
6,385.16586708277464,1,0,61,7.913012981414795
7,-100.64540825039148,0,1,4,0.05635646730661392
8,-112.12330893427134,0,1,17,0.9407631158828735
9,41.81686298643763,0,0,600,14.627996444702148
10,-96.81147928535938,0,1,39,4.234429359436035
11,12.537764328779303,0,0,600,13.926443099975586
12,-102.20587572455406,0,1,5,0.07598952949047089
13,385.12454315274954,1,0,54,6.141473293304443
14,-108.9308106675744,0,1,12,0.5408844947814941
15,421.2575538754463,1,0,101,16.22579574584961
16,391.9432825855911,1,0,63,8.498462677001953
17,378.9800705425441,1,0,53,5.6389946937561035
18,-115.94355491176248,0,1,38,3.7798573970794678
19,-112.30420861393213,0,1,14,0.7424629330635071
20,13.138414970497251,0,0,600,12.455498695373535
21,-113.90922071225941,0,1,36,4.470852375030518
22,-110.36819997616112,0,1,35,4.207263469696045
23,372.61265158624155,1,0,136,11.839598655700684
24,24.95973461077665,0,0,600,14.907072067260742
25,15.003248177381465,0,0,600,10.826375961303711
26,22.03965818852521,0,0,600,12.823064804077148
27,386.899152925238,1,0,55,7.903995037078857
28,-109.25155617296696,0,1,39,4.450356483459473
29,373.70631053857505,1,0,141,15.156967163085938
30,-120.25154065550305,0,1,24,2.1213202476501465
31,17.123572586802766,0,0,600,8.658259391784668
32,-121.53141640871763,0,1,17,1.081873893737793
33,-106.92108539119363,0,1,39,4.996514320373535
34,-116.55133908241987,0,1,23,1.7350069284439087
35,-96.15006706491113,0,1,75,10.269157409667969
36,-119.26944598928094,0,1,26,2.4785072803497314
37,389.72150238230824,1,0,60,7.873929023742676
38,-120.6861288100481,0,1,20,1.109183669090271
39,-106.89761520922184,0,1,41,5.208024024963379
40,-112.82539357990026,0,1,31,3.4562571048736572
41,383.7783467564732,1,0,55,7.459236145019531
42,-122.42495226487517,0,1,22,1.5147426128387451
43,-101.38631045818329,0,1,4,0.07071027159690857
44,-113.29613878577948,0,1,34,3.2110767364501953
45,-93.55765099078417,0,1,47,6.663033485412598
46,-117.26223417371511,0,1,33,3.5680429935455322
47,403.83619786798954,1,0,83,11.050321578979492
48,396.8051835671067,1,0,65,9.55607795715332
49,-102.26634101942182,0,1,42,5.214605331420898
50,-116.93300287052989,0,1,31,3.0525081157684326
51,-94.16045626066625,0,1,51,7.457893371582031
52,-122.44234815891832,0,1,28,2.055469036102295
53,-97.87468292750418,0,1,56,7.711854934692383
54,365.78124534292147,1,0,100,10.192795753479004
55,-118.25337881222367,0,1,33,2.980257987976074
56,31.475276840930746,0,0,600,10.165365219116211
57,-112.06010461598635,0,1,14,0.6723802089691162
58,23.628050096085644,0,0,600,6.649033546447754
59,-117.89841418713331,0,1,18,0.831493616104126
60,-76.57396678440273,0,1,118,17.3016414642334
61,380.82815221324563,1,0,57,6.355849266052246
62,-101.211390491575,0,1,44,5.857422828674316
63,-112.12154368124902,0,1,36,3.8088979721069336
64,21.719364375865553,0,0,600,23.683265686035156
65,12.252140251541277,0,0,600,18.469573974609375
66,432.61158826202154,1,0,98,14.665711402893066
67,-101.02904685679823,0,1,66,9.31141185760498
68,-110.96981138549745,0,1,41,4.576827049255371
69,-106.13633300922811,0,1,47,5.556176662445068
70,403.0267078951001,1,0,61,9.05992603302002
71,389.3257729317993,1,0,161,15.060358047485352
72,-118.53008827008307,0,1,38,3.9389488697052
73,-104.70794375427067,0,1,41,5.428799152374268
74,-100.97990664839745,0,1,35,3.866042375564575
75,362.402425609529,1,0,59,7.499680042266846
76,18.841998777061235,0,0,600,16.043983459472656
77,-112.55547910556197,0,1,81,10.360540390014648
78,-109.90973730944097,0,1,41,5.105557441711426
79,-110.92723147198558,0,1,38,4.457050800323486
80,-104.78237373381853,0,1,36,3.9629111289978027
81,-119.86930533498526,0,1,22,1.4899061918258667
82,395.7372701964341,1,0,117,13.01038646697998
83,26.45435902616009,0,0,600,29.57147216796875
84,395.3610033383593,1,0,61,8.69472885131836
85,-112.2932808008045,0,1,33,3.8708531856536865
86,-105.69391915388405,0,1,43,4.672817707061768
87,-106.32580329291523,0,1,85,10.685736656188965
88,399.90865032112924,1,0,74,11.775707244873047
89,-119.03891573566943,0,1,33,2.919984817504883
90,-121.44498483929783,0,1,33,2.816046953201294
91,-119.18043464422226,0,1,20,1.372907280921936
92,392.97271851874393,1,0,134,14.621650695800781
93,376.119411226362,1,0,52,6.397781848907471
94,-115.72279293462634,0,1,26,1.8373258113861084
95,-102.39092546701431,0,1,6,0.1393902450799942
96,-105.77834507077932,0,1,47,4.921260833740234
97,-114.7879884019494,0,1,17,1.0353243350982666
98,377.1843130392954,1,0,43,4.611705303192139
99,420.3787437826395,1,0,69,10.633787155151367
100,-105.24347447510809,0,1,51,6.864325046539307
