timesteps,fps,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean
3514128,511114,-14.778197467267674,178.65265707119664,0.16,0.72,110.72,5.814312196969986
3524128,252999,24.381789284958288,209.7356928707111,0.24,0.66,100.9,6.471338000297546
3534128,169751,29.460946960490254,217.52521982034955,0.26,0.66,96.8,6.6885545848309995
3544128,128842,26.68621324278971,214.92577515291248,0.26,0.7,76.22,6.776646623313427
3554128,104986,38.10786429596017,229.96669599324966,0.3,0.7,50.06,5.516695313453674
3564128,88613,7.790630788010312,211.28183838128658,0.24,0.76,43.86,4.88995611011982
3574128,75987,38.435907054637646,222.43865611853786,0.28,0.66,80.18,6.586717088222503
3584128,66864,-4.441818721760792,202.30218323263043,0.2,0.76,66.2,5.393243441283703
3594128,59640,27.598432667503474,218.58176264855928,0.26,0.7,66.7,5.621123482584953
3604128,53650,-18.416641097045066,178.6316635363092,0.16,0.74,99.06,5.815569069609046
3614128,48850,37.907254689513465,226.33375002455844,0.28,0.68,74.56,6.7279126816987995
3624128,44485,45.47356544693535,219.15672472222468,0.28,0.62,110.1,7.102285742163658
3634128,40781,84.5632487985983,227.76060433249353,0.36,0.52,120.06,7.083679537773133
3644128,37527,52.889077982866546,213.19897899102386,0.28,0.54,148.32,6.540074537098408
3654128,33441,5.870505338750607,196.8865956400509,0.2,0.66,126.16,6.7198003038764
3664128,30928,86.65329680490308,237.35069188205924,0.38,0.56,84.06,6.350353479385376
3674128,27940,-37.83497615550499,157.97178163493015,0.12,0.76,108.08,5.439748700857162
3684128,26560,27.90219009808734,208.52575719328524,0.24,0.64,115.6,6.779169474244117
3694128,25352,18.921171897744205,211.569070893622,0.24,0.68,88.14,5.729098727256059
3704128,22845,69.49947368420318,223.28165246294003,0.32,0.54,129.36,7.798638645112515
3714128,20480,25.93284945561255,201.52485820605438,0.22,0.58,156.96,6.624730464220047
3724128,19229,41.56130720961657,218.5209796648323,0.28,0.64,96.68,6.319092831611633
3734128,18556,38.559540863560436,210.31031393555588,0.26,0.58,139.04,7.410725384950638
3744128,17952,53.314937851944684,223.21910593811768,0.3,0.6,105.1,6.332885768413544
3754128,17365,91.86846657461054,233.03602988937024,0.38,0.5,121.88,7.240562713742256
3764128,16869,10.489311605875809,203.40667472332052,0.22,0.68,96.38,5.416154338717461
3774128,16081,37.832752056953325,223.15335391782165,0.28,0.68,76.88,6.635786076635123
3784128,15105,58.432768781648484,232.13983263531807,0.32,0.6,98.2,6.783368700742722
3794128,14258,42.08106906312001,217.99549597939009,0.28,0.62,107.54,6.846112552434206
3804128,13586,35.57121234869599,224.9565501654921,0.28,0.68,72.74,6.37888162612915
3814128,12938,3.1109172424732243,204.9455321211436,0.22,0.74,66.84,5.552683308124542
3824128,12340,69.67783661911686,231.87911241505998,0.34,0.58,92.32,6.960074894428253
3834128,11795,25.373304943811963,204.73806538463805,0.24,0.66,106.54,7.458726853430271
3844128,11234,11.547657195124884,193.5108063784606,0.2,0.64,138.38,6.97140409892425
3854128,10835,0.24634477519570283,206.07323498494642,0.22,0.76,54.28,4.947380557656288
3864128,10388,122.31626305407787,240.84990953556314,0.44,0.46,114.74,8.119575223326683
3874128,9993,32.6538611765641,214.380732019112,0.26,0.64,104.66,6.749206292629242
