episode,return,success,collision,steps,path_length
0,398.7763964869082,1,0,73,10.36697769165039
1,380.6115500945598,1,0,62,7.772509574890137
2,-120.61047978326678,0,1,25,2.224198579788208
3,-108.37220972403884,0,1,17,0.7742725014686584
4,-119.39747653529048,0,1,22,1.7540525197982788
5,390.52472197264433,1,0,72,8.672847747802734
6,22.152852337254444,0,0,600,13.053153038024902
7,-114.0517274942249,0,1,34,3.65104603767395
8,-74.98921774700284,0,1,116,17.649808883666992
9,-118.7302679978311,0,1,24,2.1189186573028564
10,-110.09538309741765,0,1,93,10.474041938781738
11,23.772403190348996,0,0,600,28.92674446105957
12,47.871246158727445,0,0,600,15.14342975616455
13,399.1171243414283,1,0,59,7.235443592071533
14,395.9881186988205,1,0,62,9.620664596557617
15,421.1455264389515,1,0,94,15.840002059936523
16,-121.11173451691866,0,1,23,1.951613426208496
17,14.975182033493184,0,0,600,5.071125507354736
18,-104.77128240093589,0,1,45,5.913664817810059
19,35.86790076847558,0,0,600,13.658990859985352
20,375.0380889605731,1,0,51,5.225386619567871
21,-119.26925435941666,0,1,30,2.8754472732543945
22,375.49285036697984,1,0,47,5.1588006019592285
23,367.95404522673925,1,0,88,6.887059211730957
24,373.8418550491333,1,0,47,5.011123180389404
25,-105.53294795751572,0,1,10,0.35640472173690796
26,-101.95205002650619,0,1,52,7.101550102233887
27,-92.9281610827893,0,1,62,9.40286922454834
28,392.3601394770667,1,0,62,8.852279663085938
29,-120.25097332894802,0,1,20,1.2848137617111206
30,-111.55161824263632,0,1,106,5.982377052307129
31,-120.0873298002407,0,1,26,2.4819252490997314
32,-110.08146000094712,0,1,36,4.467276096343994
33,-118.82211682386696,0,1,34,3.4358434677124023
34,372.48101597093046,1,0,48,5.086854934692383
35,-108.59319468028843,0,1,77,9.68867301940918
36,-107.47860817052424,0,1,39,5.070853233337402
37,386.4671395123005,1,0,64,7.4759907722473145
38,380.16565076448023,1,0,53,6.666735649108887
39,394.2099120710045,1,0,76,10.740984916687012
40,-105.23131312988698,0,1,41,5.4706196784973145
41,399.1133860794653,1,0,122,13.229297637939453
42,-122.99272760178428,0,1,27,2.0643227100372314
43,-117.98645514436066,0,1,29,3.0708537101745605
44,-114.21046785451472,0,1,33,3.8685646057128906
45,-95.61152649857104,0,1,54,8.066936492919922
46,374.97221259213984,1,0,47,5.3743367195129395
47,-119.1692980126245,0,1,23,1.7052371501922607
48,363.77655616914853,1,0,260,11.336617469787598
49,404.2837311318144,1,0,77,11.072883605957031
50,-118.49456182867289,0,1,32,2.717648983001709
51,380.9127173796296,1,0,55,7.421715259552002
52,28.076920339110075,0,0,600,14.479842185974121
53,400.3533791024238,1,0,73,11.80605411529541
54,375.6616178713739,1,0,49,5.366575717926025
55,-114.2194753382355,0,1,30,2.5246429443359375
56,27.610765120291035,0,0,600,15.334485054016113
57,386.53181575704366,1,0,57,7.49434232711792
58,-112.64251249097288,0,1,35,4.125654697418213
59,33.48230720970605,0,0,600,13.996137619018555
60,-115.25040359050035,0,1,30,3.049837112426758
61,26.91415823918942,0,0,600,15.248392105102539
62,-104.1568262334913,0,1,52,7.008078098297119
63,-115.29329367168248,0,1,38,3.97856068611145
64,-109.86941100191325,0,1,43,4.362884044647217
65,-103.8643725886941,0,1,41,5.470853328704834
66,389.3639161027968,1,0,64,9.44253158569336
67,-119.41559343412519,0,1,24,1.7859344482421875
68,-105.85048731602728,0,1,40,5.270853042602539
69,-119.57927786698565,0,1,23,1.949724555015564
70,-104.34873169474304,0,1,48,6.864378929138184
71,-118.35486789047718,0,1,22,1.7889806032180786
72,-94.07348364405334,0,1,48,6.870852470397949
73,29.493448443943635,0,0,600,8.719656944274902
74,-120.94262774847448,0,1,23,1.4869558811187744
75,-108.25408380664885,0,1,42,5.081183910369873
76,-118.9665194787085,0,1,19,1.2176834344863892
77,411.0378073044121,1,0,136,17.83917236328125
78,-109.17221829108894,0,1,38,4.863704204559326
79,-115.80843211105093,0,1,28,2.870853900909424
80,413.1015587395523,1,0,138,16.172597885131836
81,14.18190729097114,0,0,600,6.263174057006836
82,-104.11717158649117,0,1,46,6.470471382141113
83,-120.09573132172227,0,1,21,1.3773603439331055
84,377.9243814405054,1,0,51,6.026739120483398
85,-114.93572601675987,0,1,15,0.687242329120636
86,386.27019582735375,1,0,112,13.015159606933594
87,12.831762454559794,0,0,600,33.04014205932617
88,380.4600561261177,1,0,65,6.290672302246094
89,31.941608509776415,0,0,600,12.686391830444336
90,382.996285893023,1,0,55,6.735865592956543
91,45.07423898878915,0,0,600,15.758739471435547
92,388.44755613803864,1,0,60,8.08643913269043
93,-122.30148476921022,0,1,30,2.440204620361328
94,-95.1413947828114,0,1,53,7.866532325744629
95,373.26748307514936,1,0,61,5.400812149047852
96,384.3144618924707,1,0,61,7.330680847167969
97,387.53605897631496,1,0,59,7.620978832244873
98,-118.74045826867223,0,1,33,3.0523977279663086
99,-106.21618767082691,0,1,29,1.9947292804718018
100,417.1226643137634,1,0,101,13.948708534240723
101,388.855045018252,1,0,107,10.647891998291016
102,-107.63977648690343,0,1,47,5.991440773010254
103,-119.34281261172146,0,1,19,1.300074815750122
104,-107.18947051092982,0,1,39,5.061557292938232
105,408.3462935388088,1,0,75,11.955703735351562
106,380.6278062388301,1,0,52,6.612898826599121
107,38.408330017820845,0,0,600,17.892173767089844
108,373.83906534779817,1,0,108,11.451242446899414
109,414.2219460392371,1,0,130,15.669158935546875
110,-111.87211569584906,0,1,36,4.470852851867676
111,16.90513906013075,0,0,600,28.28713035583496
112,-120.80711055546999,0,1,21,1.4530854225158691
113,-111.0838446393609,0,1,43,5.323040008544922
114,373.0756322769448,1,0,46,4.975024223327637
115,-114.28755768202245,0,1,29,3.059964179992676
116,18.34313521288277,0,0,600,11.118392944335938
117,-94.98827795498073,0,1,50,7.270853519439697
118,56.68312626192346,0,0,600,23.50963592529297
119,-114.61103677749634,0,1,14,0.7424628734588623
120,414.2904112804681,1,0,88,14.36880874633789
121,400.065389983356,1,0,69,10.50589370727539
122,-118.50315650366247,0,1,33,3.2278337478637695
123,373.7441509254277,1,0,67,6.0319318771362305
124,392.3185736592859,1,0,92,8.893831253051758
125,-119.80991176888347,0,1,22,1.672389030456543
126,-85.08619088679552,0,1,81,10.00680923461914
127,421.3013160806149,1,0,93,14.987439155578613
128,-115.86183780990541,0,1,41,4.961304187774658
129,401.37751428503543,1,0,150,17.264976501464844
130,-118.60093713928654,0,1,36,3.530439853668213
131,-110.98345438204706,0,1,35,4.270852088928223
132,407.8043836783618,1,0,91,13.121635437011719
133,419.12113211864926,1,0,376,26.46828842163086
134,388.9286792445928,1,0,66,9.104015350341797
135,-107.02768023498356,0,1,38,4.87085485458374
136,402.4475867860019,1,0,74,10.890191078186035
137,-94.83185122534633,0,1,52,7.646674633026123
138,-103.10066068731248,0,1,41,5.461576461791992
139,-101.01519839465618,0,1,82,11.971940994262695
140,10.381779922350688,0,0,600,10.02520751953125
141,-84.3909841813147,0,1,64,10.070850372314453
142,-114.94140779413283,0,1,34,4.066806316375732
143,416.38179005868733,1,0,92,14.309529304504395
144,-104.60484938323498,0,1,8,0.25455886125564575
145,-119.98275371303316,0,1,40,4.404362678527832
146,26.815301053691655,0,0,600,13.196342468261719
147,376.75867259316146,1,0,66,9.039508819580078
148,401.7543728072196,1,0,76,11.171042442321777
149,397.8322121948004,1,0,67,9.75674057006836
150,-110.4769221264869,0,1,42,4.909273147583008
151,-95.1763299498707,0,1,62,9.670854568481445
152,-111.87436657771468,0,1,34,3.951033353805542
153,-100.85411244630814,0,1,3,0.04242704063653946
154,-109.8814986506477,0,1,38,4.870852470397949
155,-114.1264578141272,0,1,37,3.7333428859710693
156,394.85757114738226,1,0,57,6.877004146575928
157,378.6431540516205,1,0,205,16.226831436157227
158,-107.21186277852394,0,1,42,5.401764392852783
159,402.88444686308503,1,0,74,10.872732162475586
160,25.775068934541196,0,0,600,5.021311283111572
161,-98.83593155629933,0,1,49,7.070854187011719
162,-104.85189716843888,0,1,44,5.953939437866211
163,-97.00923997350037,0,1,55,8.065299987792969
164,393.1855396111496,1,0,139,12.093374252319336
165,30.587013818207197,0,0,600,16.16111946105957
166,-77.16347089409828,0,1,68,9.771571159362793
167,393.8038037735969,1,0,63,9.129354476928711
168,-117.5931751653552,0,1,39,4.045854091644287
169,-119.15617910958827,0,1,31,3.4483838081359863
170,-115.1241199481301,0,1,35,4.018414497375488
171,400.58271875977516,1,0,65,10.035172462463379
172,-112.76400895603001,0,1,35,3.8858745098114014
173,387.54354874789715,1,0,64,8.868967056274414
174,394.09872302785516,1,0,62,9.16607666015625
175,12.958035750780255,0,0,600,7.311651706695557
176,376.70641869679093,1,0,88,8.331815719604492
177,8.083185976109235,0,0,600,13.688651084899902
178,423.40156175009906,1,0,96,16.299095153808594
179,409.05746443755925,1,0,81,12.047451972961426
180,-111.06369206123054,0,1,37,4.357344150543213
181,420.56976644322276,1,0,93,15.651637077331543
182,37.450497858830204,0,0,600,14.814003944396973
183,-119.20115769747645,0,1,36,3.572235107421875
184,393.47751264926046,1,0,65,9.417585372924805
185,394.4986622761935,1,0,63,9.043619155883789
186,383.1890036351979,1,0,55,6.718729019165039
187,-80.40618529822677,0,1,66,9.944740295410156
188,-118.32015547715127,0,1,29,3.000251054763794
189,-99.2057784050703,0,1,27,2.664891242980957
190,37.38314621331665,0,0,600,19.994478225708008
191,-112.48701024614275,0,1,36,3.80948805809021
192,395.9742130348459,1,0,73,9.631839752197266
193,-89.37082444690168,0,1,60,9.270854949951172
194,400.8361843265593,1,0,75,10.582673072814941
195,-122.69470438465942,0,1,90,8.635717391967773
196,-114.61334651894867,0,1,41,4.8663105964660645
197,377.94267852348275,1,0,88,8.083860397338867
198,-106.19661580398679,0,1,46,5.233059883117676
199,371.84784865006804,1,0,42,4.909703731536865
