timesteps,fps,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean
2512656,229237,102.865058966508,234.7865471739654,0.38,0.48,136.0,7.919648858904838
2522656,80455,70.72799280795891,225.89933397544226,0.32,0.54,131.38,7.477449333667755
2532656,52804,70.72723639355564,228.40188658198767,0.34,0.56,110.58,6.992220178842545
2542656,41434,115.67585442281128,229.73228740260924,0.4,0.42,157.92,8.946364953517914
2552656,33446,101.66717995967089,229.640191899402,0.38,0.46,142.86,7.574219956099987
2562656,27374,130.8263010300338,244.86874850281282,0.46,0.46,101.96,7.1933874416351316
2572656,22465,133.83407461614087,231.65351668850394,0.44,0.38,160.48,8.31254724919796
2582656,19368,129.3559756046855,236.99871580918634,0.44,0.42,141.32,8.267232704162598
2592656,16855,106.35329145603114,224.34594147150528,0.38,0.42,164.9,7.715297053456307
2602656,14956,167.64925434041447,237.2076100500779,0.52,0.36,127.58,8.193216795921325
2612656,13486,99.67915075178047,233.99185274188258,0.38,0.48,131.22,7.3321652799844745
2622656,12283,148.36551253093953,238.344271391526,0.48,0.4,122.98,8.141975616812706
2632656,11397,82.17829445336879,234.3116580623914,0.36,0.56,98.66,7.024731956720352
2642656,10566,154.6463122489367,243.59044561111477,0.5,0.42,110.28,8.967782292962074
2652656,9808,107.04628160587345,239.7471645454034,0.4,0.5,114.24,7.98100712299347
2662656,9184,103.82916611174063,243.20102225602534,0.4,0.52,106.3,7.80670462846756
2672656,8643,74.97375509680748,229.6658942599016,0.34,0.54,116.72,6.7315633165836335
2682656,8169,88.21735409460362,228.90669229360068,0.36,0.5,127.62,7.361964989304543
2692656,7720,113.32733473200075,231.36054648728498,0.4,0.44,150.6,8.918981215953828
2702656,7342,77.4680359213092,228.29910426109436,0.34,0.52,138.86,7.64397192120552
2712656,6991,127.23986661679902,237.33003349852214,0.44,0.44,125.96,7.7550202873349185
2722656,6694,123.34026767786912,244.31885262038142,0.44,0.48,109.06,8.010007051229477
2732656,6380,77.95510993516771,229.2602729286279,0.34,0.54,125.06,8.077733052968979
2742656,6128,126.09921316714161,243.5381066578801,0.46,0.48,87.06,6.937356375455856
2752656,5898,116.54027430865455,244.67504148067775,0.44,0.52,85.0,7.641692601442337
2762656,5665,70.37969502123042,229.52891739515854,0.32,0.56,118.9,8.099911149740219
2772656,5443,100.83949054527594,231.01788690662693,0.38,0.46,146.38,7.444160532951355
2782656,5237,172.31596629403117,232.2549553875579,0.52,0.32,152.1,9.540810389518738
2792656,5070,92.37084689804804,238.02990943623286,0.38,0.54,96.42,6.834814226180315
2802656,4900,148.616090679044,234.93786365388,0.48,0.38,135.5,7.905052217245102
2812656,4764,83.5481461379275,237.24065845561438,0.36,0.54,112.48,6.9717352145910265
2822656,4616,88.31560076998437,230.6587388386565,0.36,0.52,129.38,8.273109293878079
2832656,4472,87.34066091974906,231.96766837917474,0.36,0.52,131.48,8.054468155503272
2842656,4342,79.54106347186735,230.21598445483508,0.34,0.52,134.18,7.666236840486526
2852656,4210,117.54615167020023,230.33944799898308,0.4,0.4,167.14,8.381825968623161
2862656,4095,154.1870501589602,242.8527149003352,0.5,0.4,117.84,8.081207101643086
2872656,3986,79.799578758103,228.174451065534,0.34,0.52,133.48,7.288910806179047
2882656,3885,19.379367430672666,204.23470333744325,0.22,0.64,125.3,6.678517585396767
2892656,3798,74.90794209998668,223.17768687282117,0.32,0.5,159.04,8.168016583621501
2902656,3726,145.20726546291758,239.57827682440214,0.48,0.42,114.74,8.132348654568196
2912656,3660,130.50787166875315,240.70761838178086,0.46,0.46,101.98,7.235045080482959
2922656,3591,130.17396384437427,234.86786677764476,0.44,0.42,136.38,7.9008552420139315
2932656,3517,60.44293805208928,207.33535062168568,0.26,0.46,213.72,9.517585980892182
2942656,3459,46.792195164774775,218.21799992992374,0.28,0.62,111.04,7.408840126693248
2952656,3397,115.55232653731932,242.93812452410327,0.42,0.5,110.14,8.786322165727615
2962656,3342,114.02425077542175,233.61891292799385,0.4,0.44,154.52,8.897209920883178
2972656,3281,87.2528587646148,225.63418371626804,0.34,0.48,160.66,8.99234478443861
2982656,3223,118.43311653177604,238.46060526986466,0.42,0.46,126.78,8.413535788059235
2992656,3164,112.99878696566378,233.1537272707748,0.4,0.44,155.96,8.404706161022187
3002656,3110,115.63042414300203,220.75734222058037,0.38,0.38,192.88,9.022954428195954
3012656,3059,90.94443622557388,236.68894069619768,0.38,0.54,103.04,7.7058555698394775
3022656,3004,47.4405905957596,213.21531524268065,0.26,0.54,161.74,7.5445612835884095
3032656,2954,61.33739939459938,221.21534790076916,0.3,0.56,143.88,7.639771362841129
3042656,2908,41.37582517874594,212.09294815772301,0.26,0.58,138.7,7.355381569266319
3052656,2863,50.45002824811988,210.23848833205858,0.26,0.52,175.48,7.7887162232398985
3062656,2819,88.85036177475911,223.49879478906277,0.34,0.46,170.3,8.426245214864611
3072656,2786,62.97840073787636,228.59051026181828,0.32,0.6,98.94,6.960035871863365
3082656,2749,87.07218880508852,235.2914043404965,0.36,0.52,122.7,7.599619108140469
3092656,2725,74.92407395374562,223.6009222297305,0.32,0.5,152.08,7.273683534860611
3102656,2697,103.50996142746273,233.93493827108747,0.4,0.5,114.0,7.9790126821398735
3112656,2660,66.93358753991215,216.710868501323,0.3,0.5,163.94,7.8845405254140495
3122656,2635,159.71320056971868,239.99296048105148,0.52,0.38,120.1,7.581349900960922
3132656,2595,74.43552358471368,217.39099413390124,0.3,0.46,184.84,8.252913662195205
3142656,2560,109.46471173539939,243.96834391218877,0.42,0.52,89.6,7.0237053108215335
3152656,2521,71.06665373259376,228.22783702417337,0.32,0.54,137.14,7.720704705715179
3162656,2487,80.12215969563306,223.5696369840666,0.32,0.48,174.0,8.539626870155335
3172656,2451,85.4914398221064,224.04094012657853,0.34,0.48,162.64,8.634751427918673
3182656,2420,74.10805847924316,233.44937887953037,0.34,0.58,112.12,8.146570234894753
3192656,2391,115.68307107559136,241.35225903691207,0.42,0.5,109.82,8.790891392230987
3202656,2362,74.82455883027792,221.44344582840438,0.32,0.5,152.78,7.384751604795456
3212656,2333,82.1670062971616,234.92852957727342,0.36,0.54,111.58,7.124825793504715
3222656,2303,142.2354611595471,233.95472545285654,0.46,0.38,159.68,9.059857139587402
3232656,2275,84.6572936795358,223.94437783214974,0.34,0.48,159.66,7.750874473750591
3242656,2258,94.74801877509447,231.85813935007815,0.38,0.5,119.82,7.452248587906361
3252656,2238,122.94916171141398,228.41336575157735,0.4,0.38,185.22,8.328856887221336
3262656,2217,97.52101373733292,227.24988899042836,0.36,0.46,164.14,9.013782489299775
3272656,2198,102.810799443324,230.29184853502753,0.38,0.46,146.8,7.728387463092804
3282656,2176,108.94106274307094,239.2907573122636,0.4,0.48,130.58,8.399298844337464
3292656,2152,115.87186562691086,229.70344733059827,0.4,0.42,166.28,8.306982950717211
3302656,2131,61.54716450521853,218.24112068773755,0.3,0.54,144.24,7.1792784936726095
3312656,2109,110.31680708440457,231.83942497499177,0.4,0.46,137.92,7.788541219830513
3322656,2090,90.4125250971302,228.45876559666468,0.36,0.5,133.62,7.585402501821518
3332656,2076,62.06913594614693,220.75935406455704,0.3,0.54,137.16,7.366020394712686
3342656,2054,87.23108419661301,225.32853772446842,0.34,0.48,163.4,8.590033814311028
3352656,2037,117.35673561785293,239.2253558863346,0.42,0.48,125.78,7.995826753079891
3362656,2017,92.71951551694788,221.6267938495117,0.34,0.44,186.46,9.201084859371186
3372656,1999,124.70155639906282,237.4948309380712,0.44,0.46,117.32,7.696073390841484
3382656,1988,100.41987022354664,229.59841906913402,0.38,0.46,147.16,7.383934086561203
3392656,1972,120.67370446128072,226.10828156761343,0.4,0.38,186.26,8.23920246899128
3402656,1954,46.98669815300811,211.54073227191506,0.26,0.56,150.54,8.29425501704216
3412656,1933,122.74941439651263,227.62031585876503,0.4,0.36,203.4,9.665604754686356
3422656,1916,121.17672040079411,234.35454470267106,0.42,0.42,156.26,8.660155493617058
3432656,1897,87.18559624560727,223.12341532617836,0.34,0.44,183.12,8.340608377456665
3442656,1880,80.3186951873956,226.29436400481026,0.34,0.52,142.26,8.379573497325183
3452656,1865,48.60965119816338,197.285992015743,0.24,0.46,227.74,8.693289940357209
3462656,1851,37.43601731605995,206.12280108311643,0.24,0.56,163.76,7.701670777797699
3472656,1835,38.423877249617455,206.8088735494424,0.24,0.56,176.22,7.890840744972229
3482656,1820,51.48974389324836,206.5091102012785,0.26,0.52,187.6,8.866512965261936
3492656,1805,13.761233388653817,192.42049345096382,0.2,0.62,155.76,7.423404941558838
3502656,1790,52.325316807987036,192.73534177512602,0.22,0.42,253.2,9.363235306739806
