episode,return,success,collision,steps,path_length
0,419.88890328754485,1,0,89,14.122735023498535
1,375.9775101407768,1,0,307,31.102142333984375
2,398.2224621050482,1,0,67,10.585187911987305
3,386.82093959015606,1,0,54,7.778550148010254
4,379.02291570924393,1,0,107,10.817376136779785
5,428.73914646713615,1,0,97,16.08639907836914
6,-86.2505332660753,0,1,58,8.868988037109375
7,363.0499247267965,1,0,124,13.305543899536133
8,393.3342068860591,1,0,47,6.5111823081970215
9,-97.29602148878267,0,1,123,12.648553848266602
10,390.35910883421735,1,0,83,12.285922050476074
11,379.01397018638903,1,0,103,9.830283164978027
12,-95.11430103606571,0,1,57,8.562840461730957
13,403.65427303675347,1,0,83,12.809122085571289
14,-103.61785705319022,0,1,45,5.814036846160889
15,377.48778817177026,1,0,54,7.509034156799316
16,404.43134121468665,1,0,70,11.259413719177246
17,378.9755962197483,1,0,93,8.362665176391602
18,395.64315988234637,1,0,70,10.990248680114746
19,402.4516978472322,1,0,74,11.163739204406738
20,387.7657283087725,1,0,94,12.473994255065918
21,374.36547429211566,1,0,215,19.10006332397461
22,380.7501636549979,1,0,51,6.402773380279541
23,413.68867272462046,1,0,89,14.019133567810059
24,422.1745722917467,1,0,95,14.972541809082031
25,384.7113186472654,1,0,123,14.050400733947754
26,390.70815009525415,1,0,60,8.425339698791504
27,390.76353762164615,1,0,244,27.761245727539062
28,402.96494052001833,1,0,88,12.428804397583008
29,388.2710919817218,1,0,149,19.260147094726562
30,381.6613893387032,1,0,49,6.80403470993042
31,-121.03730612473402,0,1,127,6.997239589691162
32,393.06983977710706,1,0,216,25.72230339050293
33,387.5596452080026,1,0,216,30.557632446289062
34,402.6682500491394,1,0,73,11.56823444366455
35,375.02918509788066,1,0,150,18.410192489624023
36,393.5073045431699,1,0,67,9.59665298461914
37,392.41592101728247,1,0,108,11.74110221862793
38,387.7315941659214,1,0,77,10.640161514282227
39,391.1555219912202,1,0,159,20.38555908203125
40,-117.10093480482895,0,1,22,1.7795281410217285
41,387.93876987360414,1,0,111,13.157255172729492
42,388.93684618157135,1,0,77,8.989587783813477
43,371.5276313682794,1,0,39,4.600588321685791
44,387.6291736951431,1,0,85,10.327203750610352
45,-113.79271133418794,0,1,13,0.6328721642494202
46,-124.39712926743513,0,1,46,6.470851898193359
47,386.98586981928963,1,0,122,14.162176132202148
48,-123.41507810250664,0,1,159,8.656861305236816
49,374.3665773067885,1,0,152,17.398603439331055
50,380.21122628609476,1,0,51,7.3894195556640625
51,-100.30445021071739,0,1,89,14.11503791809082
52,-136.94351142915784,0,1,105,16.024768829345703
53,-111.82330655860683,0,1,35,3.863283395767212
54,386.2278274222016,1,0,56,7.461024284362793
55,389.786366393074,1,0,158,20.97635269165039
56,-121.35950329160235,0,1,108,12.781288146972656
57,402.1580411342277,1,0,69,9.975112915039062
58,397.31392234154043,1,0,106,15.921191215515137
59,386.0401803950593,1,0,158,18.105003356933594
60,-88.43469936820048,0,1,55,8.270851135253906
61,412.63351692000026,1,0,108,17.0468807220459
62,421.48075475438736,1,0,102,16.764507293701172
63,431.3501241973858,1,0,102,16.675317764282227
64,-100.24698112235843,0,1,50,7.045690059661865
65,379.3248138626841,1,0,51,7.043984413146973
66,-119.4065784867509,0,1,25,2.2202091217041016
67,-131.00190770454407,0,1,32,2.8025760650634766
68,-105.79344197764888,0,1,79,9.794241905212402
69,-99.45872779689525,0,1,46,6.201590538024902
70,420.992880829319,1,0,97,16.131839752197266
71,-103.935789026095,0,1,46,6.297505855560303
72,379.4623278308001,1,0,320,27.2884464263916
73,397.1845339555192,1,0,82,12.738304138183594
74,398.56815338816597,1,0,114,10.098884582519531
75,-118.61093365735843,0,1,29,3.0624289512634277
76,-107.25584728856283,0,1,38,3.726747751235962
77,377.7676103864461,1,0,47,5.954831123352051
78,390.1167819685973,1,0,100,13.22219181060791
79,381.7949475568829,1,0,140,16.633914947509766
80,-150.37146346191628,0,1,141,17.210981369018555
81,385.30166412455486,1,0,138,16.146907806396484
82,398.1175580621228,1,0,57,7.433679103851318
83,383.3533716807038,1,0,86,9.510809898376465
84,417.1411783957481,1,0,84,13.995251655578613
85,407.18170369192956,1,0,93,15.265563011169434
86,389.52925503912564,1,0,58,8.307127952575684
87,392.9807479981929,1,0,86,12.815526962280273
88,373.61359261032044,1,0,45,5.815811634063721
89,-104.21004156021861,0,1,7,0.14772437512874603
90,393.7630319145694,1,0,68,9.947138786315918
91,374.75181159113873,1,0,185,13.72160530090332
92,393.2195834823446,1,0,97,11.2533597946167
93,399.6998744164798,1,0,83,12.494027137756348
94,-137.49978458008422,0,1,137,15.873769760131836
95,375.78105671101554,1,0,242,31.169767379760742
96,411.5020956558094,1,0,80,13.270853996276855
97,406.27315110978486,1,0,79,12.036866188049316
98,391.40517813738984,1,0,68,10.073051452636719
99,386.6739921901375,1,0,72,10.28266716003418
100,393.49924945980644,1,0,89,11.058206558227539
101,423.2843244854808,1,0,116,17.558094024658203
102,-116.75396712025525,0,1,21,1.266082525253296
103,373.410828884739,1,0,59,8.210169792175293
104,422.72182700803586,1,0,97,15.676498413085938
105,370.61727691206477,1,0,186,25.53457260131836
106,376.0812164301565,1,0,124,13.5538330078125
107,406.21368705522974,1,0,96,13.979497909545898
108,412.2467692481428,1,0,82,12.527409553527832
109,-99.13690244126168,0,1,50,7.223635196685791
110,422.339825147301,1,0,89,15.07050609588623
111,378.0346810907196,1,0,151,17.332080841064453
112,-115.07828746299138,0,1,33,3.8707010746002197
113,377.36112198721963,1,0,58,6.320549011230469
114,411.1422430835744,1,0,111,18.860090255737305
115,392.67170060098357,1,0,104,12.532118797302246
116,-116.38895339374027,0,1,35,3.655640125274658
117,-101.8536268670711,0,1,49,7.055144309997559
118,-99.56244139289826,0,1,70,10.0870361328125
119,386.5906065393686,1,0,68,9.15481948852539
120,-126.0182502473426,0,1,26,1.9293551445007324
121,396.0099391004518,1,0,66,9.315312385559082
122,395.8810757451012,1,0,67,10.50578498840332
123,394.1829186489731,1,0,63,9.281512260437012
124,397.7968215790539,1,0,94,13.97470760345459
125,400.4181657097859,1,0,83,12.258143424987793
126,391.41308610559247,1,0,86,10.848309516906738
127,404.6331312416107,1,0,190,26.991920471191406
128,374.4232400362789,1,0,45,5.439355850219727
129,429.0661821569614,1,0,116,19.409841537475586
130,-96.51724514569189,0,1,55,7.822489261627197
131,391.47098956224545,1,0,107,13.249907493591309
132,386.40967441688474,1,0,85,11.421161651611328
133,397.0460302690938,1,0,95,14.52463436126709
134,-88.16234365452661,0,1,60,9.270854949951172
135,406.42868269605935,1,0,98,15.60189151763916
136,-113.50572309709911,0,1,35,4.270854473114014
137,-117.59873742581446,0,1,26,2.20546817779541
138,-98.63522787682041,0,1,59,7.872631072998047
139,380.0703092727883,1,0,49,6.19928503036499
140,396.75345588317793,1,0,69,9.655226707458496
141,377.68546838918326,1,0,78,8.322427749633789
142,383.418635731758,1,0,83,10.302703857421875
143,411.36850095279345,1,0,98,16.256317138671875
144,408.37068211899697,1,0,78,11.963823318481445
145,389.3346058128178,1,0,62,8.58149528503418
146,-96.78824046005242,0,1,50,6.980781555175781
147,387.8963103167297,1,0,100,11.222223281860352
148,403.7257985756638,1,0,75,11.048480987548828
149,389.9656231439925,1,0,59,8.618408203125
150,390.6521622657395,1,0,58,8.405776977539062
151,393.2845648637116,1,0,78,8.775041580200195
152,385.10179466852543,1,0,77,10.008502960205078
153,380.3746170044139,1,0,158,17.463802337646484
154,383.49367811536786,1,0,54,7.175374984741211
155,362.1121080225,1,0,145,13.542009353637695
156,397.046419153358,1,0,88,13.140035629272461
157,386.82754548092146,1,0,113,12.352641105651855
158,408.34044464290884,1,0,83,12.862824440002441
159,-121.10916905591374,0,1,20,1.1290202140808105
160,375.55247757096197,1,0,103,11.025195121765137
161,391.907639345121,1,0,119,11.931294441223145
162,374.1594163261838,1,0,44,5.013629913330078
163,401.4183065461665,1,0,87,10.927862167358398
164,377.65181001937384,1,0,58,6.640766143798828
165,379.7925251062112,1,0,170,19.303621292114258
166,-103.37357074651881,0,1,69,9.716654777526855
167,417.9782982900788,1,0,94,16.020748138427734
168,-106.20455431897253,0,1,40,4.848744869232178
169,-83.4105273245518,0,1,64,9.811323165893555
170,374.1435254049019,1,0,175,24.204883575439453
171,-123.5825833228708,0,1,42,5.369518756866455
172,379.6566283310792,1,0,49,6.8155198097229
173,369.01603599538254,1,0,144,18.180034637451172
174,385.2040159811973,1,0,103,13.390190124511719
175,425.52466860352456,1,0,133,23.143875122070312
176,-109.15607307339764,0,1,35,4.166233062744141
177,-94.20219998798444,0,1,53,7.870852947235107
178,408.5911206599135,1,0,84,12.793218612670898
179,-112.00013352449129,0,1,40,4.9503703117370605
180,379.66415314241834,1,0,178,22.145709991455078
181,404.0325110384822,1,0,135,20.381122589111328
182,383.4773290627484,1,0,179,22.348682403564453
183,408.2746550587439,1,0,150,24.655147552490234
184,412.0402482572346,1,0,83,12.511192321777344
