episode,return,success,collision,steps,path_length
0,420.6841925219446,1,0,90,14.197467803955078
1,378.23027224038907,1,0,302,30.437705993652344
2,397.23168542221765,1,0,67,10.550959587097168
3,387.09547987717383,1,0,55,7.922565460205078
4,377.2994519833043,1,0,59,6.890380859375
5,428.5792941538691,1,0,99,16.300052642822266
6,-83.36576089889836,0,1,61,9.467799186706543
7,372.9790490172654,1,0,51,5.5366997718811035
8,394.0152814118483,1,0,48,6.551080703735352
9,-98.14362990928318,0,1,105,11.183501243591309
10,384.62773043378263,1,0,93,12.984978675842285
11,17.793803850193964,0,0,500,15.543344497680664
12,-95.03335660603855,0,1,57,8.642107963562012
13,404.5727688217167,1,0,80,12.623739242553711
14,-94.915113949834,0,1,62,6.6684160232543945
15,377.5894907734227,1,0,54,7.521908283233643
16,404.7130601584017,1,0,70,11.265788078308105
17,15.4291708518475,0,0,500,15.734550476074219
18,394.24499867820816,1,0,152,20.566755294799805
19,402.1862511403709,1,0,73,10.865777015686035
20,387.70025560899006,1,0,73,9.632881164550781
21,374.2339724775776,1,0,97,10.570731163024902
22,374.0831221053118,1,0,133,11.274955749511719
23,413.07559956149754,1,0,87,13.599761009216309
24,424.9655752743567,1,0,293,38.0223274230957
25,384.4104563637078,1,0,125,14.891873359680176
26,390.86974945183096,1,0,61,8.570748329162598
27,389.87875999237593,1,0,61,8.385034561157227
28,403.01816286525127,1,0,87,12.589881896972656
29,-113.84372148251113,0,1,33,3.7357935905456543
30,381.189300565885,1,0,48,6.604620933532715
31,-114.23684788990184,0,1,15,0.7684222459793091
32,391.1964889000119,1,0,270,29.603734970092773
33,380.64820075488495,1,0,269,36.045631408691406
34,403.0145107887891,1,0,73,11.572132110595703
35,373.7858170185685,1,0,113,11.909696578979492
36,392.45996905934817,1,0,68,9.743544578552246
37,394.4456652184697,1,0,102,11.023490905761719
38,387.66993656627835,1,0,70,9.545047760009766
39,392.6735693155676,1,0,142,17.335617065429688
40,-117.19080882710199,0,1,22,1.7816022634506226
41,378.1813882463896,1,0,164,17.28750991821289
42,388.5716618332151,1,0,70,9.160207748413086
43,371.81231420275566,1,0,40,4.92421817779541
44,387.400713681903,1,0,62,7.591462135314941
45,-112.8980144368377,0,1,13,0.49386876821517944
46,-125.3764923224885,0,1,46,6.470852851867676
47,385.14396942523797,1,0,102,11.687005996704102
48,-137.09206655559632,0,1,286,10.142974853515625
49,370.41330934864305,1,0,244,26.051908493041992
50,381.4082273411733,1,0,51,7.459205627441406
51,392.850042482607,1,0,68,10.023545265197754
52,385.13709784183277,1,0,51,7.405872821807861
53,-113.60538595160041,0,1,33,3.793266534805298
54,385.77198019789154,1,0,56,7.357946872711182
55,389.0425423808644,1,0,123,13.97998046875
56,-118.66338958891701,0,1,103,12.263459205627441
57,-97.16695384665665,0,1,92,14.629850387573242
58,395.42090597578886,1,0,187,24.86102294921875
59,385.88267018170654,1,0,152,17.142845153808594
60,-89.83052272831974,0,1,55,8.270853042602539
61,412.49656991234417,1,0,99,16.082983016967773
62,-115.96810704010822,0,1,33,3.4706642627716064
63,431.40605008875104,1,0,101,16.667112350463867
64,-104.0719202457036,0,1,51,6.986420154571533
65,376.14727282900185,1,0,50,6.922849655151367
66,-118.59733036889922,0,1,24,1.8428006172180176
67,381.8045337173536,1,0,66,6.471798419952393
68,-105.26410427722112,0,1,76,9.661447525024414
69,-97.98178408461595,0,1,52,7.082589149475098
70,415.4156635289309,1,0,146,19.81117820739746
71,-105.41913438748408,0,1,46,6.284394264221191
72,4.815955918967002,0,0,500,13.617154121398926
73,393.24267901065696,1,0,78,12.000322341918945
74,401.07631801725034,1,0,282,34.72084045410156
75,-121.46060646108637,0,1,30,3.2387306690216064
76,-108.45009828117834,0,1,42,3.795069932937622
77,377.924927226156,1,0,50,5.863872528076172
78,387.8920988437107,1,0,141,15.819890022277832
79,381.25856010474547,1,0,104,10.405162811279297
80,376.1322006026804,1,0,43,5.581114292144775
81,384.72529395266577,1,0,78,7.001916408538818
82,399.2557384618399,1,0,57,7.552161693572998
83,383.059719501611,1,0,70,7.486207008361816
84,417.73144219636913,1,0,84,13.961625099182129
85,407.00257320448753,1,0,94,15.548575401306152
86,389.12014634831695,1,0,58,8.213276863098145
87,386.1662216660536,1,0,264,33.630470275878906
88,372.45300641496266,1,0,48,6.06805419921875
89,-104.48656560412883,0,1,7,0.19799038767814636
90,393.7947560090273,1,0,65,9.381585121154785
91,366.32704276842844,1,0,282,24.802433013916016
92,392.8381017417951,1,0,104,12.460264205932617
93,400.8443352675587,1,0,78,12.047371864318848
94,373.63521747202844,1,0,100,7.648970603942871
95,-153.18608367504774,0,1,112,18.412464141845703
96,411.614105083289,1,0,80,13.268758773803711
97,406.65256203886867,1,0,76,11.849645614624023
98,-110.65612906898701,0,1,83,12.956742286682129
99,390.4623017671026,1,0,67,9.935860633850098
100,393.3432628412918,1,0,70,9.879534721374512
101,423.1732764827609,1,0,115,17.954954147338867
102,377.1437972202751,1,0,47,5.505608558654785
103,-104.38462224241395,0,1,46,6.018618106842041
104,-101.74528445401542,0,1,132,22.349266052246094
105,370.54853036022513,1,0,173,23.755565643310547
106,372.1308210336664,1,0,91,9.01375675201416
107,-88.65151264260501,0,1,56,8.463926315307617
108,412.78560275468226,1,0,83,12.856291770935059
109,-101.16440619284585,0,1,50,7.060801029205322
110,422.25576926735044,1,0,88,14.869010925292969
111,384.9742651827975,1,0,66,7.9422287940979
112,-117.4049083116631,0,1,34,4.046647548675537
113,377.4660845233174,1,0,54,6.159682273864746
114,411.37362029811555,1,0,110,18.583953857421875
115,386.85090145191725,1,0,142,13.237961769104004
116,-116.94116108668139,0,1,35,3.530120849609375
117,-100.42887199543213,0,1,49,7.065487861633301
