update,timesteps,fps,train_return_mean,train_success_rate,train_collision_rate,train_episode_len_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,std_mean,early_stop
1,4096,1782.7,225.87084716613214,0.6585365853658537,0.2926829268292683,98.82926829268293,141.29145015555648,246.5265129210033,0.5,0.4666666666666667,105.46666666666667,11.113420764605204,314.814195394516,-0.006848709199888011,629.6488622029623,1.1303048878908157,0.002103674529644195,0.108203125,0.42649877071380615,0.0
2,8192,1605.7,182.91153894890016,0.58,0.38,108.96,253.4156169140601,221.3464262873447,0.7,0.23333333333333334,129.13333333333333,16.559701414903007,296.77772960662844,-0.006382484391603309,593.5750505765279,1.136270480354627,0.002051417366116463,0.106005859375,0.42774060368537903,0.0
3,12288,1546.5,129.97106245919463,0.46,0.46,141.04,148.94446241558248,248.47952409971202,0.5,0.43333333333333335,136.6,17.12190995613734,273.0127321879069,-0.005869623585992182,546.0440600713094,1.1425199290116628,0.0016584898510094111,0.08655598958333334,0.4294237494468689,0.0
4,16384,1512.1,186.35238834598948,0.58,0.36,139.8,134.33307995706113,247.11448284251998,0.4666666666666667,0.43333333333333335,142.23333333333332,16.430620257059733,193.14818506240846,-0.007773036273041119,386.3188137054443,1.1495057672262192,0.002024439673308128,0.10651041666666666,0.4300304651260376,0.0
5,20480,1499.2,226.26414218775034,0.66,0.3,127.04,122.33236962153697,239.47230643271027,0.43333333333333335,0.43333333333333335,147.8,17.17819610039393,156.42851629257203,-0.007602430592911939,312.87913001378377,1.1485013996561368,0.0024879469914594666,0.12976888020833333,0.429656445980072,0.0
6,24576,1501.5,178.1401880033893,0.56,0.38,122.32,160.42537893749412,239.5319139765584,0.5,0.4,132.0,17.10008223056793,207.6020144780477,-0.006743358040694147,415.22440497080487,1.1484369014700253,0.0024467472539981827,0.13006184895833334,0.43034833669662476,0.0
7,28672,1503.8,116.2644962000273,0.42,0.48,127.42,171.52414145700504,232.60289152228555,0.5333333333333333,0.3333333333333333,134.36666666666667,16.365794521570205,214.01660284996032,-0.006553259606395538,428.05321480433145,1.1505938972036043,0.0025651381996188625,0.13649088541666668,0.4302714169025421,0.0
8,32768,1494.5,132.83351598208392,0.48,0.52,92.98,208.98521395577606,233.75618203545312,0.6,0.26666666666666666,156.13333333333333,15.893263244628907,287.2307976881663,-0.006160896832201009,574.4808341026306,1.1521867483854293,0.0022174488306821636,0.11739908854166667,0.4305552840232849,0.0
9,36864,1488.9,171.15042536632834,0.54,0.4,122.26,137.49784891705033,239.2715390130362,0.4666666666666667,0.4,149.96666666666667,17.8418017466863,196.44339189529418,-0.006768114306032658,392.9072366396586,1.1524818455179533,0.0022979533697556082,0.123876953125,0.43068984150886536,0.0
10,40960,1485.0,187.50744212658213,0.56,0.34,139.06,214.10308122078004,225.99574163137586,0.6,0.23333333333333334,158.83333333333334,19.84086906115214,183.63477954069774,-0.006736277167025643,367.28995124499005,1.153393601377805,0.0027028530229775546,0.14431966145833333,0.43069934844970703,0.0
