update,timesteps,fps,train_return_mean,train_success_rate,train_collision_rate,train_episode_len_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,std_mean,early_stop
1,4096,1773.1,225.87084716613214,0.6585365853658537,0.2926829268292683,98.82926829268293,146.1434996646544,242.4542385140355,0.5,0.43333333333333335,110.63333333333334,11.623118789990743,314.802405055364,-0.013006526159976299,629.6489029884339,1.129670769472917,0.005767650239189,0.07073567708333334,0.42642831802368164,0.0
2,8192,1658.7,178.8808650046603,0.58,0.4,111.22,253.6940437498062,221.25864705969192,0.7,0.23333333333333334,125.96666666666667,16.098311392466226,276.77017672856647,-0.011869997405059014,553.582299041748,1.1374315723776818,0.004346324106639561,0.051123046875,0.4286540746688843,0.0
3,12288,1654.9,153.16346841345106,0.52,0.44,132.86,115.4305501618432,245.93708094970947,0.43333333333333335,0.5,127.96666666666667,15.877089540163675,259.7405670166016,-0.011906753059399004,519.5232769330343,1.1455888097484908,0.0054755698351073075,0.06806640625,0.429723858833313,0.0
4,16384,1668.8,222.87896920905962,0.66,0.3,130.0,109.33422762734105,236.21683309989876,0.4,0.43333333333333335,145.06666666666666,16.191694513956705,192.33601276079813,-0.009883389916891853,384.71020860671996,1.1508062367637952,0.005109041172060339,0.057958984375,0.4309864640235901,0.0
5,20480,1667.4,235.3399452700661,0.68,0.28,136.22,152.60314343980824,240.93771419531174,0.5,0.4,136.46666666666667,16.08536771933238,144.74509383042653,-0.010960508325176003,289.5305339018504,1.151410529514154,0.006188127351924777,0.07900390625,0.4296085238456726,0.0
6,24576,1663.9,216.68085386366093,0.64,0.3,129.94,179.73325468711073,234.75194369380552,0.5333333333333333,0.3333333333333333,149.63333333333333,17.99220495223999,132.81747376124065,-0.01116933325441399,265.67570247650144,1.1510905047257742,0.007195654585181425,0.09114583333333333,0.4317081570625305,0.0
7,28672,1668.3,135.83306779652258,0.46,0.44,120.88,168.06035699560408,236.49487217734867,0.5333333333333333,0.36666666666666664,128.33333333333334,15.646358531713485,201.34251122474672,-0.012830412632320076,402.72934713363645,1.1665102049708367,0.006050113521632738,0.076123046875,0.43693724274635315,0.0
8,32768,1665.4,161.6502786880045,0.54,0.46,87.32,209.95924527088513,233.46418627103932,0.6,0.26666666666666666,158.53333333333333,16.27193021774292,267.45338446299235,-0.01403175182446527,534.9537828445434,1.1841580703854562,0.005703958747714447,0.07054036458333333,0.438504159450531,0.0
9,36864,1668.5,228.51487996073698,0.66,0.32,103.98,137.3850163397119,239.8920370676794,0.4666666666666667,0.4,135.6,16.339483960469565,149.0742218097051,-0.012809594258821258,298.1930735588074,1.1879889453450838,0.0074038128329751395,0.09532877604166666,0.4373854398727417,0.0
10,40960,1663.0,163.41953603389035,0.52,0.4,118.38,214.7582607173252,224.31644932994828,0.6,0.23333333333333334,156.63333333333333,19.50831998984019,253.08512512842813,-0.011076179422767988,506.211195119222,1.1745461652676263,0.007053019519662485,0.0916015625,0.43302392959594727,0.0
11,45056,1674.7,108.11721929979454,0.4,0.48,142.78,162.93433224137792,240.63099844883368,0.5333333333333333,0.4,110.03333333333333,12.869230262438457,117.58137570222219,-0.011255262004366766,235.20388576189677,1.164089491466681,0.006499158004589845,0.08162434895833333,0.4327079653739929,0.0
12,49152,1684.2,116.84045977107067,0.44,0.5,128.04,237.42933015622856,229.75434692595562,0.7,0.3,111.66666666666667,13.551313654581707,147.11083860397338,-0.012460140006442088,294.2651758670807,1.1609840482473373,0.007716172292324093,0.09939778645833333,0.4321238398551941,0.0
13,53248,1696.9,175.72063193987248,0.56,0.38,127.78,172.93471265367816,246.09923780366083,0.5666666666666667,0.43333333333333335,95.5,11.358788148562114,165.40621302922565,-0.010072824378342678,330.85116182963054,1.1619356165329615,0.007077297692012508,0.09020182291666666,0.4328864812850952,0.0
14,57344,1700.1,202.52617211760912,0.62,0.34,102.34,182.13012616967777,244.0893483808149,0.5666666666666667,0.36666666666666664,120.66666666666667,14.430149161815644,149.65431908766428,-0.011695917624941406,299.35074089368186,1.1696446637312572,0.007205448862805497,0.09278971354166667,0.436328262090683,0.0
