episode,return,success,collision,steps,path_length
0,420.0085854689776,1,0,90,14.107956886291504
1,24.453343739245085,0,0,500,41.97882080078125
2,396.7277523085178,1,0,67,10.642576217651367
3,386.8857458426356,1,0,55,7.655694961547852
4,-116.46992686444744,0,1,31,2.923860788345337
5,429.1668293218314,1,0,103,17.031524658203125
6,-85.53128531249128,0,1,59,9.033716201782227
7,373.1463649683222,1,0,53,5.607900142669678
8,393.08937779386235,1,0,47,6.666339874267578
9,-118.30524351136725,0,1,116,10.716923713684082
10,387.76197340057416,1,0,90,12.850040435791016
11,12.160882767237089,0,0,500,25.620899200439453
12,-91.41816302504171,0,1,58,8.701526641845703
13,401.8600195319292,1,0,86,13.03335189819336
14,-102.50790172173642,0,1,47,6.109308242797852
15,381.7873127035915,1,0,55,7.4418559074401855
16,404.53434854486585,1,0,70,11.26870346069336
17,376.3581052141711,1,0,309,27.29598617553711
18,396.0867920747975,1,0,71,11.092451095581055
19,402.2017921435228,1,0,84,13.090805053710938
20,388.21952880880565,1,0,94,12.329081535339355
21,3.3380473118685927,0,0,500,24.470394134521484
22,-125.24265485948845,0,1,75,11.110135078430176
23,408.3370380357439,1,0,102,16.506357192993164
24,72.34079072610372,0,0,500,64.1783447265625
25,387.6428234553132,1,0,57,7.8032026290893555
26,387.25168426304856,1,0,177,23.808990478515625
27,389.98058443299675,1,0,65,8.561579704284668
28,403.01567728123064,1,0,91,12.67768669128418
29,-119.76631333077036,0,1,33,3.346346616744995
30,380.71976734191685,1,0,48,6.7076520919799805
31,-115.39538218516313,0,1,16,0.6346980333328247
32,394.4698253456518,1,0,64,8.997453689575195
33,17.725983123589245,0,0,500,50.834938049316406
34,404.58595587042925,1,0,76,11.796090126037598
35,5.277676049129742,0,0,500,39.83529281616211
36,394.2120947534224,1,0,67,9.615297317504883
37,-118.71246628252997,0,1,130,16.591632843017578
38,387.8196147748679,1,0,72,9.677022933959961
39,385.9222311998905,1,0,170,21.383438110351562
40,367.9905731104548,1,0,116,12.114032745361328
41,388.2510565968677,1,0,116,13.824575424194336
42,-120.62777527195483,0,1,22,1.5676854848861694
43,371.437130768694,1,0,40,4.537603378295898
44,387.4907171721519,1,0,76,8.70622444152832
45,-112.43231626143239,0,1,13,0.4593186378479004
46,-124.61896801167534,0,1,46,6.470852851867676
47,-116.34994011284799,0,1,23,0.7925779819488525
48,-134.43576290357433,0,1,400,18.785526275634766
49,374.3078207022267,1,0,192,21.746238708496094
50,-132.79859107564366,0,1,96,14.641841888427734
51,392.8810639758631,1,0,68,9.83191204071045
52,385.3636358054541,1,0,51,7.382591724395752
53,-111.20468050199185,0,1,45,5.051969528198242
54,386.0094576441347,1,0,56,7.415319442749023
55,389.820448314458,1,0,130,14.509239196777344
56,-119.37060013868533,0,1,112,13.7587251663208
57,-113.45001814412353,0,1,15,0.818343997001648
58,397.29556403289547,1,0,104,15.299454689025879
59,389.30427462506293,1,0,84,10.491870880126953
60,-86.33533492125224,0,1,60,9.233511924743652
61,412.5636704862415,1,0,115,17.838687896728516
62,422.1511401029676,1,0,109,18.225093841552734
63,431.9572912384878,1,0,119,17.533246994018555
64,-104.01267791872561,0,1,51,6.904839515686035
65,379.2815662481402,1,0,53,6.896145820617676
66,-117.49617500065374,0,1,25,1.8194900751113892
67,-125.27983060698689,0,1,37,2.8586220741271973
68,-103.01106026706519,0,1,91,10.82583236694336
69,1.4121745995551565,0,0,500,15.196401596069336
70,54.037762953926084,0,0,500,34.989845275878906
71,-109.1461224255052,0,1,46,6.109090328216553
72,2.1516843727861477,0,0,500,7.331028938293457
73,-125.86973119382128,0,1,143,22.759212493896484
74,28.64673023761126,0,0,500,13.7749662399292
75,-119.55898770382427,0,1,34,3.706829309463501
76,-108.5392125049976,0,1,38,3.7085225582122803
77,377.7669253992438,1,0,46,5.860022068023682
78,390.4749187639504,1,0,103,12.87820816040039
79,368.7984791460613,1,0,278,27.413551330566406
80,376.3217335401773,1,0,42,5.482123374938965
81,380.9507535474436,1,0,204,19.720497131347656
82,399.58420046838455,1,0,57,7.68612813949585
83,382.84348764374556,1,0,78,8.721503257751465
84,417.1103357076645,1,0,85,14.197967529296875
85,407.44619442140885,1,0,97,15.765799522399902
86,381.75670210580955,1,0,138,15.057207107543945
87,393.608640067839,1,0,99,13.633259773254395
88,375.1474049546538,1,0,46,5.752155303955078
89,-105.41660746968493,0,1,8,0.2374180108308792
90,-140.53977655185525,0,1,193,24.69485092163086
91,375.17744077327234,1,0,362,23.388099670410156
92,-104.26767321862076,0,1,71,11.264217376708984
93,398.3216314746634,1,0,89,13.258121490478516
94,-140.4604139581252,0,1,139,15.528409957885742
95,4.895419721511801,0,0,500,42.86512756347656
96,-89.62687304323711,0,1,100,17.268287658691406
97,406.6472605414688,1,0,85,12.214792251586914
98,-110.20392524432943,0,1,86,13.458492279052734
99,387.3550805278056,1,0,70,10.129182815551758
100,393.88505826740027,1,0,99,12.484909057617188
101,423.0179976020455,1,0,125,18.526731491088867
102,-117.07488710327897,0,1,20,1.1638343334197998
103,382.6563455090495,1,0,68,9.231626510620117
104,422.3797437240481,1,0,96,15.470916748046875
105,364.8855150979778,1,0,162,14.375158309936523
106,369.1766794991892,1,0,284,32.021087646484375
107,-95.07211898821873,0,1,52,7.628340244293213
108,412.7127212976813,1,0,84,13.19145393371582
109,-100.75362477654735,0,1,50,7.0075764656066895
110,422.3285096094906,1,0,88,14.866353988647461
111,383.3602638203375,1,0,68,8.265240669250488
112,398.5099202923237,1,0,139,19.059852600097656
113,377.3874830178129,1,0,54,6.142646312713623
114,-127.95943592570801,0,1,40,5.2523884773254395
115,-119.5342550034301,0,1,19,1.0550422668457031
116,-117.62159494631051,0,1,35,3.5353317260742188
117,-97.79193298747802,0,1,50,7.263856410980225
118,-101.69761810211358,0,1,67,10.576214790344238
119,386.86952540993684,1,0,76,10.002449035644531
120,-123.35648012911612,0,1,34,2.1502509117126465
121,-101.49187311719028,0,1,79,12.030625343322754
122,380.2649603934481,1,0,67,10.49561595916748
123,394.0537007662207,1,0,64,9.728858947753906
124,397.6703930660039,1,0,101,14.715344429016113
125,397.6213979185634,1,0,317,43.03569030761719
126,390.48161467048874,1,0,88,12.112187385559082
127,405.309870524879,1,0,144,17.677377700805664
128,374.22506278860567,1,0,55,5.633186340332031
129,428.35481320252734,1,0,120,20.0791015625
130,-97.48466398805733,0,1,54,7.4799275398254395
131,382.9196943083305,1,0,342,44.86262893676758
132,386.121038635835,1,0,78,10.577033996582031
133,395.468627833315,1,0,107,15.22474193572998
134,-87.86281763136556,0,1,59,9.070853233337402
135,406.2218546313792,1,0,99,15.336530685424805
136,403.620275483858,1,0,143,21.50098991394043
137,-119.44533253499993,0,1,26,2.2190966606140137
138,-99.58829047674405,0,1,59,7.949590682983398
139,380.15452283083664,1,0,50,6.187869071960449
140,-1.1075968581363784,0,0,500,55.696048736572266
141,378.66418334960935,1,0,59,6.553292274475098
142,383.02026613649167,1,0,82,10.200584411621094
143,411.43336947992447,1,0,97,15.957157135009766
144,408.43719240097704,1,0,79,12.54587459564209
145,389.2400788365975,1,0,57,8.214520454406738
146,-99.58684400064637,0,1,49,6.9334187507629395
147,-120.8019220099558,0,1,26,1.8053861856460571
148,403.1704922050067,1,0,75,11.074202537536621
149,-124.26144937149567,0,1,89,14.723097801208496
150,390.1797577700092,1,0,57,8.430665969848633
151,392.79144208802654,1,0,68,8.879940032958984
152,384.0007241217792,1,0,74,9.32510757446289
153,380.55167241629226,1,0,120,11.238956451416016
154,382.62777570090066,1,0,54,7.385622501373291
155,14.923370442040508,0,0,500,22.796586990356445
156,399.21956590725506,1,0,82,12.617228507995605
157,384.04355810956616,1,0,62,4.943362712860107
158,407.9664785958677,1,0,82,12.57768440246582
159,-119.83407606241708,0,1,20,1.4640905857086182
160,370.80105818926916,1,0,208,19.00611686706543
161,392.59763208197063,1,0,278,30.710771560668945
162,-118.18173947201154,0,1,56,7.380211353302002
163,19.804785602307653,0,0,500,31.61200714111328
