episode,return,success,collision,steps,path_length
0,419.4894035572093,1,0,91,14.510146141052246
1,5.669785567051596,0,0,500,45.429508209228516
2,395.8557470518862,1,0,67,10.645482063293457
3,384.68316700211585,1,0,243,29.615978240966797
4,-111.26857495984176,0,1,35,3.787777900695801
5,428.68871166740655,1,0,96,16.201129913330078
6,-89.80041992549843,0,1,56,8.409380912780762
7,373.16367731301483,1,0,48,4.966424465179443
8,393.55160063941673,1,0,47,6.631799221038818
9,-117.60488683514711,0,1,30,2.228252649307251
10,25.156580960947533,0,0,500,36.60422134399414
11,20.573688784110587,0,0,500,22.43975067138672
12,-94.21018023315034,0,1,56,8.229619026184082
13,46.95421753196413,0,0,500,53.041229248046875
14,380.8097933016946,1,0,67,8.409351348876953
15,380.44560639057215,1,0,55,7.416511058807373
16,-107.12328491482695,0,1,102,16.695388793945312
17,377.29104533836846,1,0,312,20.627296447753906
18,-105.45067820221296,0,1,178,25.416921615600586
19,402.3364130519476,1,0,70,10.659409523010254
20,383.38916649284,1,0,251,29.680042266845703
21,12.203513296699247,0,0,500,13.799917221069336
22,380.298958979398,1,0,51,6.357010364532471
23,412.37517174141595,1,0,83,13.402152061462402
24,62.04894069168876,0,0,500,46.35968017578125
25,387.28177622444923,1,0,54,7.7270402908325195
26,390.4712685580254,1,0,63,8.773131370544434
27,389.9765189020447,1,0,64,8.744424819946289
28,34.884740668616296,0,0,500,56.89946365356445
29,387.61630529439424,1,0,200,22.198284149169922
30,380.8538792338502,1,0,48,6.626771926879883
31,-110.2464536537222,0,1,22,1.238793969154358
32,388.79088195317,1,0,100,11.588319778442383
33,5.145906456363397,0,0,500,56.878143310546875
34,404.75811909503636,1,0,73,11.516630172729492
35,375.87441570453996,1,0,118,12.19080924987793
36,-113.00407137263899,0,1,34,3.387676954269409
37,-104.24779560098384,0,1,14,0.3887372612953186
38,386.2624862768337,1,0,84,10.47336196899414
39,394.0155883753449,1,0,136,16.05113983154297
40,369.1005732097261,1,0,122,11.920380592346191
41,20.02893637138156,0,0,500,28.344402313232422
42,-117.67237241875867,0,1,22,1.6905770301818848
43,371.11905745957415,1,0,43,4.955783843994141
44,387.76538901485065,1,0,59,6.919846057891846
45,-112.34190422474262,0,1,13,0.457892507314682
46,-122.2041948690486,0,1,45,6.270854473114014
47,-115.63771854369222,0,1,16,0.7956282496452332
48,-115.48938985715866,0,1,137,4.9413652420043945
49,-39.32554452146488,0,0,500,56.5819206237793
50,376.32258570629716,1,0,155,20.98440170288086
51,393.25655208043,1,0,74,10.310323715209961
52,380.42198291136305,1,0,202,21.641826629638672
53,-115.61128439204847,0,1,33,3.655801296234131
54,385.8264205165208,1,0,56,7.447680473327637
55,389.1783623345057,1,0,123,13.907022476196289
56,-119.54748436868002,0,1,80,8.722588539123535
57,-113.33322790797828,0,1,15,0.8485286831855774
58,397.49471417538626,1,0,102,14.560917854309082
59,388.8554237144589,1,0,80,10.367919921875
60,-89.35609162720162,0,1,55,8.269927024841309
61,55.92755310658405,0,0,500,59.437007904052734
62,-117.60953190526156,0,1,30,3.089189291000366
63,431.47767291804996,1,0,105,16.705078125
64,-104.45146813225603,0,1,51,6.358304977416992
65,12.176864473950637,0,0,500,34.04651641845703
66,-119.4562033136767,0,1,24,2.1073827743530273
67,19.749577366011106,0,0,500,10.734189987182617
68,-104.83025526954196,0,1,56,6.472454071044922
69,-100.14367933084047,0,1,46,6.182710647583008
70,-95.96743358400036,0,1,184,25.710697174072266
71,411.36695508579214,1,0,87,14.580039978027344
72,377.4383312662691,1,0,78,7.210190296173096
73,395.02182057087833,1,0,80,12.051992416381836
74,29.78420589937698,0,0,500,46.072113037109375
75,-118.608925306599,0,1,29,3.064774513244629
76,-101.65857102708765,0,1,50,5.374925136566162
77,378.4177820800394,1,0,50,5.874683380126953
78,386.3632132659178,1,0,158,18.254844665527344
79,381.08563246513484,1,0,114,10.945661544799805
80,376.19569438396394,1,0,43,5.526664733886719
81,22.066561098344877,0,0,500,15.463215827941895
82,399.433986211991,1,0,57,7.658236026763916
83,24.85751098207967,0,0,500,26.96466064453125
84,416.8780875012591,1,0,85,13.650065422058105
85,406.9045264648471,1,0,199,27.783710479736328
86,388.4529865188127,1,0,58,8.615468978881836
87,392.8287812785059,1,0,73,10.93946361541748
88,374.74812532454075,1,0,49,5.904843330383301
89,-104.34919260989535,0,1,8,0.21692392230033875
90,-135.40617241717075,0,1,123,18.57444953918457
91,373.1629138663485,1,0,46,4.886049747467041
92,390.63348573248044,1,0,99,10.98156452178955
93,37.56789178554532,0,0,500,53.546051025390625
94,8.728870329434944,0,0,500,19.409423828125
95,382.6748711951922,1,0,221,26.158777236938477
96,-107.99117448789667,0,1,39,4.812086582183838
97,406.6724643811881,1,0,78,11.813117980957031
98,-110.10618682069577,0,1,110,14.42406177520752
99,-112.08228777308534,0,1,38,4.858059406280518
100,31.569823635885605,0,0,500,24.855859756469727
101,58.70917252088505,0,0,500,53.69271469116211
102,-116.22962498177581,0,1,23,1.4731470346450806
103,-109.65361195198356,0,1,41,5.357894420623779
104,-82.87287525423088,0,1,63,9.600695610046387
105,-114.02152038016943,0,1,56,7.686441421508789
106,375.17952847455535,1,0,51,5.547563076019287
107,-92.9308314909494,0,1,55,8.270852088928223
108,412.05005127400415,1,0,84,13.410795211791992
109,-103.63460880408313,0,1,50,6.214430809020996
110,422.35021105082194,1,0,89,14.507163047790527
111,22.390995268838978,0,0,500,12.694005966186523
112,-114.98033337151148,0,1,33,3.8708531856536865
113,-107.03792946891565,0,1,55,6.324649333953857
114,415.6033568849231,1,0,101,16.867830276489258
115,-118.10214222815287,0,1,20,1.4314684867858887
116,-118.80714488013446,0,1,35,3.199989080429077
117,-102.75266614379035,0,1,49,7.005537986755371
118,398.402276947588,1,0,84,8.513301849365234
119,383.20973837007784,1,0,240,28.605449676513672
120,31.07800709575857,0,0,500,45.865142822265625
121,-97.92340162652202,0,1,82,12.07463550567627
122,-96.04376330791308,0,1,59,8.862885475158691
123,394.040529703781,1,0,65,9.721513748168945
124,5.653886939071127,0,0,500,60.257659912109375
125,398.7663158927065,1,0,278,36.4154052734375
126,28.814979106801534,0,0,500,17.98271369934082
127,407.36521374078285,1,0,147,18.453277587890625
128,374.1954702769695,1,0,46,5.112339019775391
129,-97.74921664491107,0,1,54,7.4697771072387695
130,-98.5857455864564,0,1,180,24.470375061035156
131,22.238228089892853,0,0,500,44.19807434082031
132,387.25119319516426,1,0,199,18.688220977783203
133,394.19723928670436,1,0,160,21.08285903930664
134,-94.85812737070823,0,1,56,8.24726390838623
135,402.80867174186676,1,0,78,11.833230972290039
136,-113.52028381447833,0,1,35,4.270854473114014
137,-121.5386554771838,0,1,26,2.261756658554077
138,-105.89631721115687,0,1,47,5.700435638427734
139,374.1869825372133,1,0,80,8.15711498260498
140,36.59422556952565,0,0,500,39.62982940673828
141,379.0625059461996,1,0,68,6.608927249908447
142,378.08149980886327,1,0,60,6.894970417022705
143,23.47707316660677,0,0,500,60.843162536621094
144,402.51688739485155,1,0,160,21.14076805114746
145,389.9726471323047,1,0,59,8.174357414245605
146,-98.53035602165583,0,1,54,7.967820167541504
147,-119.71920380493263,0,1,25,2.171241521835327
148,403.87573727062727,1,0,81,10.936810493469238
149,385.9482284631875,1,0,60,8.40970516204834
150,-103.53934689850827,0,1,73,10.786179542541504
151,392.9166990418871,1,0,65,8.883112907409668
152,382.8301144742775,1,0,251,29.985149383544922
153,378.12645943867903,1,0,134,12.774019241333008
154,-108.34267561682537,0,1,54,7.370145320892334
155,352.4093074206494,1,0,57,6.07889986038208
156,389.1438994191675,1,0,186,24.73247528076172
157,382.964865960826,1,0,406,27.842439651489258
158,-90.1244698704441,0,1,60,8.938485145568848
159,399.8484204312517,1,0,87,12.152338027954102
160,376.0141307784524,1,0,93,10.0225191116333
161,391.0877452058969,1,0,92,10.808107376098633
162,-122.43439656911272,0,1,214,21.72732162475586
163,38.17286795858299,0,0,500,59.020660400390625
164,14.053562489769552,0,0,500,13.237650871276855
165,389.08292418811465,1,0,90,10.481155395507812
166,-121.39738361755042,0,1,136,15.921209335327148
167,62.260299525509204,0,0,500,30.306406021118164
168,-100.37159824430688,0,1,44,5.525546073913574
169,-83.1057042234066,0,1,64,10.041963577270508
170,11.257782790073856,0,0,500,20.006404876708984
171,-121.90638470397049,0,1,42,5.327859401702881
172,381.03679191298113,1,0,51,6.608263969421387
173,18.445862919921442,0,0,500,19.922630310058594
174,385.63065421640874,1,0,88,10.55084228515625
175,424.39657039237267,1,0,123,20.067853927612305
176,-125.44336117439926,0,1,170,23.29940414428711
177,-85.75539131665884,0,1,56,8.409287452697754
178,406.12161310826684,1,0,86,13.065032958984375
179,392.27545359340326,1,0,171,22.716936111450195
180,386.7194349442785,1,0,163,21.20236587524414
181,401.93207339219,1,0,157,19.824138641357422
182,-118.29440480497018,0,1,29,2.426849126815796
183,407.18122488852373,1,0,132,20.48543930053711
184,412.13248904458715,1,0,91,13.168015480041504
185,374.2260915484577,1,0,121,12.630614280700684
186,-107.02707544665824,0,1,45,6.264069080352783
187,402.7850821277797,1,0,286,37.04974365234375
188,379.9401611506715,1,0,51,6.288787364959717
189,-94.95513782371606,0,1,52,7.6708526611328125
190,23.798300853748657,0,0,500,38.55895233154297
191,384.00055837877375,1,0,55,7.690584659576416
192,-127.77145529603177,0,1,131,20.46822738647461
193,16.892431432758038,0,0,500,55.03514099121094
194,41.213477044165835,0,0,500,51.786224365234375
195,-123.99920884079626,0,1,24,1.5454291105270386
196,43.53989568616448,0,0,500,59.387977600097656
197,413.32776461465113,1,0,90,14.921530723571777
198,-104.03518519820446,0,1,14,0.5675948858261108
199,-107.74963015699836,0,1,49,6.004127502441406
