episode,return,success,collision,steps,path_length
0,420.47611319609166,1,0,90,14.224878311157227
1,377.7092764045633,1,0,107,10.375885009765625
2,398.04971702042,1,0,67,10.642651557922363
3,387.03958028358215,1,0,55,7.742882251739502
4,381.09303549375875,1,0,125,13.283040046691895
5,428.61446185685696,1,0,98,16.215723037719727
6,-83.23235438192778,0,1,62,9.557308197021484
7,359.30052195323833,1,0,222,25.510150909423828
8,393.1726309333279,1,0,47,6.528459072113037
9,367.8304511188385,1,0,117,13.44086742401123
10,390.09095379061864,1,0,83,12.079989433288574
11,378.0792283816989,1,0,54,6.060389518737793
12,415.584640022201,1,0,111,15.902052879333496
13,403.75269905850905,1,0,274,41.389732360839844
14,-104.78487303030064,0,1,48,5.530463218688965
15,382.78283825522016,1,0,55,7.590024948120117
16,404.1166688652038,1,0,71,11.27117919921875
17,378.81028051641147,1,0,117,11.17621898651123
18,-89.71271865455527,0,1,54,7.623043060302734
19,402.3053913589899,1,0,76,11.571738243103027
20,388.48109422430935,1,0,96,12.29022216796875
21,-131.26892479026372,0,1,99,11.087984085083008
22,380.8957697447389,1,0,51,6.352604866027832
23,412.42500640937465,1,0,91,14.48121166229248
24,421.8785866503715,1,0,103,14.947733879089355
25,385.5817326910235,1,0,139,16.746694564819336
26,390.5688677885234,1,0,60,8.301342964172363
27,390.1897803076617,1,0,61,8.42627239227295
28,403.2400904686037,1,0,91,12.760493278503418
29,395.896506491267,1,0,67,10.412999153137207
30,380.96772444384413,1,0,48,6.74867057800293
31,-113.8368136296811,0,1,30,1.2851760387420654
32,389.207008680435,1,0,223,27.522924423217773
33,384.60568247085087,1,0,248,32.87547302246094
34,401.3439883768311,1,0,112,13.443435668945312
35,374.35873522792315,1,0,139,16.3100643157959
36,390.6056995744721,1,0,67,9.711334228515625
37,392.04452348541633,1,0,112,12.308944702148438
38,387.8538823052467,1,0,73,9.74068832397461
39,393.192288573824,1,0,159,20.46161651611328
40,-114.95385893705388,0,1,23,1.9066376686096191
41,387.90652022214226,1,0,107,11.978636741638184
42,390.6965782946625,1,0,85,10.46072769165039
43,372.02568899546566,1,0,40,4.686666488647461
44,387.5201752303328,1,0,82,9.36251449584961
45,-113.61852784456727,0,1,13,0.6019597053527832
