update,timesteps,fps,train_return_mean,train_success_rate,train_collision_rate,train_episode_len_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,std_mean,early_stop
1,4096,1138.8,306.08508894120286,0.6585365853658537,0.2926829268292683,98.82926829268293,207.7642071257486,296.2105632838087,0.5,0.43333333333333335,111.33333333333333,11.638863269488017,467.0120436350505,-0.011926751519786194,934.0547025044759,1.1272473146518072,0.0055592950462596494,0.06590169270833333,0.4248695969581604,0.0
2,8192,899.9,253.16715987927876,0.58,0.38,108.5,319.1379511216167,283.7586241243287,0.6666666666666666,0.26666666666666666,130.9,16.780366961161295,438.07286682128904,-0.011858669532618176,876.1762206395467,1.1298226594924927,0.005558126556085578,0.06652018229166666,0.42675143480300903,0.0
3,12288,750.2,242.11068056398202,0.56,0.4,119.3,229.34149956996367,304.45858386893065,0.5333333333333333,0.43333333333333335,121.03333333333333,15.364139211177825,402.797732480367,-0.009413615958571124,805.6210954666137,1.1329240441322326,0.005092352920716318,0.05927734375,0.4256402552127838,0.0
4,16384,665.8,299.631512635853,0.66,0.34,108.7,196.37984090988712,299.87455798777506,0.4666666666666667,0.4,149.2,16.450440510114035,341.96577469507855,-0.008565992457442917,683.9554658889771,1.1285196592410405,0.004047913459847526,0.04724934895833333,0.4249316453933716,0.0
5,20480,640.8,284.06455462203934,0.62,0.32,140.56,214.7187320425076,295.01867156174796,0.5,0.4,135.23333333333332,15.54986111720403,232.13267889022828,-0.00900153758120723,464.29011125564574,1.1257778460780778,0.0054023201955715194,0.06689453125,0.42478716373443604,0.0
6,24576,631.1,291.59943979396485,0.64,0.3,135.96,240.15278076566474,295.7956903857749,0.5333333333333333,0.4,137.83333333333334,16.920055937767028,246.93760725657145,-0.011045196283763896,493.9040519396464,1.1250496278206508,0.005857710428729964,0.07394205729166667,0.42485159635543823,0.0
7,28672,649.2,186.89834230331556,0.46,0.5,101.2,225.73647385391016,297.31649131607145,0.5333333333333333,0.4,106.93333333333334,13.413069278001785,324.91963348388674,-0.013687516358913854,649.8733880360921,1.1239309872190157,0.0060183389345183965,0.07477213541666666,0.42395898699760437,0.0
8,32768,644.3,230.81766718988206,0.54,0.46,80.64,285.69464970164546,290.931458958128,0.6,0.26666666666666666,149.4,15.977621110280355,488.9489059448242,-0.010207412284216844,977.9249647776286,1.1234383861223856,0.004062364200945012,0.046240234375,0.4249746799468994,0.0
9,36864,625.9,284.7595536797452,0.62,0.36,106.4,210.0393708309376,298.4668238358251,0.5,0.4,131.2,16.233595808347065,277.19474204381305,-0.014248698885785416,554.4247323354085,1.1255378052592278,0.00620054207489981,0.07581380208333334,0.42490485310554504,0.0
10,40960,608.1,213.6534836817201,0.5,0.44,122.34,248.135950636808,285.5359086339959,0.5333333333333333,0.3,157.5,19.945581499735514,373.7410279273987,-0.01064143018059743,747.5100784937541,1.1226808369159698,0.006249727610944926,0.076220703125,0.42273658514022827,0.0
11,45056,602.3,191.08514472219863,0.46,0.48,129.44,285.96987056198276,285.72056615183266,0.6333333333333333,0.3333333333333333,98.16666666666667,12.614463790257771,198.23760024706522,-0.010685157706029713,396.5032404263814,1.1116449952125549,0.007054837570467498,0.08663736979166667,0.42165490984916687,0.0
12,49152,595.5,197.469180519331,0.48,0.48,118.28,263.48278389409217,295.63714843436094,0.6,0.36666666666666664,111.36666666666666,13.571813662846884,187.8409653822581,-0.010858538221024597,375.7102814356486,1.1052932625015577,0.007333581599717339,0.094287109375,0.4194357097148895,0.0
13,53248,592.6,230.3458077259698,0.54,0.4,112.58,264.17395327659807,295.2174426919038,0.6,0.4,91.2,11.62000466187795,351.8070324261983,-0.010161132985376752,703.6409576416015,1.096050965289275,0.005818604740973872,0.068408203125,0.41685378551483154,0.0
14,57344,587.3,213.750267830888,0.52,0.44,104.42,235.8238033356872,297.9491356689267,0.5333333333333333,0.36666666666666664,121.66666666666667,14.138484219710032,419.01191523869835,-0.0110315073436747,838.052401860555,1.0861868545413018,0.005146948473217587,0.06082356770833333,0.4160819351673126,0.0
15,61440,582.8,226.62638371548744,0.54,0.46,98.94,273.1403889155192,296.76324286658956,0.6,0.3333333333333333,107.86666666666666,12.292964533964794,258.5553598562876,-0.011952255116193555,517.1410613059998,1.07373202641805,0.006249335756971656,0.08072916666666667,0.4104491174221039,0.0
16,65536,581.9,222.51376391045588,0.52,0.44,112.16,322.05547139598724,281.4109522285918,0.7,0.3,85.36666666666666,11.031426668167114,180.93724608421326,-0.014259618615809207,361.909296242396,1.047268162171046,0.009177176376397256,0.11199544270833334,0.40604767203330994,0.0
17,69632,576.9,308.28957567718186,0.66,0.3,125.66,333.11508110996834,268.68720518673956,0.7,0.23333333333333334,134.5,16.531479734927416,339.8864328702291,-0.01150846619081373,679.8020826339722,1.0323320090770722,0.00649179318958583,0.07716471354166667,0.40482303500175476,0.0
18,73728,574.6,284.1378176432928,0.62,0.36,109.84,357.85797113246133,266.6133018153444,0.7333333333333333,0.23333333333333334,110.1,14.63169581691424,266.6665957291921,-0.011631164900609291,533.3626454353332,1.031047755976518,0.006475651944735243,0.08113606770833333,0.4058035910129547,0.0
19,77824,572.2,231.2565073563446,0.54,0.46,87.24,312.8518284585176,286.4204695324354,0.6666666666666666,0.3,118.26666666666667,15.038550150394439,371.72678855260216,-0.012664118342217989,743.4850928624471,1.0307255238294601,0.0061792107177704265,0.076953125,0.40393394231796265,0.0
20,81920,569.5,218.5069980363164,0.52,0.46,117.94,133.9069466861646,282.7591871753973,0.36666666666666664,0.5,137.16666666666666,14.144283138215542,256.60961354573567,-0.012973580408530931,513.2512557029725,1.0146956438819568,0.006864684144966304,0.08748372395833333,0.39988258481025696,0.0
21,86016,566.6,223.98304321688502,0.52,0.42,119.74,214.33907496094054,304.6162006161052,0.5,0.43333333333333335,124.6,15.016181502739588,268.731342124939,-0.01431029842448576,537.4973992029826,1.0166389654080072,0.006992924416651173,0.08587239583333334,0.4046057462692261,0.0
22,90112,565.3,260.70233586034703,0.58,0.36,115.06,186.57516326368327,311.61292526481736,0.4666666666666667,0.5,84.86666666666666,11.022401263316473,243.4008108139038,-0.01303501381771639,486.83381690979,1.0199728071689607,0.007935969654742319,0.100732421875,0.4008256196975708,0.0
23,94208,565.3,247.43019088080288,0.56,0.4,107.98,166.19652855165933,304.14555758527376,0.43333333333333335,0.5333333333333333,84.43333333333334,10.856947082281113,301.60626401901243,-0.010260529367951677,603.2390937805176,1.0068185351788999,0.007390353679753995,0.09443359375,0.3988346457481384,0.0
24,98304,564.3,321.26914948905903,0.68,0.3,115.44,334.89153638168693,270.86051278169685,0.7,0.23333333333333334,105.2,12.435904749234517,294.7466293334961,-0.01065050961721378,589.5205390930175,0.9970821514725685,0.006448798072718394,0.08186848958333333,0.397664874792099,0.0
25,102400,563.2,278.70641772679505,0.62,0.38,84.16,230.28454377606067,301.51126629249563,0.5333333333333333,0.43333333333333335,106.43333333333334,13.873381686210632,236.7327336470286,-0.009984408070643743,473.49138736724854,0.9914168593784173,0.006177262516090801,0.075048828125,0.3954310417175293,0.0
26,106496,561.2,293.8619257748942,0.64,0.34,107.18,340.1815083492929,269.5499411574195,0.7,0.23333333333333334,131.4,15.65896042585373,134.89216429392496,-0.009410586891074975,269.8090347766876,0.9813332435985406,0.009633758224663325,0.12014973958333333,0.3956894874572754,0.0
27,110592,561.3,324.8837251629135,0.7,0.3,114.48,259.2656625181957,303.96174556525546,0.6,0.4,83.8,10.933588131268818,312.3519230524699,-0.009987220354378223,624.7296927134196,0.9797728560864926,0.007309174193748428,0.09337565104166666,0.3940342366695404,0.0
28,114688,562.3,269.7197382682283,0.6,0.36,122.62,347.897754791664,268.6237534095913,0.7333333333333333,0.23333333333333334,103.6,13.831350803375244,118.51226387023925,-0.011636574517857904,237.05360020001729,0.9662472868959109,0.010567026565937946,0.13317057291666667,0.39118677377700806,0.0
29,118784,563.8,247.78232773502685,0.56,0.44,100.26,302.71139913623637,284.37191197143676,0.6666666666666666,0.3333333333333333,82.6,10.527805821100872,205.63330876032512,-0.010838387324474752,411.2940597216288,0.9609337533513705,0.007973983652482275,0.09973958333333334,0.3913615345954895,0.0
30,122880,563.3,265.4336356984355,0.6,0.38,111.14,359.7865662019864,247.91820973916853,0.7333333333333333,0.16666666666666666,136.03333333333333,16.37645949522654,178.66039274340477,-0.009425895007340255,357.34535112113593,0.952802689276009,0.009126563722411362,0.11618355724299065,0.38739901781082153,1.0
31,126976,565.5,319.0729307247039,0.68,0.32,95.18,315.83779564701325,276.933444513874,0.6666666666666666,0.26666666666666666,123.26666666666667,15.499932893117268,189.8175684928894,-0.008028209360782057,379.6568425496419,0.941572638352712,0.008577940862839266,0.104052734375,0.3890743553638458,0.0
32,131072,570.1,324.8409524304882,0.7,0.3,83.72,341.5921340463939,271.34965555445575,0.7333333333333333,0.26666666666666666,90.83333333333333,11.493200413386027,149.73096480369568,-0.015031715025543235,299.4977258205414,0.9556928118069966,0.009710161687204769,0.12420247395833334,0.39154839515686035,0.0
33,135168,572.7,301.5595316925147,0.66,0.34,88.98,303.16604989436905,288.65289908505895,0.6666666666666666,0.3,110.13333333333334,12.926551806926728,182.09262638092042,-0.011403826550425341,364.21379985809324,0.9571975042422612,0.008225837159261572,0.10607096354166666,0.38940680027008057,0.0
34,139264,574.7,314.10845636028733,0.68,0.32,104.72,258.64342899285845,294.85012736065414,0.5666666666666667,0.3,137.03333333333333,13.58903759320577,277.84004208246864,-0.016156561310829907,555.7180770874023,0.9467960305511951,0.008888071251567453,0.11814778645833333,0.3870813250541687,0.0
35,143360,576.3,325.01810370851877,0.68,0.26,126.82,322.3471517888732,274.42385816573125,0.7,0.26666666666666666,111.86666666666666,13.318340655167898,242.38494033813475,-0.01069496875279583,484.79692045847577,0.94236642892162,0.007900476474120902,0.105419921875,0.38861918449401855,0.0
36,147456,578.5,260.91746527595626,0.58,0.34,123.68,274.6396977995617,287.34740707525594,0.6,0.3,130.03333333333333,15.56075832049052,138.24885566417987,-0.01119669729198974,276.52577158936066,0.9447012128483536,0.008766457909602735,0.11134481837606838,0.38658249378204346,1.0
37,151552,580.0,213.6201498141367,0.52,0.48,72.46,350.07001023666726,265.82714623575566,0.7333333333333333,0.23333333333333334,107.16666666666667,12.711907895406087,294.4645767847697,-0.012495684648456518,588.9597806930542,0.9393794601162274,0.0073116913714329716,0.09485677083333334,0.3886438012123108,0.0
38,155648,582.9,230.14733049850017,0.54,0.44,91.12,286.61225798096797,295.506835204996,0.6333333333333333,0.36666666666666664,106.66666666666667,13.228606994946798,287.94603605270385,-0.011063915466850933,575.9198799451192,0.9454078396161397,0.006801482833301027,0.08751627604166666,0.3879927396774292,0.0
39,159744,586.0,250.1589715517894,0.58,0.42,100.32,363.3100866205799,259.79039927689195,0.7666666666666667,0.23333333333333334,95.5,11.871779147783915,265.98189113934836,-0.011441541402988756,531.9923375447592,0.9464190063377221,0.006099840270568772,0.076220703125,0.38887447118759155,0.0
40,163840,588.9,300.6233071889026,0.66,0.32,115.62,327.047493669932,282.85900106756185,0.7,0.3,88.3,11.135816017786661,152.76682263215383,-0.011032600051839836,305.5613976796468,0.9477814890444278,0.00844587722143236,0.10437825520833334,0.38877254724502563,0.0
41,167936,594.6,353.54164264394655,0.74,0.24,94.92,285.2684717265735,293.7406978313752,0.6333333333333333,0.36666666666666664,93.43333333333334,12.121065378189087,269.7350162347158,-0.010612125779152848,539.4969604174296,0.949965572108825,0.007483542194919816,0.0962890625,0.38956600427627563,0.0
42,172032,599.2,288.06979489971906,0.64,0.34,95.82,326.9081619014162,287.9143164384865,0.7,0.3,114.03333333333333,14.821078394850096,209.1676928838094,-0.00866396444325801,418.3584574222565,0.9562190363804499,0.007353962005678719,0.093994140625,0.39110898971557617,0.0
43,176128,602.3,307.30553177864726,0.66,0.3,108.32,350.9053878839781,275.92955307269136,0.7333333333333333,0.26666666666666666,100.93333333333334,13.591247280438742,230.89193058013916,-0.011999406677205116,461.8136171976725,0.9597835250198841,0.007745974481804296,0.100732421875,0.39126259088516235,0.0
44,180224,604.2,268.02137017063257,0.6,0.4,78.02,250.253738728169,303.0978488527644,0.5666666666666667,0.36666666666666664,119.6,15.021575331687927,192.56973567008973,-0.011004109372152016,385.16727997461953,0.9664292541642984,0.007057871771394275,0.09090169270833333,0.3937985897064209,0.0
45,184320,607.0,402.8036166138965,0.82,0.16,109.26,330.4617630258036,275.3219951079313,0.7,0.23333333333333334,112.16666666666667,12.11145567893982,160.3857177173922,-0.01643978259239293,320.8101823635011,0.977420121007621,0.011258187278955115,0.14493853672985782,0.39544886350631714,1.0
46,188416,607.7,339.2141073610029,0.72,0.28,91.12,245.4777637863268,312.22290075078877,0.5666666666666667,0.43333333333333335,103.7,13.956263113021851,178.76600275039672,-0.014120719395577908,357.56611445744835,0.978529334316651,0.009794302404043265,0.12600911458333333,0.3935975134372711,0.0
47,192512,608.6,287.9251482010942,0.62,0.34,106.66,228.89013697005643,309.3585759378723,0.5333333333333333,0.4666666666666667,102.53333333333333,12.395963195959727,193.77902518908184,-0.0119434981267356,387.5878117243449,0.9778973830242952,0.008666100881722134,0.10537109375,0.3954312205314636,0.0
48,196608,609.3,212.629031077583,0.5,0.46,100.08,230.6805705387457,301.9707829939208,0.5333333333333333,0.43333333333333335,94.16666666666667,11.294802888234456,163.70172007083892,-0.012766085495240987,327.4348773320516,0.9847215083738168,0.008153788942339209,0.10528971354166666,0.39710021018981934,0.0
49,200704,610.2,304.09202938875615,0.66,0.34,103.24,309.2211724458282,282.343073943138,0.6666666666666666,0.3,87.3,10.103290875752768,264.1733967781067,-0.010602713505310628,528.3739717801412,0.99489614640673,0.006652842184121255,0.08671875,0.39940088987350464,0.0
50,204800,611.0,237.89085195119102,0.56,0.44,95.96,451.1633804686352,185.17178702278284,0.9,0.1,88.46666666666667,12.167935911814372,223.0272954305013,-0.009576552285579965,446.07971712748207,0.996585567543904,0.006302737545532485,0.08006184895833333,0.39734721183776855,0.0
51,208896,613.8,263.52241982829383,0.6,0.4,81.48,348.62760152759625,274.9769015153383,0.7333333333333333,0.26666666666666666,85.56666666666666,11.76038920879364,202.94057892958324,-0.01178310531831812,405.9106828689575,0.9930547987421353,0.007178824691315337,0.08636067708333334,0.3977886736392975,0.0
52,212992,615.5,277.17571377681577,0.62,0.36,90.12,212.0813227114056,297.0280019382819,0.5,0.4666666666666667,102.76666666666667,12.999837001164755,255.87653171221416,-0.012692226490859564,511.78439277013143,0.9901817664504051,0.006968187532523492,0.09070638020833334,0.3963216245174408,0.0
53,217088,615.3,217.21174179897346,0.52,0.42,116.72,305.7185229195335,281.78968422154617,0.6666666666666666,0.3,107.76666666666667,13.233083899815878,164.53922623793284,-0.01680570847238414,329.1179557959239,0.982062145570914,0.008965012628565697,0.123828125,0.3943432867527008,0.0
54,221184,615.9,253.13673031296406,0.58,0.42,74.92,353.2634685243355,273.735434695831,0.7333333333333333,0.26666666666666666,87.23333333333333,12.155980663746595,272.033357779185,-0.01214373325346969,544.096859105428,0.97566990579168,0.0072983929096759916,0.09404296875,0.3943823575973511,0.0
55,225280,617.6,310.74115260407785,0.68,0.32,103.14,325.0587715306114,281.91810370744093,0.7,0.3,92.93333333333334,11.899338975548744,260.8445692539215,-0.009463989468834673,521.7139230410259,0.97578219845891,0.007715136366702306,0.099072265625,0.39374983310699463,0.0
56,229376,619.6,274.94847716466234,0.62,0.38,83.02,267.2704165811614,302.1710145334713,0.6,0.4,80.7,10.779433186848959,241.4121730486552,-0.013333736416340496,482.85682655970254,0.9676326761643091,0.008437893523660023,0.099609375,0.39107877016067505,0.0
57,233472,620.7,224.8548783590673,0.54,0.46,94.98,327.01142507581733,286.47968987083465,0.7,0.3,102.63333333333334,13.631749931971232,265.48186149597166,-0.012897860428104953,530.9952484766642,0.9559706394871076,0.006971276302162248,0.09230143229166667,0.38925695419311523,0.0
58,237568,622.9,253.08407103020517,0.58,0.4,99.02,306.5559429962663,287.90333102938155,0.6666666666666666,0.3333333333333333,82.1,10.492254662513734,256.312066523234,-0.013301984765954936,512.6564171155294,0.9470935640235741,0.008873622579752312,0.11569010416666667,0.3881973624229431,0.0
59,241664,626.2,286.378346034642,0.64,0.36,80.3,266.00520768252716,299.9163666276813,0.6,0.4,76.03333333333333,10.135896603266398,193.8787918885549,-0.012581887749062541,387.7883644104004,0.9362503627936045,0.007861910741000126,0.10257161458333333,0.38410013914108276,0.0
60,245760,627.4,293.4037333305571,0.64,0.34,102.2,277.19334005636057,302.23410439549525,0.6333333333333333,0.3333333333333333,116.93333333333334,13.927375117937723,217.9194007396698,-0.011964288592571393,435.86819982528687,0.9125631265342236,0.0077704028716349665,0.10222981770833334,0.3793400824069977,0.0
61,249856,629.1,351.44039370462923,0.74,0.26,87.14,284.8105278007385,292.9544106893654,0.6333333333333333,0.36666666666666664,77.53333333333333,10.351516191164652,152.24870212078093,-0.015113696192080776,304.532962179184,0.8886312832434972,0.008748037795400402,0.10966796875,0.37502700090408325,0.0
62,253952,629.9,290.86577545903975,0.64,0.34,91.94,285.1170702846549,297.95751290867383,0.6333333333333333,0.3333333333333333,125.86666666666666,13.786166071891785,167.1109084924062,-0.011026965130198126,334.24912565549215,0.8757689595222473,0.010719123786839192,0.141650390625,0.375000536441803,0.0
63,258048,632.3,318.77101339122333,0.68,0.28,104.18,355.0074631939024,260.5912720408541,0.7333333333333333,0.2,103.46666666666667,12.882290204366049,155.25293998718263,-0.014266104068762312,310.53967652320864,0.8775385625660419,0.009237988865061197,0.12047526041666666,0.37595659494400024,0.0
64,262144,634.2,275.9104729445571,0.62,0.38,92.06,385.02931219076,246.3800794908263,0.8,0.2,92.5,11.95908084710439,188.40886135896048,-0.010173796191035459,376.84336382548014,0.88206524203221,0.008082829203340225,0.10224609375,0.3766264319419861,0.0
65,266240,636.4,353.0269517962682,0.74,0.24,115.4,350.620362812774,270.6585865686588,0.7333333333333333,0.26666666666666666,85.13333333333334,11.489148791631063,136.45955464045207,-0.011644908791640773,272.94761970837914,0.8702684856951237,0.011301035073120146,0.13165690104166666,0.37071049213409424,1.0
66,270336,639.3,318.6323276916843,0.68,0.3,105.74,282.72967091230333,298.74577054359145,0.6333333333333333,0.36666666666666664,96.56666666666666,12.503191296259562,125.02805137634277,-0.011689413376734592,250.0845648288727,0.8468175321817398,0.011801518960661875,0.14768880208333332,0.3685890734195709,0.0
67,274432,641.4,250.64874353997476,0.56,0.38,115.98,301.01337168535184,289.18424905320813,0.6333333333333333,0.3333333333333333,96.96666666666667,13.32163278584679,180.28504670461018,-0.010474857502655747,360.5960486253103,0.8349915586411953,0.008623601267754567,0.1083984375,0.3669448792934418,0.0
68,278528,641.3,258.3845020003478,0.58,0.4,86.24,243.92571037408294,308.19688670329015,0.5666666666666667,0.43333333333333335,103.66666666666667,12.284993624687194,227.12835354804992,-0.01084195562871173,454.2833881060282,0.8315911943713824,0.006638206503703259,0.08138020833333333,0.36816033720970154,0.0
69,282624,644.5,259.4941070355065,0.58,0.38,101.32,263.148679337155,302.01922935220216,0.6,0.36666666666666664,87.46666666666667,10.275460024674734,149.34001777172088,-0.01116376993789648,298.7073534011841,0.8323884117106597,0.009826203400249749,0.12294921875,0.3661637306213379,0.0
70,286720,647.0,297.4745139687461,0.64,0.32,107.22,335.83299751453694,277.7250316598119,0.7,0.26666666666666666,94.73333333333333,12.897069358825684,183.52034984429676,-0.012730817828560248,367.07112933794656,0.8274858412643273,0.00989784586223929,0.123876953125,0.3662537634372711,0.0
71,290816,648.8,289.64851127513737,0.64,0.34,106.7,324.7081131521221,284.1698638454911,0.7,0.26666666666666666,104.66666666666667,13.975092617670695,172.83108734289806,-0.01093507199936236,345.68903125127156,0.8305943151315053,0.008235362547566183,0.1044921875,0.36758023500442505,0.0
72,294912,649.8,340.4121760363858,0.72,0.26,93.74,296.9873804922365,295.58444180625935,0.6666666666666666,0.3333333333333333,94.16666666666667,12.044846129417419,149.62432067394258,-0.012623021144342298,299.2788589477539,0.8282516593734424,0.008685626971904033,0.11087239583333333,0.3650059998035431,0.0
