episode,return,success,collision,steps,path_length
0,420.26792541315774,1,0,90,14.093996047973633
1,379.2002930869981,1,0,224,18.235687255859375
2,-105.22629084181992,0,1,170,23.543521881103516
3,386.596125577271,1,0,55,7.853414058685303
4,379.1656194014705,1,0,106,10.453922271728516
5,425.2728047631162,1,0,94,16.027475357055664
6,-84.72593165896888,0,1,61,9.360556602478027
7,373.4425721806958,1,0,58,6.1669602394104
8,393.4880596103553,1,0,47,6.567554950714111
9,356.9989512778488,1,0,279,27.655376434326172
10,391.13246295275553,1,0,81,11.804129600524902
11,378.57679864429076,1,0,85,7.807572841644287
12,-93.79558541703089,0,1,56,8.43353271484375
13,401.1278505626926,1,0,87,13.155196189880371
14,-99.99196780729758,0,1,51,6.435608863830566
15,381.4604409259729,1,0,162,21.617382049560547
16,404.6324890485107,1,0,70,11.211137771606445
17,379.42066615745597,1,0,92,7.736626148223877
18,-102.91940599042427,0,1,176,25.20327377319336
19,400.34272828810066,1,0,73,10.606377601623535
20,387.7695203658695,1,0,97,12.448836326599121
21,372.5676913782656,1,0,94,6.7318806648254395
22,380.32357033565637,1,0,55,6.384897232055664
23,406.5909898230149,1,0,209,23.484508514404297
24,424.905710054567,1,0,289,37.46996307373047
25,386.9540842251256,1,0,54,7.952642917633057
26,391.3524943183511,1,0,61,8.463356018066406
27,389.7973865304813,1,0,62,8.386011123657227
28,402.80174932554326,1,0,94,12.900886535644531
29,389.8038651842994,1,0,147,18.839950561523438
30,-1.7597976113878786,0,0,500,59.63206481933594
31,-116.4594818875398,0,1,51,3.561997413635254
32,388.07710966536155,1,0,229,28.253644943237305
33,383.1785117800986,1,0,231,33.413639068603516
34,403.3939938448461,1,0,75,11.631467819213867
35,376.093342323076,1,0,126,14.504378318786621
36,392.0197359041802,1,0,68,9.902517318725586
37,390.3197931678872,1,0,112,12.14684009552002
38,378.5859064406625,1,0,227,25.155031204223633
39,393.8180423065498,1,0,123,14.32070255279541
40,367.0072786596824,1,0,110,11.294058799743652
41,388.5953813096806,1,0,115,13.298661231994629
42,390.26498096295154,1,0,99,12.064836502075195
43,372.02860461127756,1,0,40,4.693665504455566
44,387.1586357014428,1,0,78,9.44571304321289
45,-112.91735924557265,0,1,13,0.49706488847732544
46,-124.49653664500065,0,1,46,6.470852851867676
47,-117.19309068122264,0,1,16,0.813039243221283
48,-119.22960057481089,0,1,105,3.5870745182037354
49,374.71614399683216,1,0,179,20.474445343017578
50,380.99425113511955,1,0,144,18.861955642700195
51,392.11597234638333,1,0,75,10.634613037109375
52,383.24806715571503,1,0,126,14.534646034240723
53,-114.33398247489946,0,1,35,3.4526915550231934
54,386.11544967140253,1,0,56,7.400151252746582
55,389.42075194242904,1,0,127,15.072956085205078
56,-120.34672317451755,0,1,119,14.491521835327148
57,404.7336523142812,1,0,73,10.652779579162598
58,397.5971065044254,1,0,97,14.570024490356445
59,389.1379634423256,1,0,76,9.891678810119629
60,-88.45731089999416,0,1,55,8.27085018157959
61,412.3725712051689,1,0,107,16.79238510131836
62,-109.27704306335441,0,1,41,4.573959827423096
63,430.1210799482168,1,0,214,26.846094131469727
64,-102.33253592842567,0,1,51,6.9567131996154785
65,371.2201655738232,1,0,219,26.83092498779297
66,-118.04719446019078,0,1,24,2.0884251594543457
67,-127.82643374899612,0,1,34,2.7587530612945557
68,-107.4280456875822,0,1,65,7.405436038970947
69,-97.94100584860209,0,1,53,6.730654239654541
70,420.3769999250315,1,0,96,16.250295639038086
71,-106.23589325228798,0,1,46,6.358159065246582
72,381.7513306684233,1,0,295,25.073932647705078
73,398.0586561926917,1,0,93,13.63856315612793
74,400.12130204229777,1,0,179,19.893957138061523
75,-118.62253602869716,0,1,29,3.0701487064361572
76,-111.35414066313089,0,1,37,3.787895441055298
77,377.6628629924208,1,0,48,6.028742790222168
78,390.38807505898365,1,0,97,12.438679695129395
79,381.4411660796912,1,0,104,11.09951400756836
80,-141.02416330972665,0,1,144,18.66008186340332
81,380.62308783758147,1,0,160,17.94609832763672
82,399.4571066488385,1,0,58,7.649129390716553
83,383.07395409792366,1,0,86,9.247169494628906
84,417.33374691709065,1,0,84,13.82802963256836
85,407.1126889340079,1,0,100,16.239364624023438
86,389.6077730525732,1,0,58,8.338532447814941
87,393.0713018939644,1,0,78,11.603618621826172
88,373.7392343956668,1,0,45,5.695003032684326
89,-104.08655102712004,0,1,7,0.1416463702917099
90,393.5620868325308,1,0,67,9.750761985778809
91,374.5064250381159,1,0,202,14.938631057739258
92,392.2531352220132,1,0,92,11.719850540161133
93,398.3374016821196,1,0,89,13.226629257202148
94,-131.5735078642136,0,1,39,3.6014392375946045
95,-151.64834260924164,0,1,116,18.306072235107422
96,408.38880928520143,1,0,80,13.22899055480957
97,405.5784992408454,1,0,180,21.86992645263672
98,-106.36731752854395,0,1,86,12.796232223510742
99,386.0393776648857,1,0,74,10.290445327758789
100,394.24430083326587,1,0,108,13.46267032623291
101,423.1745018458962,1,0,121,17.9207763671875
102,376.91855985954277,1,0,47,5.503448009490967
103,375.79471229944346,1,0,65,8.472900390625
104,422.513154332583,1,0,97,15.692473411560059
105,370.9312216315771,1,0,195,26.422359466552734
106,377.34388454376676,1,0,119,12.847917556762695
107,-88.03360171570753,0,1,57,8.634099960327148
108,412.76301097643375,1,0,83,12.915655136108398
109,-98.90116251843855,0,1,50,6.928484916687012
110,422.08044540348646,1,0,88,14.843587875366211
111,382.78397244901475,1,0,121,12.218985557556152
112,-114.92809654564688,0,1,33,3.8708536624908447
113,371.77084216151354,1,0,64,6.918171405792236
114,414.7789646398296,1,0,103,16.773155212402344
115,392.4687488531237,1,0,101,12.521571159362793
116,-117.94193112660744,0,1,36,3.5408990383148193
117,-101.64930011740447,0,1,48,6.706515312194824
118,-100.26792658124542,0,1,77,10.705947875976562
119,387.23588555616135,1,0,76,10.022895812988281
120,-125.06332046459944,0,1,26,1.953840732574463
121,396.1611297388226,1,0,67,9.347020149230957
122,387.28396400429335,1,0,66,10.367947578430176
123,394.33852674700313,1,0,63,9.336434364318848
124,397.585386551097,1,0,94,13.684487342834473
125,402.3781938411604,1,0,82,13.058510780334473
126,32.89319585983823,0,0,500,18.966495513916016
127,406.75339202185717,1,0,141,17.886219024658203
128,374.2644443807602,1,0,46,5.345457077026367
129,-102.78937413462972,0,1,47,6.287387371063232
130,-97.29989340699235,0,1,176,24.833831787109375
131,391.10630256592145,1,0,102,11.938591957092285
132,386.77688583327824,1,0,90,10.783026695251465
133,397.1923578898981,1,0,87,13.134268760681152
134,-86.20319099166595,0,1,59,9.07085132598877
135,405.85414607532323,1,0,95,14.575361251831055
136,-113.50572309709911,0,1,35,4.270854473114014
137,351.90627222709384,1,0,149,19.22876739501953
138,-98.68730171540713,0,1,76,9.294065475463867
139,372.4590288661636,1,0,213,24.876956939697266
140,397.2251737730293,1,0,71,9.754034996032715
141,379.67798100715794,1,0,90,9.272396087646484
142,383.219317275093,1,0,87,10.467798233032227
143,409.4944269491961,1,0,104,17.293798446655273
144,409.02251142327486,1,0,79,12.479364395141602
145,389.4262325373301,1,0,57,8.24260425567627
146,-97.6568856970199,0,1,52,7.121559143066406
147,388.1067408298118,1,0,94,10.991585731506348
148,404.12085385448296,1,0,74,10.919504165649414
149,389.75532439125277,1,0,60,8.810564994812012
150,390.5502212514023,1,0,60,8.44316577911377
151,393.41496276597115,1,0,64,8.867023468017578
152,384.752232303828,1,0,71,8.94847297668457
153,382.19871219135985,1,0,155,16.17262840270996
154,384.09165475529426,1,0,54,7.309446811676025
155,366.44807478549745,1,0,51,5.627459526062012
156,397.6794785207434,1,0,89,12.748409271240234
157,387.11144478024903,1,0,106,11.357481956481934
158,408.84997876792653,1,0,88,13.915854454040527
159,-120.62494700441246,0,1,20,1.354860544204712
160,373.11002742057406,1,0,116,12.428627967834473
161,30.202216296271807,0,0,500,15.692486763000488
162,374.3198516161907,1,0,52,5.015992164611816
163,17.37202299067902,0,0,500,59.210960388183594
164,376.4213410661072,1,0,88,7.377347946166992
165,387.51134583406736,1,0,100,11.99426555633545
166,389.46132012316207,1,0,53,7.58090353012085
167,423.85500024480325,1,0,95,15.762260437011719
168,-99.54031313564127,0,1,47,5.9903645515441895
169,-87.42114174277282,0,1,59,9.068726539611816
170,375.90745398911633,1,0,184,25.872737884521484
171,-122.64206775948128,0,1,45,5.322969913482666
172,379.35391550976476,1,0,48,6.572864532470703
173,373.5577518871316,1,0,145,18.613346099853516
174,386.0249598042741,1,0,113,14.108063697814941
175,425.22844638602794,1,0,120,19.986446380615234
176,-126.64105428703603,0,1,163,22.79288101196289
177,-89.13126268170481,0,1,53,7.870851516723633
178,405.68003156530636,1,0,89,13.216094017028809
179,393.92110766983967,1,0,166,21.243953704833984
180,385.5691768028854,1,0,162,19.861541748046875
181,404.13323268261547,1,0,128,19.2130069732666
182,380.977737147361,1,0,180,22.307373046875
183,408.05125652346186,1,0,136,21.85417938232422
184,411.9358259155107,1,0,82,12.970507621765137
185,374.64526410394905,1,0,111,11.266165733337402
186,-103.39125385673191,0,1,49,7.070852756500244
187,-119.3484370742134,0,1,164,26.033756256103516
188,379.34616536377365,1,0,53,6.447398662567139
189,-90.58483142697561,0,1,54,8.049942970275879
190,-112.3921449213556,0,1,38,4.687353610992432
191,384.33253615599864,1,0,54,7.210960865020752
192,-137.08917607026575,0,1,139,22.789934158325195
193,389.7524341409851,1,0,207,23.908187866210938
194,-108.1808608858241,0,1,33,3.870853900909424
195,-122.81761577896185,0,1,24,2.1213202476501465
196,34.92075934994312,0,0,500,58.698604583740234
197,-99.25348634272596,0,1,190,26.439464569091797
198,-122.99925239255073,0,1,155,20.319683074951172
199,379.63079613030396,1,0,58,7.960610866546631
