update,timesteps,fps,train_return_mean,train_success_rate,train_collision_rate,train_episode_len_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,std_mean,early_stop
1,4096,1781.1,225.87084716613214,0.6585365853658537,0.2926829268292683,98.82926829268293,145.97578973268435,242.54934104856198,0.5,0.43333333333333335,111.0,11.63596715927124,314.8102958202362,-0.013036047013398881,629.6489078203837,1.1283537025252979,0.005791750248560371,0.07093098958333334,0.42575839161872864,0.0
2,8192,1709.7,181.96926259415338,0.58,0.38,110.94,269.58752107323556,212.67161034201746,0.7333333333333333,0.2,130.96666666666667,16.76781563361486,274.40711584091184,-0.012060618553853904,548.8406188964843,1.1316729441285134,0.005782520952440488,0.07140299479166666,0.42636382579803467,0.0
3,12288,1722.7,183.92257500858167,0.58,0.38,121.92,145.9794410642648,249.29439546068787,0.5,0.4666666666666667,123.13333333333334,15.495193266868592,232.68307274182638,-0.01405377649740937,465.3965247790019,1.1357251440485319,0.005971628293627873,0.07288411458333334,0.42756563425064087,0.0
4,16384,1705.3,226.68301386415177,0.66,0.28,130.0,138.45070734620057,243.43299947840592,0.4666666666666667,0.4,143.1,16.10272664229075,158.70517428716025,-0.010573654862431189,317.4337687174479,1.1355938067038853,0.005469360497469703,0.06643880208333333,0.42617863416671753,0.0
5,20480,1696.4,180.320532706737,0.56,0.36,125.02,151.224415508481,241.64851059000299,0.5,0.4,136.2,15.89764798482259,174.64104345639547,-0.011184881777929452,349.306720495224,1.1323069204886755,0.006502530845076156,0.08352864583333333,0.42608779668807983,0.0
6,24576,1701.7,176.2146725833644,0.56,0.38,118.5,155.5246573633651,243.39445574112435,0.5,0.43333333333333335,128.23333333333332,16.640824540456137,146.63816889921824,-0.011927357090947529,293.30245577494304,1.1316865836580594,0.006763243444826609,0.087548828125,0.4268348813056946,0.0
7,28672,1699.0,128.58583731086637,0.46,0.5,102.14,184.1484378668547,232.7782327271623,0.5666666666666667,0.3333333333333333,134.1,16.697819207111994,223.65026377042133,-0.010751031090815861,447.3243008295695,1.135644693672657,0.005187314767681528,0.06162109375,0.42787081003189087,0.0
8,32768,1691.7,181.6848394247848,0.58,0.42,88.36,223.2497998550075,233.76139193650235,0.6333333333333333,0.26666666666666666,135.9,13.95440460840861,290.016992410024,-0.011576406188153972,580.0594241778056,1.1415258526802063,0.004751999796038338,0.05603841145833333,0.42833012342453003,0.0
9,36864,1692.1,219.6117789023736,0.64,0.32,111.34,104.88717730887295,236.3759605481531,0.4,0.4666666666666667,144.06666666666666,17.506737836201985,175.8111665169398,-0.012514728259217615,351.6496349652608,1.1362908750772476,0.007192262697693271,0.09568684895833333,0.42584216594696045,0.0
10,40960,1678.8,166.21637786190783,0.52,0.38,124.96,198.91519563300025,230.87813599905192,0.5666666666666667,0.26666666666666666,158.76666666666668,20.182633034388225,192.65162897109985,-0.013729474678014716,385.33297843933104,1.1283637672662734,0.006840228410146665,0.086962890625,0.42505648732185364,0.0
11,45056,1679.2,132.11068472403528,0.46,0.48,117.9,191.78985865921595,238.03621934760315,0.6,0.36666666666666664,95.83333333333333,12.149771316846211,159.81573302745818,-0.011858410164131783,319.657431046168,1.1240677133202552,0.00635930124456839,0.08053385416666667,0.42408230900764465,0.0
12,49152,1682.9,129.35448906897832,0.46,0.48,116.96,229.93273577079634,224.81967713351148,0.6666666666666666,0.26666666666666666,124.4,14.360240920384724,128.0619941631953,-0.012516396190039813,256.1512701829275,1.122387350598971,0.008406675305741374,0.10802408854166666,0.4239620864391327,0.0
13,53248,1687.8,192.92926112291676,0.6,0.36,119.72,159.88335321269807,243.41537195654183,0.5333333333333333,0.43333333333333335,110.76666666666667,14.066830174128215,186.52124315897623,-0.012854714037772889,373.0704260826111,1.1161274711290996,0.007416963755288938,0.099853515625,0.4210934638977051,0.0
14,57344,1693.0,153.0602766109644,0.52,0.44,118.0,180.89149182005582,244.94844064582685,0.5666666666666667,0.36666666666666664,118.53333333333333,14.134813018639882,219.36194860140483,-0.01439526179068101,438.75488770802815,1.1031446894009909,0.0068140735684816415,0.087744140625,0.4189349412918091,0.0
