episode,return,success,collision,steps,path_length
0,420.3013820607052,1,0,90,14.336875915527344
1,375.3961004891209,1,0,305,32.047359466552734
2,396.18015773602906,1,0,67,10.664746284484863
3,386.6660151990056,1,0,54,7.7595696449279785
4,379.7076454680963,1,0,76,8.367801666259766
5,429.2638121097386,1,0,103,17.006898880004883
6,-88.07071047924398,0,1,58,8.82396411895752
7,373.41039787352827,1,0,61,6.846856594085693
8,393.40487632972736,1,0,48,6.478579998016357
9,367.3549384840268,1,0,120,11.999247550964355
10,392.4948969637368,1,0,78,11.844101905822754
11,378.3378929235078,1,0,69,7.088123321533203
12,-91.18332041959428,0,1,57,8.665984153747559
13,403.6811940749668,1,0,80,12.699382781982422
14,-102.65600577191097,0,1,48,6.253443717956543
15,377.5789930730753,1,0,54,7.465394973754883
16,404.6928318143189,1,0,70,11.266681671142578
17,15.438757683864676,0,0,500,23.671375274658203
18,-90.82374561784732,0,1,56,7.738548278808594
19,402.3972480433136,1,0,78,11.898980140686035
20,387.2140664797284,1,0,81,11.00204086303711
21,374.28618539634346,1,0,67,7.130133152008057
22,-123.73779947234752,0,1,79,11.186100006103516
23,412.08518604929066,1,0,96,15.379005432128906
24,425.1348575513195,1,0,300,39.361907958984375
25,387.1300719588547,1,0,54,7.937893867492676
26,390.62156178000566,1,0,60,8.459824562072754
27,390.0638375571519,1,0,66,8.55805492401123
28,402.774326698035,1,0,81,12.22250747680664
29,392.13754913002504,1,0,66,10.451384544372559
30,381.14035198155216,1,0,48,6.6842169761657715
31,-112.43968968979335,0,1,19,0.8430901765823364
32,393.2368861234258,1,0,213,22.073596954345703
33,389.0063918828889,1,0,62,8.763348579406738
34,402.4750930697345,1,0,75,11.90665054321289
35,372.4640721408489,1,0,109,10.974543571472168
36,-104.81885387109516,0,1,92,13.04572868347168
37,393.9077266975688,1,0,105,11.667889595031738
38,-121.20572622702441,0,1,101,15.478311538696289
39,392.3942391036162,1,0,164,21.164352416992188
40,-114.44505475220049,0,1,23,1.8922349214553833
41,387.9206301483977,1,0,106,12.154396057128906
42,389.69603976522706,1,0,69,9.09914493560791
43,371.5669105598628,1,0,39,4.628544807434082
44,387.4270859757372,1,0,78,9.527985572814941
45,-111.95495038238674,0,1,13,0.4565180540084839
46,-125.90638623807592,0,1,46,6.47085428237915
47,387.2969754566087,1,0,95,10.611517906188965
48,-127.69398675969754,0,1,260,12.984111785888672
49,371.57194484779075,1,0,234,23.661569595336914
50,379.73350904637624,1,0,53,7.471926212310791
51,-101.77231297116384,0,1,88,13.974075317382812
52,385.2853488520868,1,0,52,7.461618900299072
53,-115.49271216090997,0,1,35,4.032395839691162
54,385.42051234713193,1,0,57,7.662790298461914
55,387.45075696504597,1,0,124,14.681095123291016
56,-120.70358761219491,0,1,101,11.970629692077637
57,403.40218739060174,1,0,70,10.373746871948242
58,397.3715007319003,1,0,104,15.742820739746094
59,388.3383742950261,1,0,86,11.144672393798828
60,-88.5276406055081,0,1,55,8.270851135253906
61,412.1607711640894,1,0,107,17.188926696777344
62,421.82835250488654,1,0,103,16.97634506225586
63,429.8257784892984,1,0,217,28.40273094177246
64,-103.08848814326376,0,1,51,6.836317539215088
65,377.79536082211945,1,0,53,7.003211975097656
66,-118.48315107812579,0,1,25,2.1863515377044678
67,381.4843838013204,1,0,63,6.535536289215088
68,-106.1668820999517,0,1,85,10.688724517822266
69,-99.46926799796235,0,1,47,6.398839950561523
