update,timesteps,fps,train_return_mean,train_success_rate,train_collision_rate,train_episode_len_mean,eval_return_mean,eval_return_std,eval_success_rate,eval_collision_rate,eval_steps_mean,eval_path_length_mean,loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,std_mean,early_stop
1,4096,1730.7,240.5202058692082,0.6585365853658537,0.2926829268292683,98.82926829268293,167.60185680981724,219.80853806488687,0.5,0.43333333333333335,110.93333333333334,11.654333488146465,260.5710631052653,-0.01291037387563847,521.1747130076091,1.1284547016024589,0.00600774596532574,0.07405598958333333,0.4256771206855774,0.0
2,8192,1677.5,200.4549981554527,0.58,0.38,111.36,265.2415766449086,202.23136223316945,0.7,0.23333333333333334,130.46666666666667,16.73277369340261,219.869473695755,-0.012837099840786929,439.77138096491495,1.1258677423000336,0.0056328486350442596,0.07049153645833334,0.42313307523727417,0.0
3,12288,1658.3,188.16507536450052,0.54,0.38,140.38,156.23018870390615,225.08120112944044,0.4666666666666667,0.4666666666666667,132.43333333333334,16.62224551041921,221.32686505317687,-0.009635944881786903,442.6797297477722,1.1210175529122353,0.005217064489261247,0.06002604166666667,0.42510828375816345,0.0
4,16384,1657.6,213.1111600058787,0.6,0.34,140.84,155.9619247992393,226.14398796380127,0.4666666666666667,0.43333333333333335,135.8,15.928742639223735,148.24862002531688,-0.012261416829035927,296.5285409609477,1.1297700275977454,0.006311165962930924,0.07967122395833333,0.4260583519935608,0.0
5,20480,1662.3,222.76131544621484,0.62,0.34,128.42,181.0827249685489,224.3249623387155,0.5333333333333333,0.43333333333333335,116.93333333333334,14.104076512654622,175.36591918468474,-0.011116860300535335,350.76085271835325,1.1308105915784836,0.005963963798906965,0.06941731770833333,0.4259134829044342,0.0
6,24576,1665.2,211.47588621054373,0.6,0.36,128.74,177.71727848749862,219.8274012719533,0.5,0.43333333333333335,134.4,16.993425782521566,153.49279465675355,-0.012962406596246485,307.01824003855387,1.120520177980264,0.007269827301691597,0.09453125,0.42079710960388184,0.0
7,28672,1668.3,144.92769026024115,0.44,0.5,120.74,187.08683177160793,214.8412886894829,0.5333333333333333,0.36666666666666664,114.43333333333334,14.509487408399583,167.1569852511088,-0.01165774703452674,334.3439455986023,1.1094318797190985,0.006808334021964887,0.08689778645833333,0.42229920625686646,0.0
8,32768,1651.7,175.76823486679427,0.52,0.48,89.72,235.89911993838552,212.1709664857146,0.6333333333333333,0.26666666666666666,154.7,17.706496556599934,208.10268540382384,-0.012594434254181882,416.23723859786986,1.1130527531107266,0.006671412261979034,0.08323567708333333,0.42219752073287964,0.0
9,36864,1649.3,200.28995058151068,0.56,0.4,111.62,158.93711725685534,215.73874410267035,0.4666666666666667,0.4,150.0,17.875366838773093,152.2985634803772,-0.011594004764143998,304.6269385655721,1.1042561396956443,0.006192886628559791,0.07906901041666667,0.4176764488220215,0.0
10,40960,1646.8,183.9457989761669,0.52,0.4,126.66,239.00646328945382,207.55380608276297,0.6333333333333333,0.23333333333333334,149.63333333333333,18.88496689796448,127.85925895373026,-0.010798635796527378,255.74665700594585,1.090690196553866,0.007037774550068813,0.09016927083333333,0.41783684492111206,0.0
11,45056,1651.2,158.2010667662038,0.46,0.42,141.7,197.9546532910279,214.15775044811136,0.5666666666666667,0.36666666666666664,114.63333333333334,13.14759259223938,127.18933840592702,-0.011260947864502668,254.40768721898397,1.081952560444673,0.008149439522821923,0.1025390625,0.41268008947372437,0.0
12,49152,1653.3,152.56525707947833,0.46,0.48,131.2,242.28833991874293,205.59872873984494,0.6666666666666666,0.3,113.26666666666667,13.37067551612854,132.2093544880549,-0.011297569184292418,264.44767815272013,1.0620597079396248,0.006597856668910633,0.08349609375,0.41081005334854126,0.0
13,53248,1664.5,213.10473426973815,0.6,0.36,115.38,210.26835829790315,218.4505808763981,0.6,0.4,94.53333333333333,12.202924887339273,98.43390722672144,-0.013615228227960567,196.90129138628643,1.0409761061271032,0.009099628489639144,0.11687825520833334,0.4034475088119507,0.0
14,57344,1663.8,239.3976802311117,0.66,0.3,108.02,172.89391066207344,221.6900653050001,0.5,0.36666666666666664,136.1,15.016303018728893,158.48615849018097,-0.012243997994422292,317.0029626528422,1.0271045436461768,0.008248473473455913,0.10973307291666666,0.4057489037513733,0.0
15,61440,1672.0,168.7230774185311,0.5,0.42,121.84,232.2201513435759,220.5547054819497,0.6333333333333333,0.3,119.4,12.596929351488749,139.24763695398966,-0.011779104735857497,278.52501621246336,1.0303020094831785,0.007783051914884709,0.10270182291666667,0.4037645757198334,0.0
16,65536,1678.8,194.7796233632168,0.56,0.42,110.64,253.13714655104525,207.45160473451287,0.7,0.3,82.5,10.806903568903605,130.38141124248506,-0.013543938726070338,260.79600683848065,1.0155838678280513,0.0072710247433860785,0.09435221354166666,0.3998963236808777,0.0
17,69632,1685.4,200.0468554864838,0.56,0.38,127.34,273.824608287402,194.65641037793173,0.7333333333333333,0.23333333333333334,116.4,14.45075905919075,114.43585111487727,-0.010150542132764685,228.89800421199442,1.00001169065511,0.008077272592164484,0.10141692546583851,0.39815446734428406,1.0
18,73728,1685.6,242.99129350978356,0.66,0.32,101.0,278.82489064477215,198.12789130696754,0.7333333333333333,0.23333333333333334,99.23333333333333,13.381613290309906,82.50459994475047,-0.012599919844069518,165.04038666089374,0.9976777248084545,0.010395593376112325,0.130517578125,0.39951178431510925,0.0
19,77824,1690.9,233.41390131523977,0.64,0.34,94.08,232.3254220528376,216.3799097249424,0.6333333333333333,0.3333333333333333,97.53333333333333,12.770627009868623,122.1446408033371,-0.014992253160259376,244.32529753049215,1.0058727741241456,0.009907663040212355,0.12763671875,0.40156289935112,0.0
20,81920,1688.8,215.221155694197,0.6,0.38,103.46,110.31051273091181,212.19442351460324,0.36666666666666664,0.5,142.23333333333332,13.199581085145473,143.04478131930034,-0.013370940374443308,286.12240090370176,1.0166285609205563,0.007184224834297008,0.09171549479166667,0.4039532542228699,0.0
21,86016,1690.0,178.47693702934015,0.52,0.44,105.9,183.6892706477667,226.8490819490967,0.5333333333333333,0.43333333333333335,110.73333333333333,13.727222454547881,111.12561461130778,-0.012158882373478263,222.28169929186504,1.0251390839616457,0.006667047080797298,0.087353515625,0.40478408336639404,0.0
22,90112,1694.5,199.85537009547198,0.56,0.4,98.04,153.38867518698862,230.10411573617444,0.4666666666666667,0.5,81.4,9.470589236418407,127.07610547542572,-0.013845839321341676,254.18604102929433,1.022974523405234,0.008143643140404796,0.102490234375,0.40286731719970703,0.0
23,94208,1703.3,194.06722478553283,0.56,0.42,103.74,180.16157143978387,225.06952878776752,0.5333333333333333,0.4666666666666667,69.4,8.98148423631986,215.90576106707255,-0.011474670030293056,431.8406080563863,1.0224932943781218,0.0063799251486974145,0.07998046875,0.40586361289024353,0.0
